"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"735 Saratoga Avenue","San Jose","  7000"," 1350000"," 2730.0843"," 2670492.1","-245.6706"," 2"
"19750 Littlebrook Drive","Los Gatos"," 82328"," 2588000"," 4800.0000"," 4327573.3","-243.8903"," 2"
"1339 Poplar Avenue","Sunnyvale","  9375"," 1899999"," 2230.8000"," 2021194.6","-243.7890","33"
"755 Partridge Avenue","Menlo Park","  4450"," 2188000"," 2364.1998"," 3308076.0","-241.5651"," 0"
"17320 Stevens Canyon Road","Cupertino"," 88426","  519000"," 4800.0000"," 4327573.3","-241.2724"," 2"
"256 Linden Avenue","San Bruno","  3800","  998000"," 1975.6049"," 1323000.0","-238.6241"," 0"
"2038 EL SERENO Avenue","Los Altos","  9375"," 2598000"," 2712.8990"," 3127758.9","-237.4879"," 9"
"1245 Millbrae Avenue","Millbrae"," 10237"," 2088000"," 3218.2000"," 2884707.8","-235.6136"," 2"
"1418 24th Avenue","Oakland","  4407","  575000"," 2347.8811"," 1237810.1","-233.8357","30"
"2444 Forbes Avenue","Santa Clara","  5612"," 1375000"," 2088.0000"," 1513373.0","-230.5467","24"
"1626 Christina Drive","Los Altos"," 11610"," 2998000"," 3359.6541"," 3873416.7","-230.4597"," 4"
"776 Nirasa Lane","San Jose","  1681","  999000","  748.9106","  494736.2","-229.8187"," 1"
"552 Nevada Avenue","San Mateo","  8040"," 2800000"," 3351.0000"," 3333632.6","-227.6940"," 1"
"661 Fenley Avenue","San Jose","  8024"," 1150000"," 2453.4000"," 1727171.8","-227.4060","16"
"65 N Avalon Drive","Los Altos"," 13056"," 2998000"," 3997.1000"," 5166768.4","-225.3455"," 4"
"26707 Tanglewood Lane","Los Altos Hills","110206"," 4895000"," 5727.4000"," 6294295.7","-224.8724"," 0"
"1519 Perez Drive","Pacifica"," 33885","  898000"," 1991.0000"," 1377829.7","-224.3207"," 1"
"21710 Rainbow Drive","Cupertino"," 24790"," 3500000"," 3076.0000"," 3008857.1","-224.1866"," 5"
"12469 Saratoga Avenue","Saratoga","  9963"," 1988000"," 2685.2785"," 2420987.4","-220.9889","37"
"237 Mapache Drive","Portola Valley","145055"," 7988000"," 5851.0000"," 7060206.7","-220.9806"," 0"
"1090 Cedar Street","San Carlos","  6050"," 1449950"," 2937.4000"," 2866159.8","-216.6111"," 3"
"13956 Skyline Boulevard","Woodside"," 12474"," 1695000"," 1716.4452"," 1224439.1","-214.3878"," 2"
"289 Rayos Del Sol Drive","San Jose","  2905","  710000"," 1262.3311","  709638.2","-214.2961","40"
"3685 Ysabel Drive","San Bruno","  7000","  979000"," 2376.0000"," 1525000.0","-214.1550"," 1"
"123 HARWOOD Road","Los Gatos"," 58370"," 3785000"," 4231.5000"," 3611599.6","-213.8211"," 4"
"27510 E 10th Street","Hayward","  6640","  600000"," 2814.0000"," 1483549.5","-209.7428","17"
"1611 Crow Court","Sunnyvale","  8000"," 2288000"," 2230.8000"," 2021194.6","-209.5410","33"
"333 Rayos Del Sol Drive","San Jose","  2901","  725000"," 1260.5930","  708661.0","-206.9468","41"
"8 Dunfirth Drive","Hayward","  9707"," 1269880"," 2814.0000"," 1483549.5","-206.9307","17"
"366 S Mary Avenue","Sunnyvale","  6696"," 1700000"," 2230.8000"," 2021194.6","-206.1638","33"
"863 Skyline Drive","Daly City","  3500"," 1100000"," 1871.5000"," 1100000.0","-204.3341"," 1"
"21155 Orogrande Place","Cupertino","  5313"," 1799000"," 2072.1340"," 2026903.5","-203.7424","43"
"917 North Road","Belmont","  5500"," 1268000"," 2451.6068"," 2026328.0","-203.4348"," 0"
"1310 Saint Francis Way","San Carlos","  8500"," 1698000"," 2414.5000"," 2446411.5","-202.7154"," 4"
"10380 Sterling Boulevard","Cupertino","  6681"," 2448000"," 2605.6705"," 2548793.9","-202.5066"," 4"
"2066 Louise Lane","Los Altos"," 13692"," 1995000"," 3536.6000"," 4077421.4","-202.4687"," 4"
"35 Sugar Hill Drive","Hillsborough"," 30750"," 3890000"," 6408.8736"," 6473349.8","-201.3286"," 0"
"2226 Louis Road","Palo Alto"," 13400"," 5450000"," 2974.2000"," 4624764.9","-201.2600"," 1"
