"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"1220 Pierce Street","Santa Clara","   5040","  690000"," 2088.000"," 1513373","343.6000","0.0691559127","23"
"2325 Brittan Avenue","San Carlos","   6480"," 1448000"," 2414.500"," 2446411","342.5814","0.0473278648"," 4"
"18676 Martha Avenue","Saratoga","  11060"," 1480888"," 2980.948"," 2687556","341.6830","0.0523140185","33"
"18632 Woodbank Way","Saratoga","  59634"," 2400000"," 4800.000"," 4327573","338.4673","0.0480841473"," 2"
"509 Poinsettia Avenue","San Mateo","   5500","  888000"," 1827.400"," 1619690","338.3558","0.0488027009"," 3"
"615 Miller Avenue","Pacifica","   7200","  750000"," 1869.000"," 1485272","337.7760","0.0538668498"," 0"
"1751 Larkellen Lane","Los Altos","  10266"," 2195000"," 2970.733"," 3427166","334.0133","0.0327405298"," 7"
"3581 San Felipe Road","San Jose","   8800","  499000"," 3687.600"," 1857689","333.1845","0.0762303255","23"
"863 Jefferson Drive","Mountain View","   7290"," 1898000"," 2274.000"," 2855253","333.0630","0.0291393323"," 5"
"35 Sugar Hill Drive","Hillsborough","  30750"," 3890000"," 6408.874"," 6473350","332.3853","0.0357070855"," 0"
"1058 Montgomery Street","San Carlos","   5000","  849000"," 1656.332"," 1503290","331.4916","0.0387551891"," 3"
"698 Hollingsworth Drive","Los Altos","  13832"," 3485000"," 3997.100"," 5171071","331.2641","0.0266785289"," 4"
"2908 E 16th Street","Oakland","   5616","  449000"," 2814.000"," 1483709","330.7922","0.0670036647","17"
"1175 Palomar Dr.","Redwood City","  25155"," 1850000"," 3949.000"," 3393850","330.7878","0.0400635704"," 0"
"15921 Rochin Terrace","Los Gatos","   8560"," 1590000"," 3407.424"," 2919027","330.0718","0.0392261208","12"
"560 Wurr Road","Loma Mar","  98707","  899000"," 2172.500"," 1725339","324.7713","0.0347030088"," 0"
"1779 Foxworthy Avenue","San Jose","   7505","  849000"," 2945.800"," 1941287","324.6646","0.0419318856","16"
"21290 Blue Hills Drive","Saratoga","  61288"," 2488000"," 4800.000"," 4327573","320.1340","0.0246036470"," 2"
"56 Eugenia Way","Hillsborough","  34578"," 3999000"," 6440.900"," 6505698","318.4803","0.0200681323"," 1"
"22600 Prospect Road","Saratoga"," 138085"," 2498000"," 4800.000"," 4327573","318.0507","0.0220018094"," 2"
"15440 Quito Road","Saratoga","  42840"," 2499000"," 4800.000"," 4327573","317.8423","0.0217423522"," 2"
"1210 Ralston Avenue","Belmont","  69000"," 1200000"," 2652.500"," 2192372","316.2701","0.0216241401"," 1"
"104 Arundel Road","San Carlos","   7000"," 1498000"," 2723.868"," 2535917","315.8754","0.0186779406"," 2"
"3861 Grove Court","Palo Alto","   6930"," 2398000"," 2514.800"," 3431588","315.4832","0.0123514075"," 5"
"618 Manzanita Way","Woodside"," 116366"," 7995000"," 8504.000","11475162","314.7814","0.0119190806"," 0"
"534 Hemlock Avenue","Millbrae","   5400","  948888"," 1968.000"," 1685556","314.3692","0.0183712643"," 0"
"50 Mono Street","Brisbane","   5000","  759000"," 2995.000"," 1827406","314.0191","0.0253316629"," 0"
"1911 Hopkins Avenue","Redwood City","   8255"," 1550000"," 2916.634"," 2650528","313.7147","0.0164952338"," 2"
"215 Chapin Lane","Burlingame","   6600"," 2198000"," 3204.940"," 3441400","312.7991","0.0129832496"," 2"
"444 Monterey Road","Pacifica","   6000","  799950"," 1869.000"," 1485272","311.0504","0.0151789807"," 0"
"1920 Main Street","Santa Clara","   6500","  759950"," 2088.000"," 1513373","310.0991","0.0152103318","23"
"1374 Chestnut Street","San Carlos","   4560"," 1228000"," 1939.125"," 1964754","309.0161","0.0096607351"," 3"
"24 Edge Road","Atherton","  46043"," 6725000"," 6656.000"," 9433674","307.7398","0.0059066237"," 0"
"493 Brian Street","Hayward","   5046","  498000"," 2688.316"," 1417441","305.1054","0.0105212951","13"
"1345 Newhall Street","San Jose","   4500","  779000"," 2088.000"," 1513373","300.9755","0.0014492981","23"
"19640 Redberry Drive","Los Gatos","  97138"," 2580000"," 4800.000"," 4327573","300.9673","0.0011550063"," 2"
"1411 Kavanaugh Drive","East Palo Alto","   5500","  795000"," 2638.400"," 1706540","300.2132","0.0003544717"," 3"
