"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"0.2320299","ML81642215"," 0.1139545"," 5696.800"," 2988000","1092.2740"," 4697040"," 6222466","1089853.7","  55321","45","4","27022 Dezahara Way","221","94022","Los Altos Hills","Santa Clara"," 292","545","  286","29134"," 88","151","  87","7981"
"0.2211941","ML81643020"," 0.1551724"," 5700.000"," 3499000","1200.0000"," 5209000"," 6840000","1152200.0","  48788","31","2","180 Cherokee Way","263","94028","Portola Valley","San Mateo","  71","181","  180","12666"," 17"," 50","  50","3418"
"0.2209597","ML81643049"," 0.1551724"," 5700.000"," 3500000","1200.0000"," 5210000"," 6840000","1151200.0","  73181","57","2","450 Golden Oak Drive","263","94028","Portola Valley","San Mateo","  71","181","  180","12666"," 17"," 50","  50","3418"
"0.2001738","ML81638114"," 0.3795008"," 2390.855"," 1100000"," 980.8988"," 1817256"," 2345187"," 363767.2","   6300","58","14","1017 Miller Avenue","18","95129","San Jose","Santa Clara","1334","527","16081","29134","335","132","4378","7981"
"0.1859677","ML81643048"," 0.4498847"," 4498.847"," 3195000","1288.2184"," 4544654"," 5795498"," 845158.7","  10000","68","2","480 Cotton Street","303","94025","Menlo Park","San Mateo"," 139","969","  974","12666"," 38","249"," 252","3418"
"0.1696107","ML81634054"," 0.2635572"," 4800.000"," 1998000"," 900.7889"," 3438000"," 4323787"," 583121.6"," 435600","31","85","25561 Big Basin","17","95070","Saratoga","Santa Clara"," 944","927","  927","29134","260","258"," 258","7981"
"0.1601893","ML81642364"," 0.3795008"," 3084.400"," 1499888"," 980.8988"," 2425208"," 3025484"," 388492.3","   9200","56","7","1258 S Stelling Road","18","95014","Cupertino","Santa Clara","1334","801","  801","29134","335","202"," 202","7981"
"0.1540370","ML81643383"," 0.1139545"," 5428.908"," 3150000","1092.2740"," 4778672"," 5929855"," 736092.4","  47641","64","0","12516 Robleda Road","221","94022","Los Altos Hills","Santa Clara"," 292","545","  286","29134"," 88","151","  87","7981"
"0.1489660","ML81641444"," 0.3363803"," 2493.700","  685000"," 710.0019"," 1433110"," 1770532"," 213484.6","   8100","76","10","2361 Fruitdale Avenue","15","95128","San Jose","Santa Clara","1590","664","16081","29134","480","176","4378","7981"
"0.1435350","ML81643064"," 0.4498847"," 2474.366"," 1850000","1288.2184"," 2592310"," 3187524"," 372087.3","   5500","71","2","905 Sherman Avenue","303","94025","Menlo Park","San Mateo"," 139","969","  974","12666"," 38","249"," 252","3418"
