"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"25561 Big Basin","Saratoga"," 435600"," 1998000"," 4800.000"," 4332984","423.2657","0.1720986451","260","257"," 257","7974"," 2","ML81631190, ML81627495"
"155 Willowbrook Drive","Portola Valley","  48643"," 3995000"," 5700.000"," 6856558","417.8244","0.1177211050"," 16"," 49","  49","3417"," 0",""
"20 Cordova Court","Portola Valley","  58806"," 3998000"," 5700.000"," 6856558","417.2981","0.1171336552"," 16"," 49","  49","3417"," 0",""
"65 Selby Lane","Atherton","  40075","10800000","10653.778","16392546","417.2293","0.0892342597"," 26"," 61","  58","3417"," 2","ML81615037, ML81472163"
"1627 Notre Dame Avenue","Belmont","   6708","  998000"," 2684.478"," 2252069","408.4313","0.1614120204"," 52","173"," 173","3417"," 2","ML81592311, ML81581926"
"735 Saratoga Avenue","San Jose","   7000"," 1350000"," 2654.183"," 2611527","406.4225","0.1316082300","338","131","4379","7974"," 0",""
"1155 Happy Valley Avenue","San Jose","  11495"," 1580000"," 3096.300"," 3046538","404.7671","0.1292963825","338","131","4379","7974"," 4","ML81628111, ML81596058, ML81590614, ML81564131"
"22541 Mount Eden Road","Saratoga","  15638"," 1798000"," 4104.534"," 3705184","401.4635","0.1374747198","260","257"," 257","7974","13","ML81638652, ML81626169, ML81627900, ML81600800, ML81595620, ML81595715, ML81591667, ML81581343, ML81580910, ML81577234, ML81565932, ML81578006, ML81563726"
"1040 Continental Drive","Menlo Park","  16764"," 2998000"," 4822.000"," 5302864","401.0086","0.1095854075"," 13","249"," 252","3417"," 2","ML81588773, ML81589307"
"355 Lloyden Park Lane","Atherton","  11718"," 2468000"," 4145.131"," 4438041","400.3200","0.1120395858"," 15"," 61","  58","3417"," 1","ML81581990"
"15040 Montebello Road","Cupertino","  73468"," 1599000"," 3096.300"," 3046538","398.6308","0.1208084217","338","207"," 207","7974"," 4","ML81628111, ML81596058, ML81590614, ML81564131"
"6 TUSCALOOSA Avenue","Atherton","  17000"," 4685000"," 4519.382"," 6953794","394.3080","0.0705556640"," 26"," 61","  58","3417"," 0",""
"2212 San Carlos Avenue","San Carlos","   6500"," 1198000"," 2530.834"," 2354636","391.8914","0.1188206768"," 49","243"," 243","3417"," 1","ML81585571"
"2719 Talbot Avenue","Oakland","   7250","  425000"," 2523.600"," 1520314","391.8576","0.1961049539"," 20","  8","  36"," 713"," 0",""
"1357 Bernal Avenue","Burlingame","   6000"," 1599000"," 2990.000"," 2977162","391.2244","0.1092792702"," 34","251"," 151","3417"," 5","ML81632978, ML81611553, ML81589755, ML81578060, ML81580161"
"15 Darcy Court","San Mateo","   6400","  949000"," 2227.500"," 1947842","387.2025","0.1201072789"," 40","208"," 479","3417"," 0",""
"15545 Swiss Creek Lane","Cupertino"," 435164"," 1649999"," 3096.300"," 3046538","382.1598","0.0986437963","338","207"," 207","7974"," 4","ML81628111, ML81596058, ML81590614, ML81564131"
"1533 Topar Avenue","Los Altos","  14100"," 2495000"," 4293.500"," 4413685","374.9218","0.0850311009"," 31","189"," 258","7974"," 2","ML81635367, ML81612974"
"534 Wellington Drive","San Carlos","   7050"," 1348000"," 2744.981"," 2553875","374.1751","0.0937646089"," 49","243"," 243","3417"," 2","ML81585571, ML81563941"
"813 Lakechime Drive","Sunnyvale","   5720","  928000"," 1963.690"," 1778943","369.9246","0.0905079363","474"," 44"," 474","7974","56","ML81639176, ML81638779, ML81638786, ML81636915, ML81636677, ML81634647, ML81635048, ML81633383, ML81631343, ML81627916, ML81626297, ML81627148, ML81626326, ML81627538, ML81626284, ML81614276, ML81614208, ML81613204, ML81613153, ML81613184, ML81598224, ML81598073, ML81599295, ML81598182, ML81598220, ML81596102, ML81596104, ML81598178, ML81595616, ML81592133, ML81591829, ML81594858, ML81591639, ML81587857, ML81588269, ML81588260, ML81588267, ML81589478, ML81589512, ML81585287, ML81582418, ML81584976, ML81583685, ML81582456, ML81581829, ML81581239, ML81583649, ML81579904, ML81578833, ML81578808, ML81577823, ML81577625, ML81577180, ML81577248, ML81566531, ML81565090"
"789 17th Avenue","Menlo Park","   5500"," 1098000"," 2219.463"," 2047835","363.3700","0.0797392993"," 28","249"," 252","3417"," 1","ML81580236"
"1341 Vancouver Avenue","Burlingame","   6000"," 1699000"," 2990.000"," 2977162","357.7796","0.0665489439"," 34","251"," 151","3417"," 5","ML81632978, ML81611553, ML81589755, ML81578060, ML81580161"
"1785 Croner Avenue","Menlo Park","   8778"," 2500000"," 3324.400"," 3951073","353.2963","0.0506611656"," 42","249"," 252","3417"," 5","ML81613654, ML81612017, ML81596629, ML81586829, ML81562710"
"1255 Covington Road","Los Altos","  11024"," 2298000"," 3190.542"," 3674328","350.7634","0.0497556948","117","189"," 258","7974"," 4","ML81590887, ML81581442, ML81580044, ML81579875"
"687 Florales Drive","Palo Alto","   8235"," 2588000"," 2742.100"," 3810294","348.4823","0.0389791088"," 24","124"," 321","7974"," 1","ML81638384"
"30 White Plains Court","San Mateo","   9400"," 1398000"," 2756.800"," 2519727","342.9144","0.0531704073"," 17","165"," 479","3417"," 0",""
"722 Santa Susana Street","Sunnyvale","   5500","  950000"," 1888.163"," 1710522","339.3699","0.0490202751","474"," 60"," 474","7974","61","ML81639700, ML81636661, ML81637364, ML81636915, ML81636677, ML81634647, ML81635048, ML81633383, ML81631105, ML81631343, ML81630748, ML81630764, ML81631542, ML81626297, ML81627148, ML81626326, ML81627538, ML81626284, ML81615262, ML81614208, ML81613153, ML81613061, ML81613103, ML81614404, ML81598073, ML81599295, ML81598182, ML81596102, ML81598178, ML81595616, ML81592133, ML81591829, ML81594259, ML81591894, ML81594858, ML81591888, ML81587857, ML81588269, ML81589478, ML81587363, ML81589512, ML81588840, ML81587331, ML81582417, ML81582418, ML81584976, ML81583685, ML81582456, ML81581829, ML81581239, ML81585620, ML81578808, ML81577591, ML81577823, ML81577625, ML81577248, ML81577540, ML81578844, ML81578865, ML81565488, ML81565090"
"509 Poinsettia Avenue","San Mateo","   5500","  888000"," 1829.800"," 1621817","338.9932","0.0496539286"," 42","208"," 479","3417"," 2","ML81637602, ML81635035"
"50 Mono Street","Brisbane","   5000","  759000"," 2818.000"," 1836058","336.5982","0.0642817818"," 25"," 27","  27","3417"," 0",""
"18700 Casa Blanca Lane","Saratoga","  12870"," 1699988"," 3378.012"," 3049349","336.2647","0.0451473612","260","257"," 257","7974","12","ML81636495, ML81629684, ML81627914, ML81627517, ML81612861, ML81598006, ML81599162, ML81594313, ML81587355, ML81582024, ML81584545, ML81566109"
