"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"789 Northampton Drive","Palo Alto","11658","8295000"," 2974.200"," 4661232","-412.0906","1"
"3861 Corina Way","Palo Alto"," 8700","2450000"," 2394.000"," 3303181","-358.5162","5"
"2883 Kipling Street","Palo Alto"," 6555","2588000"," 2570.962"," 3610414","-291.6652","2"
"395 Atherton Avenue","Atherton","56823","4988000","10808.800","15480798","-277.6106","0"
"3861 Grove Court","Palo Alto"," 6930","2398000"," 2259.558"," 3117682","-274.7059","3"
"399 Atherton Avenue","Atherton","53893","5845000","10808.800","15480798","-263.2402","0"
