"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"1127 High Street","Palo Alto","8000","4000000","4317.400","7216226","627.9450","0.26738642","0"
"3436 Greer Road","Palo Alto","6757","2150000","2485.727","3391916","404.1000","0.08936093","5"
"2150 Dartmouth Street","Palo Alto","4375","2495000","2185.187","3500722","348.1035","0.03336401","0"
