"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"0.2416235","ML81645087","0.2893759"," 3536.600"," 1995000","1153.6433"," 3055980.0"," 4079975"," 738396.5","  13692","57","2","2066 Louise Lane","214","94024","Los Altos","Santa Clara"," 408"," 668","  941","33774","117","191"," 259","9210"," 4","ML81636059, ML81634673, ML81614406, ML81578713"
"0.2258059","ML81645059","0.2623762"," 6487.000"," 3025000","1010.0605"," 4971100.0"," 6552262","1122503.8","  42400","59","2","731 El Cerrito Avenue","441","94010","Hillsborough","San Mateo","  28","1002","  384","13995","  7","262"," 103","3784"," 0",""
"0.2177341","ML81644100","0.3980636"," 4231.500"," 1499000"," 856.6667"," 2768450.0"," 3624985"," 602786.1","  15000","92","2","122 Whitney Avenue","16","95030","Los Gatos","Santa Clara","1224"," 512"," 1318","33774","305","131"," 341","9210"," 4","ML81627972, ML81588245, ML81589213, ML81583395"
"0.2132113","ML81645501","0.4592668"," 3823.396"," 2199000","1141.6490"," 3346018.8"," 4364976"," 713409.0","   8325","77","0","207 Felton Drive","306","94025","Menlo Park","San Mateo","   9","1030"," 1035","13995","  1","262"," 265","3784"," 0",""
"0.2078535","ML81645431","0.3900120"," 2756.215"," 1250000"," 978.6477"," 2076864.5"," 2697364"," 431683.6","   7067","58","0","5103 Englewood Drive","18","95129","San Jose","Santa Clara","1411"," 544","18186","33774","353","136","4946","9210"," 3","ML81638010, ML81634648, ML81601358"
"0.2031757","ML81643932","0.1634046"," 6656.000"," 5295000","1417.3187"," 7291800.0"," 9433674","1481516.4","  40915","61","4","250 Catalpa Drive","293","94027","Atherton","San Mateo","  46"," 255","  251","13995","  9"," 60","  57","3784"," 0",""
"0.1887408","ML81644310","0.4994714"," 1560.848"," 1488000","1602.0236"," 1956254.5"," 2500516"," 369225.1","   3125","49","7","2131 Hanover Street","236","94306","Palo Alto","Santa Clara","  73"," 458"," 1138","33774"," 19","130"," 329","9210"," 4","ML81639514, ML81635868, ML81613252, ML81578260"
"0.1874248","ML81644489","0.3678743"," 2341.520"," 1800000","1364.5571"," 2502456.0"," 3195138"," 469022.2","   6365","65","6","3787 Starr King Circle","233","94306","Palo Alto","Santa Clara"," 305"," 458"," 1138","33774"," 87","130"," 329","9210"," 4","ML81639118, ML81631412, ML81631320, ML81628134"
"0.1820799","ML81644752","0.4665803"," 2216.256","  889000"," 891.1699"," 1553876.9"," 1975061"," 282929.8","   4750","61","5","172 Orchard Avenue","332","94061","Redwood City","San Mateo"," 251"," 843"," 1821","13995"," 74","261"," 511","3784"," 3","ML81636814, ML81637839, ML81631724"
"0.1706350","ML81634054","0.2695251"," 4800.000"," 1998000"," 901.5778"," 3438000.0"," 4327573"," 586643.1"," 435600","31","85","25561 Big Basin","17","95070","Saratoga","Santa Clara"," 993"," 977","  977","33774","267","264"," 264","9210"," 2","ML81631190, ML81627495"
"0.1646023","ML81644655","0.3610839"," 2184.558","  925000"," 905.9187"," 1580367.3"," 1979032"," 260132.2","   6050","59","6","1107 Fairwood Avenue","19","94089","Sunnyvale","Santa Clara","1875"," 179"," 1877","33774","486"," 43"," 486","9210","34","ML81640039, ML81639718, ML81638779, ML81637384, ML81638786, ML81638986, ML81635394, ML81634647, ML81615401, ML81626461, ML81627916, ML81628189, ML81627256, ML81614276, ML81597179, ML81599776, ML81598224, ML81595733, ML81598073, ML81592133, ML81588002, ML81586216, ML81587857, ML81585871, ML81588260, ML81588267, ML81585108, ML81585497, ML81578644, ML81579125, ML81579904, ML81578833, ML81579192, ML81577599"
