"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"0.2158427","ML81643932"," 0.16340458"," 6656.000"," 5295000","1432.2402"," 7291800"," 9532991","1573881.5","  40915","61","4","250 Catalpa Drive","293","94027","Atherton","San Mateo","  46","255","  251","12830","  9"," 59","  56","3413"," 0",""
"0.1955017","ML81644396"," 0.07509071"," 2880.000","  950000"," 809.6774"," 1814000"," 2331871"," 354640.0","1778990","104","7","7200 La Honda Road","250","94020","La Honda","San Mateo","  13"," 24","   25","12830","  2","  4","   4","3413"," 0",""
"0.1934805","ML81644310"," 0.50209286"," 1569.040"," 1488000","1602.0236"," 1958712"," 2513639"," 378972.6","   3125","49","7","2131 Hanover Street","236","94306","Palo Alto","Santa Clara","  72","444"," 1115","29572"," 19","124"," 321","7942"," 4","ML81639514, ML81635868, ML81613252, ML81578260"
"0.1914279","ML81645431"," 0.37911372"," 2679.197"," 1250000"," 982.0412"," 2053759"," 2631082"," 393146.8","   7067","58","0","5103 Englewood Drive","18","95129","San Jose","Santa Clara","1361","541","16314","29572","336","132","4367","7942"," 0",""
"0.1764580","ML81645501"," 0.43666667"," 3635.250"," 2199000","1144.7193"," 3289575"," 4161341"," 580471.8","   8325","77","0","207 Felton Drive","306","94025","Menlo Park","San Mateo","   9","979","  984","12830","  1","249"," 252","3413"," 0",""
"0.1735623","ML81634054"," 0.26225706"," 4800.000"," 1998000"," 903.8322"," 3438000"," 4338395"," 596707.2"," 435600","31","85","25561 Big Basin","17","95070","Saratoga","Santa Clara"," 957","941","  941","29572","259","256"," 256","7942"," 2","ML81631190, ML81627495"
"0.1589316","ML81643383"," 0.11362875"," 5413.387"," 3150000","1098.9796"," 4774016"," 5949202"," 758741.8","  47641","64","7","12516 Robleda Road","221","94022","Los Altos Hills","Santa Clara"," 294","555","  288","29572"," 83","148","  82","7942"," 4","ML81630444, ML81589560, ML81582697, ML81459009"
"0.1431006","ML81643064"," 0.44911298"," 2470.121"," 1850000","1289.3082"," 2591036"," 3184748"," 370778.9","   5500","71","2","905 Sherman Avenue","303","94025","Menlo Park","San Mateo"," 141","979","  984","12830"," 39","249"," 252","3413"," 4","ML81637895, ML81636965, ML81633370, ML81580409"
"0.1383419","ML81639050"," 0.26225706"," 4101.176"," 1798000"," 903.8322"," 3028353"," 3706775"," 418948.0","  15638","62","26","22541 Mount Eden Road","17","95070","Saratoga","Santa Clara"," 957","941","  941","29572","259","256"," 256","7942","12","ML81638652, ML81626169, ML81627900, ML81600800, ML81595620, ML81595715, ML81591667, ML81581343, ML81580910, ML81565932, ML81578006, ML81563726"
"0.1374403","ML81644285"," 0.30751405"," 3946.000"," 2998000","1296.1398"," 4181800"," 5114568"," 574747.9","  13056","65","7","65 N Avalon Drive","211","94022","Los Altos","Santa Clara"," 326","555","  933","29572"," 82","148"," 253","7942"," 4","ML81635638, ML81589782, ML81586147, ML81581412"
