"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"1418 24th Avenue","Oakland","   4407","  575000"," 1806.648","  955932.5","-235.7520","55"
"256 Linden Avenue","San Bruno","   3800","  998000"," 1975.605"," 1323000.0","-234.4118"," 0"
"65 N Avalon Drive","Los Altos","  13056"," 2998000"," 3918.300"," 5098878.1","-234.0148"," 4"
"552 Nevada Avenue","San Mateo","   8040"," 2800000"," 3361.500"," 3344078.2","-227.6940"," 1"
"180 Magnolia Drive","Atherton","  40600","10250000"," 6634.226","10247131.5","-226.9357"," 0"
"26707 Tanglewood Lane","Los Altos Hills"," 110206"," 4895000"," 5696.800"," 6266629.3","-225.9191"," 0"
"654 Willis Avenue","San Jose","   5800","  695000"," 2424.977"," 1610611.4","-225.4134","33"
"18700 Casa Blanca Lane","Saratoga","  12870"," 1699988"," 3378.012"," 3045540.7","-221.5826","12"
"12469 Saratoga Avenue","Saratoga","   9963"," 1988000"," 2615.007"," 2357631.9","-220.9889","35"
"1090 Cedar Street","San Carlos","   6050"," 1449950"," 2483.046"," 2422824.9","-216.6111"," 4"
"395 S Gordon Way","Los Altos","  16800"," 3798000"," 3918.300"," 5098878.1","-216.1557"," 4"
"917 North Road","Belmont","   5500"," 1268000"," 2201.048"," 1846509.0","-215.8269"," 2"
"13956 Skyline Boulevard","Woodside","  12474"," 1695000"," 1808.957"," 1292638.1","-215.6066"," 2"
"55 Roslyn Avenue","San Carlos","   6000"," 1917000"," 2603.889"," 2289431.4","-214.7638"," 4"
"3416 Shasta Drive","San Mateo","   9490"," 2089000"," 2664.000"," 2025000.0","-211.8080"," 2"
"27510 E 10th Street","Hayward","   6640","  600000"," 2682.000"," 1419098.0","-211.6590","12"
"21155 Orogrande Place","Cupertino","   5313"," 1799000"," 2014.525"," 1982148.7","-209.4990","45"
"1611 Crow Court","Sunnyvale","   8000"," 2288000"," 2223.600"," 2014130.4","-209.2979","31"
"10380 Sterling Boulevard","Cupertino","   6681"," 2448000"," 2533.228"," 2492515.6","-208.2632"," 3"
"27408 Deer Springs Way","Los Altos Hills","  69721"," 3395000"," 5696.800"," 6266629.3","-207.7792"," 0"
"7200 La Honda Road","La Honda","1778990","  950000"," 2940.000"," 2378456.8","-207.7331"," 0"
"366 S Mary Avenue","Sunnyvale","   6696"," 1700000"," 2223.600"," 2014130.4","-205.9206","31"
"4558 Park Cherry Place","San Jose","   7700","  979000"," 2259.900"," 1128415.0","-204.5300"," 8"
"863 Skyline Drive","Daly City","   3500"," 1100000"," 1871.500"," 1100000.0","-204.3341"," 1"
"2226 Louis Road","Palo Alto","  13400"," 5450000"," 2976.900"," 4628963.3","-201.2600"," 1"
"1061 Longfellow Avenue","Campbell","   8775","  958000"," 2131.700"," 1414064.9","-200.7723","30"
"1278 N Central Avenue","San Jose","   8520"," 1650000"," 2490.600"," 1773370.3","-200.5560","18"
