"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4339990.7","-243.8594"," 2"
"755 Partridge Avenue","Menlo Park","   4450"," 2188000"," 2128.473"," 2978238.0","-241.5651"," 1"
"256 Linden Avenue","San Bruno","   3800","  998000"," 1975.605"," 1323000.0","-238.6241"," 0"
"2038 EL SERENO Avenue","Los Altos","   9375"," 2598000"," 2712.899"," 3127758.9","-237.4879"," 9"
"1418 24th Avenue","Oakland","   4407","  575000"," 1807.451","  957792.5","-236.5460","57"
"661 Fenley Avenue","San Jose","   8024"," 1150000"," 2497.200"," 1778745.0","-235.7106","17"
"1245 Millbrae Avenue","Millbrae","  10237"," 2088000"," 3218.200"," 2884707.8","-235.6136"," 2"
"1090 Cedar Street","San Carlos","   6050"," 1449950"," 2483.046"," 2461925.9","-232.3582"," 4"
"123 HARWOOD Road","Los Gatos","  58370"," 3785000"," 4229.000"," 3685760.7","-231.8620"," 6"
"1626 Christina Drive","Los Altos","  11610"," 2998000"," 3359.654"," 3873416.7","-230.4597"," 4"
"1519 Perez Drive","Pacifica","  33885","  898000"," 1970.000"," 1371148.6","-228.3062"," 1"
"21710 Rainbow Drive","Cupertino","  24790"," 3500000"," 3095.000"," 3040059.2","-228.2632"," 4"
"552 Nevada Avenue","San Mateo","   8040"," 2800000"," 3361.500"," 3344078.2","-227.6940"," 1"
"65 N Avalon Drive","Los Altos","  13056"," 2998000"," 3946.000"," 5109209.5","-227.4982"," 4"
"26707 Tanglewood Lane","Los Altos Hills"," 110206"," 4895000"," 5696.400"," 6260227.3","-224.8724"," 0"
"12469 Saratoga Avenue","Saratoga","   9963"," 1988000"," 2612.867"," 2362462.2","-223.5759","36"
"917 North Road","Belmont","   5500"," 1268000"," 2200.000"," 1857926.8","-221.4164"," 2"
"2480 Bennington Avenue","San Bruno","   6156"," 1398000"," 2143.000"," 1520000.0","-218.1771"," 0"
"13956 Skyline Boulevard","Woodside","  12474"," 1695000"," 1808.957"," 1292638.1","-215.6066"," 2"
"1611 Crow Court","Sunnyvale","   8000"," 2288000"," 2230.500"," 2027727.3","-212.5917","29"
"27510 E 10th Street","Hayward","   6640","  600000"," 2680.000"," 1420167.9","-212.4531","12"
"366 S Mary Avenue","Sunnyvale","   6696"," 1700000"," 2230.500"," 2027727.3","-209.2144","29"
"7200 La Honda Road","La Honda","1778990","  950000"," 2880.000"," 2331983.8","-208.4508"," 0"
"21155 Orogrande Place","Cupertino","   5313"," 1799000"," 2014.231"," 1978475.6","-207.8189","43"
"1607 Manzanita Avenue","Belmont","   8100"," 1749000"," 2710.000"," 2288628.0","-207.5858"," 2"
"10380 Sterling Boulevard","Cupertino","   6681"," 2448000"," 2532.859"," 2487896.8","-206.5831"," 3"
"863 Skyline Drive","Daly City","   3500"," 1100000"," 1871.500"," 1100000.0","-204.3341"," 1"
"1310 Saint Francis Way","San Carlos","   8500"," 1698000"," 2414.500"," 2446411.5","-202.7154"," 4"
"2066 Louise Lane","Los Altos","  13692"," 1995000"," 3536.600"," 4077421.4","-202.4687"," 4"
"2226 Louis Road","Palo Alto","  13400"," 5450000"," 2974.200"," 4624764.9","-201.2600"," 1"
