"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 268.70","0","291","El Camino to Alameda","7","2","6","San Mateo","82","","$19,980,000","02/27/2014","74,357","ML81406058","070-211-290","Atherton","1,154.78","","","17,302","Expired","132 ISABELLA Avenue","2014","94027","R100"
"$ 168.54","7","274","Central Woodside","5","2","5","San Mateo","80","","$15,000,000","02/23/2014","89,000","ML81405623","072-152-280","Woodside","1,665.74","05/14/2014","","9,005","Sold","139 ALBION Avenue","2007","94062","R1"
"$ 322.06","0","17","Saratoga","5","1","5","Santa Clara","296","","$14,900,000","02/19/2014","46,265","ML81405187","510-26-004","Los Gatos","1,199.58","","","12,421","Expired","15555 GLEN UNA Drive","2014","95030","RHS-D"
"$ 18.65","11","16","Los Gatos/Monte Sereno","8","2","6","Santa Clara","222","","$12,998,000","03/01/2014","696,960","ML81406386","537-11-032","Los Gatos","1,181.64","","","11,000","Canceled","18001 WAGNER Road","2003","95032","A-20S"
"$ 91.06","4","274","Central Woodside","5","2","5","San Mateo","95","","$11,900,000","02/24/2014","130,680","ML81405604","072-060-240","Woodside","1,316.37","","","9,040","Expired","166 OLIVE HILL Lane","2010","94062","R100"
"$ 118.02","23","221","Los Altos Hills","4","2","4","Santa Clara","13","","$10,888,000","02/27/2014","86,259","ML81406087","336-40-043","Los Altos Hills","1,507.48","03/12/2014","$10,180,000","6,753","Sold","10631 MAGDALENA Road","1991","94024","RA"
"$ 118.45","85","239","Crescent Park","5","2","6","Santa Clara","456","","$9,800,000","03/02/2014","82,738","ML81406445","003-10-029","Palo Alto","1,051.28","","","9,322","Expired","1870 UNIVERSITY Avenue","1929","94301","R1929"
"$ 31.20","8","16","Los Gatos/Monte Sereno","6","1","6","Santa Clara","252","","$8,495,000","03/11/2014","272,250","ML81407592","537-23-062","Los Gatos","1,029.82","","","8,249","Canceled","285 WOODED VIEW Drive","2006","95032","HR11"
"$ 64.25","8","27","Alameda County","5","1","5","Alameda","224","","$8,200,000","03/13/2014","127,630","ML81407951","519-1709-002","Fremont","1,197.08","","","6,850","Canceled","867 BOAR Terrace","2006","94539","r1"
"$ 61.22","84","448","Homeplace","10","1","10","San Mateo","10","","$7,900,000","03/14/2014","130,680","ML81408131","030-073-060","Hillsborough","878.16","03/24/2014","$8,000,000","9,110","Sold","101 ROBIN Road","1930","94010","R1"
"$ 147.18","17","230","Palo Alto Hills","4","3","5","Santa Clara","38","","$7,950,000","03/09/2014","54,014","ML81407345","175-20-107","Palo Alto","997.99","04/16/2014","","7,966","Sold","4170 OLD ADOBE Road","1997","94306","R1"
"$ 12.30","","18","Cupertino","6","3","6","Santa Clara","351","","$7,995,000","02/19/2014","609,840","ML81405201","503-08-014","Saratoga","557.25","02/20/2014","$7,500,000","13,459","Sold","22030 MOUNT EDEN Road","","95070","HS-D1"
"$ 104.90","34","448","Homeplace","5","1","4","San Mateo","309","","$7,380,000","02/25/2014","70,355","ML81405752","031-370-270","Hillsborough","1,446.21","","","5,103","Expired","18 FARM Lane","1980","94010","R1000"
"$ 719.65","0","239","Crescent Park","7","2","8","Santa Clara","23","","$6,995,000","03/05/2014","9,720","ML81406863","003-11-048","Palo Alto","1,338.76","03/28/2014","$6,995,000","5,225","Sold","1479 HAMILTON Avenue","2014","94301","R1929"
"$ 167.33","24","293","Lindenwood Area","5","2","5","San Mateo","5","","$6,595,000","02/21/2014","40,040","ML81405542","061-152-010","Atherton","1,007.22","02/26/2014","$6,700,000","6,652","Sold","40 LABURNUM Road","1990","94027","R1"
"$ 93.07","28","232","Barron Park","5","0","5","Santa Clara","198","","$6,649,000","02/16/2014","71,441","ML81416080","137-17-009","Palo Alto","1,200.61","","","5,538","Canceled","953 ROBLE RIDGE Road","1986","94306","REB4"
"$ 137.31","13","17","Saratoga","5","1","5","Santa Clara","0","","$6,500,000","02/28/2014","46,609","ML81406411","510-26-072","Los Gatos","920.86","02/28/2014","$6,400,000","6,950","Sold","15815 GLEN UNA Drive","2001","95030","RHS-D"
"$ 34.91","22","274","Central Woodside","4","1","4","San Mateo","34","","$6,199,000","02/19/2014","177,594","ML81405070","073-082-460","Woodside","937.82","","","6,610","Canceled","38 HACIENDA Drive","1992","94062","RR"
"$ 135.11","12","16","Los Gatos/Monte Sereno","5","2","5","Santa Clara","241","","$5,999,000","03/10/2014","44,400","ML81407560","409-41-002","Monte Sereno","709.86","","","8,451","Canceled","15297 KARL Avenue","2002","95030","R1"
"$ 137.70","19","263","Central Portola Valley","4","1","4","San Mateo","129","","$5,998,000","02/21/2014","43,560","ML81405449","079-112-340","Portola Valley","1,252.98","","","4,787","Canceled","2 MEADOWCREEK Court","1995","94028","r1"
"$ 168.24","6","290","Alameda to 280","8","2","8","San Mateo","139","","$5,980,000","02/21/2014","35,545","ML81405340","070-031-410","Atherton","720.48","","","8,300","Canceled","302 ATHERTON Avenue","2008","94027","R101A"
"$ 484.37","59","237","Old Palo Alto","4","0","5","Santa Clara","0","","$5,950,000","02/20/2014","12,284","ML81405253","124-08-075","Palo Alto","1,741.29","02/20/2014","$5,950,000","3,417","Sold","1776 WAVERLEY Street","1955","94301","R1"
"$ 133.97","29","291","El Camino to Alameda","5","1","6","San Mateo","13","","$5,795,000","03/12/2014","43,255","ML81408118","070-021-040","Atherton","1,088.67","03/25/2014","","5,323","Sold","68 EUCLID Avenue","1985","94027","R1"
"$ 272.40","17","303","Central Menlo","4","2","5","San Mateo","23","","$5,895,000","03/10/2014","21,109","ML81407395","071-214-030","Menlo Park","1,337.21","04/02/2014","$5,750,000","4,300","Sold","1275 SANTA CRUZ Avenue","1997","94025","R1"
"$ 122.29","28","221","Los Altos Hills","5","1","4","Santa Clara","36","","$5,950,000","02/20/2014","46,609","ML81405235","336-48-013","Los Altos Hills","629.28","03/28/2014","$5,700,000","9,058","Sold","11653 DAWSON Drive","1986","94024","RA"
"$ 284.54","0","212","Country Club","4","2","5","Santa Clara","177","","$5,988,000","02/26/2014","20,032","ML81405969","331-09-076","Los Altos","911.27","08/22/2014","$5,700,000","6,255","Sold","607 NANDELL Lane","2014","94024","R1E-1"
"$ 760.00","14","240","Community Center","4","0","5","Santa Clara","10","","$4,800,000","03/05/2014","7,500","ML81406968","003-34-048","Palo Alto","1,425.00","03/15/2014","$5,700,000","4,000","Sold","804 LINCOLN Avenue","2000","94301","R1"
"$ 746.40","0","240","Community Center","6","1","7","Santa Clara","20","","$5,598,000","02/27/2014","7,500","ML81406053","003-34-049","Palo Alto","1,303.98","","","4,293","Canceled","812 LINCOLN Avenue","2014","94301","R1"
