"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 4,960,937.50","35","16","Los Gatos/Monte Sereno","5","3","5","Santa Clara","140","","$6,489,000","03/16/2015","1","ML81455373","410-22-013","Monte Sereno","907.14","08/03/2015","$6,350,000","7,000","Sold","18203 SARATOGA - LOS GATOS Road","1980","95030","R144"
"$ 278.54","85","238","Green Gables","4","0","5","Santa Clara","9","","$4,988,000","04/02/2015","22,216","ML81457983","003-50-010","Palo Alto","1,640.07","04/11/2015","$6,188,000","3,773","Sold","945 N California Avenue","1930","94303","R1"
"$ 143.48","66","17","Saratoga","4","2","5","Santa Clara","335","","$6,000,000","03/30/2015","41,818","ML81457581","503-20-010","Saratoga","779.22","","","7,700","Canceled","13651 Saratoga Sunnyvale Road","1949","95070","R112"
"$ 800.00","23","237","Old Palo Alto","5","1","5","Santa Clara","6","","$5,998,000","04/15/2015","7,500","ML81460015","124-06-023","Palo Alto","1,299.55","04/21/2015","$6,000,000","4,617","Sold","552 Tennyson Avenue","1992","94301","R1"
"$ 126.29","37","230","Palo Alto Hills","2","1","4","Santa Clara","339","","$5,999,988","03/27/2015","47,511","ML81457410","182-40-041","Palo Alto","1,806.68","","","3,321","Canceled","2991 Alexis Drive","1978","94304","PC"
"$ 140.50","3","17","Saratoga","4","1","5","Santa Clara","17","","$5,998,000","04/14/2015","42,689","ML81459817","397-19-014","Saratoga","1,301.93","","","4,607","Canceled","19645 Saratoga Los Gatos Road","2012","95070","R140"
"$ 122.74","5","278","Woodside Heights","4","1","5","San Mateo","182","","$5,988,000","03/16/2015","48,787","ML81455194","069-225-140","Woodside","1,198.80","","","4,995","Canceled","115 Eleanor Drive","2010","94062","R1001A"
"$ 802.41","105","237","Old Palo Alto","4","0","5","Santa Clara","13","","$5,989,000","03/25/2015","7,384","ML81456901","124-02-038","Palo Alto","1,959.33","04/07/2015","$5,925,000","3,024","Sold","578 Lowell Avenue","1910","94301","R1"
"$ 520.00","14","237","Old Palo Alto","4","2","5","Santa Clara","202","","$6,498,000","04/14/2015","11,250","ML81459864","124-01-014","Palo Alto","1,271.46","10/30/2015","$5,850,000","4,601","Sold","1565 Webster Street","2001","94301","R1929"
"$ 46.62","64","17","Saratoga","4","1","5","Santa Clara","313","","$6,500,000","04/03/2015","125,017","ML81458268","510-26-032","Saratoga","1,059.64","02/10/2016","$5,828,000","5,500","Sold","19730 Glen Una Drive","1951","95070","RHS-D"
"$ 595.66","3","238","Green Gables","3","1","4","Santa Clara","107","","$5,495,000","04/07/2015","9,225","ML81458586","003-12-025","Palo Alto","1,660.62","","","3,309","Canceled","1523 Hamilton Avenue","2012","94303","R1"
"$ 193.68","25","303","Central Menlo","5","1","6","San Mateo","7","","$5,495,000","04/09/2015","28,372","ML81459124","071-061-300","Menlo Park","1,004.57","04/16/2015","$5,495,000","5,470","Sold","1241 Valparaiso Avenue","1990","94025","R10000"
"$ 89.47","26","221","Los Altos Hills","4","1","6","Santa Clara","79","","$5,388,888","03/17/2015","60,232","ML81455802","175-48-080","Los Altos Hills","1,010.29","","","5,334","Canceled","25585 Okeefe Lane","1989","94022","R1"
