"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 390.95","0","291","El Camino to Alameda","6","2","6","315","","$18,950,000","05/02/2016","48,472","ML81583218","059-292-050","Atherton","1,618.83","","","11,706","Active","147 Stockbridge Avenue","2016","94027","R1001A"
"$ 327.20","14","290","Alameda to 280","9","2","7","157","","$16,995,000","05/16/2016","51,941","ML81585690","073-202-020","Atherton","1,333.99","","","12,740","Canceled","1 Ridge View Drive","2002","94027","R1001A"
"$ 311.95","3","291","El Camino to Alameda","7","2","6","112","","$16,850,000","04/18/2016","54,014","ML81580728","070-320-080","Atherton","1,540.64","","","10,937","Expired","202 Camino Al Lago","2013","94027","R1001A"
"$ 77.11","31","274","Central Woodside","5","2","6","280","","$16,795,000","04/23/2016","217,800","ML81581903","072-141-060","Woodside","1,571.09","","","10,690","Canceled","155 Kings Mountain Road","1985","94062","R1003A"
"$ 158.74","41","291","El Camino to Alameda","5","1","5","42","","$14,800,000","05/10/2016","81,893","ML81584825","070-080-250","Atherton","2,610.44","06/21/2016","$13,000,000","4,980","Sold","149 Tuscaloosa Avenue","1975","94027","R100"
"$ 324.75","3","291","El Camino to Alameda","7","3","5","136","","$12,990,000","04/18/2016","40,000","ML81580724","059-293-140","Atherton","1,106.00","","","11,745","Expired","35 Ralston Road","2013","94027","R1001A"
"$ 130.69","90","211","North Los Altos","4","4","4","295","","$11,500,000","05/02/2016","87,991","ML81583260","175-12-020","Los Altos","1,496.81","","","7,683","Withdrawn","220 University Avenue","1926","94022","R1"
"$ 100.19","113","221","Los Altos Hills","6","2","6","126","","$12,500,000","04/20/2016","102,802","ML81581344","175-54-081","Los Altos Hills","1,422.65","08/24/2016","$10,300,000","7,240","Sold","12775 Viscaino Road","1903","94022","R1"
"$ 47.06","76","221","Los Altos Hills","2","0","2","50","","$12,000,000","04/21/2016","217,800","ML81581376","182-08-011","Los Altos Hills","6,833.33","06/09/2016","$10,250,000","1,500","Sold","13830 Page Mill Road","1940","94022","RA"
"$ 403.15","95","240","Community Center","1","0","2","66","","$9,998,000","04/27/2016","24,800","ML81582648","003-26-067","Palo Alto","10,681.62","","","936","Canceled","961 Lincoln Avenue","1921","94301","R1"
"$ 85.08","29","274","Central Woodside","4","0","4","195","","$9,900,000","04/25/2016","116,366","ML81581997","072-221-490","Woodside","1,727.75","","","5,730","Canceled","618 Manzanita Way","1987","94062","RR0000"
"$ 53.87","41","274","Central Woodside","4","1","5","51","","$9,750,000","05/04/2016","180,992","ML81583775","072-141-050","Woodside","3,316.33","06/22/2016","$9,750,000","2,940","Sold","3577 Tripp Road","1975","94062","R1003A"
