"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 178.63","27","274","Central Woodside","5","1","4","San Mateo","255","","$23,888,000","02/11/2015","133,729","ML81450265","072-051-110","Woodside","2,288.12","","","10,440","Expired","700 Kings Mountain Road","1988","94062","R1003A"
"$ 238.04","1","291","El Camino to Alameda","7","2","6","San Mateo","193","","$18,350,000","02/02/2015","74,357","ML81448896","070-211-290","Atherton","1,148.01","08/14/2015","$17,700,000","15,418","Sold","132 Isabella Avenue","2014","94027","R100"
"$ 74.81","54","290","Alameda to 280","6","0","5","San Mateo","47","","$21,800,000","02/09/2015","233,917","ML81449907","073-202-730","Atherton","2,104.63","03/28/2015","$17,500,000","8,315","Sold","50 Belbrook Way","1961","94027","R100"
"$ 121.59","5","16","Los Gatos/Monte Sereno","7","0","5","Santa Clara","82","","$15,995,000","02/06/2015","131,551","ML81449642","510-27-004","Los Gatos","1,390.02","","","11,507","Canceled","16040 Overlook Drive","2010","95030","HS-D1"
"$ 55.80","63","274","Central Woodside","2","1","3","San Mateo","17","167","$15,556,000","02/01/2015","278,784","ML81448881","072-191-220","Woodside","4,588.79","","","3,390","Canceled","215 & 205 Mountain Wood Lane","1952","94062","R1003A"
"$ 20.67","12","16","Los Gatos/Monte Sereno","8","2","6","Santa Clara","224","","$14,498,000","01/16/2015","701,315","ML81447223","537-11-032","Los Gatos","1,382.21","","","10,489","Canceled","18001 Wagner Road","2003","95032","A-20S"
"$ 352.73","1","291","El Camino to Alameda","7","3","7","San Mateo","83","","$13,650,000","01/21/2015","36,855","ML81447683","070-354-150","Atherton","1,194.30","04/14/2015","$13,000,000","10,885","Sold","33 Emilie Avenue","2014","94027","R1001A"
"$ 309.43","6","230","Palo Alto Hills","9","1","7","Santa Clara","256","","$11,988,888","01/22/2015","38,745","ML81447709","175-01-082","Palo Alto","1,260.93","","","9,508","Expired","4194 Oak Hill Avenue","2009","94306","RE"
"$ 166.74","9","291","El Camino to Alameda","6","2","5","San Mateo","172","","$11,499,000","02/13/2015","66,500","ML81450644","070-090-020","Atherton","1,552.94","08/04/2015","$11,088,000","7,140","Sold","89 Almendral Avenue","2006","94027","R1001A"
"$ 202.27","4","291","El Camino to Alameda","7","1","6","San Mateo","291","","$9,850,000","01/31/2015","48,450","ML81448825","059-311-220","Atherton","777.78","11/16/2015","$9,800,000","12,600","Sold","68 Adam Way","2011","94027","R1001A"
"$ 758.99","6","237","Old Palo Alto","5","1","5","Santa Clara","77","","$8,780,000","02/12/2015","11,568","ML81450432","124-05-023","Palo Alto","1,541.70","","","5,695","Canceled","2281 Byron Street","2009","94301","R1"
"$ 49.07","34","274","Central Woodside","5","1","5","San Mateo","266","","$8,250,000","01/22/2015","168,141","ML81447708","072-174-010","Woodside","1,044.57","","","7,898","Expired","25 Oakhill Drive","1981","94062","R1003A"
"$ 48.43","1","274","Central Woodside","3","1","4","San Mateo","48","","$7,995,000","02/02/2015","165,092","ML81448947","072-203-100","Woodside","4,037.88","","","1,980","Canceled","410 Manzanita Way","2014","94062","R100"
"$ 58.99","58","274","Central Woodside","3","0","5","San Mateo","312","167","$7,750,000","02/02/2015","131,376","ML81448890","072-191-660","Woodside","2,183.10","","","3,550","Canceled","245 Mountain Wood Lane","1957","94062","R1003A"
"$ 222.99","7","214","South of El Monte","5","1","5","Santa Clara","9","","$5,795,000","02/10/2015","30,270","ML81450087","189-49-032","Los Altos","1,106.56","02/19/2015","$6,750,000","6,100","Sold","415 Covington Road","2008","94024","01"
"$ 132.91","34","291","El Camino to Alameda","5","2","5","San Mateo","26","","$7,200,000","02/01/2015","49,658","ML81448857","070-040-680","Atherton","1,147.83","02/27/2015","$6,600,000","5,750","Sold","233 Polhemus Avenue","1981","94027","Residential"
"$ 140.16","65","291","El Camino to Alameda","5","0","5","San Mateo","9","","$4,995,000","02/04/2015","43,700","ML81449405","059-312-260","Atherton","1,701.39","02/13/2015","$6,125,000","3,600","Sold","90 Almendral Avenue","1950","94027","R1001A"
"$ 82.86","12","221","Los Altos Hills","4","1","5","Santa Clara","29","","$6,200,000","02/04/2015","73,616","ML81449370","351 37 016","Los Altos Hills","1,129.63","03/05/2015","$6,100,000","5,400","Sold","12012 Adobe Creek Lodge Road","2003","94022","ra"
"$ 45.45","27","277","Woodside Glens","6","2","6","San Mateo","68","","$5,950,000","02/02/2015","130,899","ML81448898","073-280-040","Woodside","687.86","","","8,650","Canceled","330 Jane Drive","1988","94062","SCP"
"$ 133.15","29","16","Los Gatos/Monte Sereno","4","0","4","Santa Clara","151","","$5,800,000","02/09/2015","43,560","ML81450012","532-19-015","Los Gatos","1,414.63","","","4,100","Canceled","17144 Mill Rise Way","1986","95030","S"
"$ 766.67","19","237","Old Palo Alto","5","1","5","Santa Clara","23","","$5,980,000","01/27/2015","7,500","ML81448297","124-17-057","Palo Alto","1,466.84","02/19/2015","$5,750,000","3,920","Sold","251 Tennyson Avenue","1996","94301","R1929"
"$ 104.74","7","16","Los Gatos/Monte Sereno","5","1","5","Santa Clara","108","","$5,695,000","02/09/2015","54,375","ML81449957","53726067","Los Gatos","949.17","05/28/2015","$5,695,000","6,000","Sold","15950 Cerro Vista Drive","2008","95032","R1HS"
"$ 115.30","88","307","Menlo Oaks Area","3","0","4","San Mateo","39","","$5,498,000","02/02/2015","48,134","ML81448905","062-160-570","Menlo Park","1,748.58","03/13/2015","$5,550,000","3,174","Sold","799 Berkeley Avenue","1927","94025","R10000"
"$ 231.31","1","446","Carolands Etc.","4","1","5","San Mateo","2","","$5,575,000","02/08/2015","23,250","ML81450041","030-023-080","Hillsborough","1,054.30","02/10/2015","$5,378,000","5,101","Sold","551 Craig Road","2014","94010","R10025"
"$ 62.66","45","221","Los Altos Hills","2","0","3","Santa Clara","15","","$3,695,000","01/27/2015","85,067","ML81448327","182-48-048","Los Altos Hills","2,105.89","02/11/2015","$5,330,000","2,531","Sold","27200 Deer Springs Way","1970","94022","RA"
"$ 40.04","15","17","Saratoga","3","3","4","Santa Clara","411","","$5,495,000","02/13/2015","131,116","ML81450731","503-72-012","Saratoga","779.86","04/11/2015","$5,250,000","6,732","Sold","21657 Vintage Lane","2000","95070","RHSG1"
"$ 107.20","17","16","Los Gatos/Monte Sereno","6","1","6","Santa Clara","27","","$5,288,000","02/10/2015","48,787","ML81450056","532-18-049","Los Gatos","821.81","03/09/2015","$5,230,000","6,364","Sold","103 Forrester Court","1998","95032","R1"
"$ 145.71","26","447","Hillsborough Knolls","5","1","5","San Mateo","140","","$5,100,000","02/05/2015","35,000","ML81449659","031-110-060","Hillsborough","744.53","","","6,850","Canceled","930 Hayne Road","1989","94010","R10025"
"$ 171.33","35","450","Skyfarm","7","0","5","San Mateo","230","","$5,088,888","02/13/2015","29,702","ML81450698","028-473-020","Hillsborough","824.11","","","6,175","Expired","20 Lemon Court","1980","94010","R1"
"$ 120.24","62","293","Lindenwood Area","5","0","5","San Mateo","16","","$4,450,000","02/11/2015","42,000","ML81450252","061-054-020","Atherton","1,099.74","02/27/2015","$5,050,000","4,592","Sold","124 James Avenue","1953","94027","R1"
"$ 666.98","8","234","Midtown","5","0","5","Santa Clara","28","","$4,998,000","01/21/2015","7,504","ML81447648","132-14-013","Palo Alto","1,081.93","02/18/2015","$5,005,000","4,626","Sold","2941 South Court","2007","94306","R1"
"$ 227.17","3","445","Lakeview","5","1","5","San Mateo","89","","$5,299,000","01/28/2015","22,010","ML81448487","030-182-120","Hillsborough","877.19","04/27/2015","$5,000,000","5,700","Sold","1630 Marlborough Road","2012","94010","R10025"
"$ 617.10","9","234","Midtown","6","1","9","Santa Clara","15","","$4,980,000","02/05/2015","8,070","ML81449549","132-18-036","Palo Alto","990.65","","","5,027","Canceled","2577 Ramona Street","2006","94301","R1"
"$ 110.19","55","221","Los Altos Hills","3","1","5","Santa Clara","8","","$4,695,000","02/05/2015","43,560","ML81449512","331-17-073","Los Altos Hills","906.34","02/13/2015","$4,800,000","5,296","Sold","10580 Berkshire Drive","1960","94024","R1"
"$ 235.14","122","236","College","3","1","7","Santa Clara","15","","$4,488,000","01/21/2015","19,563","ML81447576","137-07-021","Palo Alto","1,371.09","02/05/2015","$4,600,000","3,355","Sold","2275 Amherst Street","1893","94306","R1"
"$ 642.57","7","234","Midtown","4","0","6","Santa Clara","85","","$4,498,000","02/04/2015","7,000","ML81449355","132-16-031","Palo Alto","1,189.32","","","3,782","Expired","3318 Waverley Street","2008","94306","R1"
"$ 191.24","78","442","Hillsborough Park Etc.","5","1","5","San Mateo","44","","$4,998,000","01/24/2015","23,400","ML81448029","031-244-040","Hillsborough","1,141.58","03/09/2015","$4,475,000","3,920","Sold","950 Vista Road","1937","94010","R10025"
"$ 222.50","0","212","Country Club","5","0","5","Santa Clara","21","","$4,500,000","02/05/2015","20,000","ML81449474","331-03-143","Los Altos","1,126.58","02/26/2015","$4,450,000","3,950","Sold","1571 Fairway Drive","2015","94024","R1E-2"
"$ 34.99","39","274","Central Woodside","4","1","4","San Mateo","11","","$4,200,000","02/13/2015","126,324","ML81450680","072-051-050","Woodside","1,085.73","02/24/2015","$4,420,000","4,071","Sold","680 Kings Mountain Road","1976","94062","R1003A"
"$ 109.67","17","17","Saratoga","3","2","5","Santa Clara","48","","$4,395,000","01/20/2015","40,075","ML81447453","517-19-085","Saratoga","899.88","","","4,884","Canceled","28011 Audrey Smith Lane","1998","95070","R140"
"$ 55.32","9","16","Los Gatos/Monte Sereno","5","1","6","Santa Clara","17","","$4,386,000","02/07/2015","79,279","ML81449819","527-04-009","Los Gatos","863.56","","","5,079","Canceled","107 Drysdale Drive","2006","95032","HR"
"$ 392.26","3","211","North Los Altos","4","1","4","Santa Clara","3","","$4,095,000","02/12/2015","10,962","ML81449260","167-36-075","Los Altos","1,332.51","02/15/2015","$4,300,000","3,227","Sold","227 W Edith Avenue","2012","94022","R1"
"$ 586.06","1","233","South Palo Alto","3","1","5","Santa Clara","0","","$4,398,000","02/09/2015","7,303","ML81449954","127-33-043","Palo Alto","1,560.90","02/09/2015","$4,280,000","2,742","Sold","2620 Marshall Drive","2014","94303","R1"
"$ 94.75","56","221","Los Altos Hills","3","0","4","Santa Clara","9","","$3,298,000","01/26/2015","44,431","ML81448178","175-33-022","Los Altos Hills","1,255.97","02/04/2015","$4,210,000","3,352","Sold","26810 Ortega Drive","1959","94022","R1"
"$ 158.44","57","446","Carolands Etc.","4","0","5","San Mateo","42","","$4,495,000","02/12/2015","26,572","ML81450602","030-096-020","Hillsborough","918.21","03/27/2015","$4,210,000","4,585","Sold","325 Moseley Road","1958","94010","R10025"
"$ 95.51","49","290","Alameda to 280","3","1","3","San Mateo","51","","$4,400,000","02/08/2015","43,974","ML81449850","074-040-190","Atherton","1,276.60","03/31/2015","$4,200,000","3,290","Sold","89 Tallwood Court","1966","94027","R100"
"$ 231.65","51","448","Homeplace","4","2","4","San Mateo","3","","$3,999,000","02/06/2015","17,850","ML81449639","031-012-150","Hillsborough","1,054.85","02/09/2015","$4,135,000","3,920","Sold","433 El Centro Road","1964","94010","R10025"
"$ 55.93","6","27","Alameda County","9","1","6","Alameda","9","","$4,588,888","01/20/2015","71,522","ML81447546","513-0280-016","Fremont","390.13","01/29/2015","$4,000,000","10,253","Sold","1161 Highland Terrace","2009","94539","r"
"$ 163.98","31","16","Los Gatos/Monte Sereno","5","1","5","Santa Clara","18","","$4,250,000","02/02/2015","24,393","ML81448719","410-04-010","Monte Sereno","767.31","02/20/2015","$4,000,000","5,213","Sold","15676 Oak Knoll Drive","1984","95030","MS"
"$ 7.00","30","17","Saratoga","5","1","5","Santa Clara","178","","$3,999,000","02/03/2015","571,507","ML81449195","517-14-090","Saratoga","816.12","","","4,900","Expired","15345 Bohlman Road","1985","95070","RHSG1"
"$ 69.55","16","16","Los Gatos/Monte Sereno","4","1","5","Santa Clara","185","","$3,999,000","02/09/2015","57,499","ML81449956","537-04-013","Los Gatos","547.28","","","7,307","Canceled","17730 Kilkenny Road","1999","95030","R1"
"$ 297.47","1","214","South of El Monte","4","0","5","Santa Clara","30","","$3,998,000","01/26/2015","13,440","ML81448349","197 19 084","Los Altos","1,111.79","","","3,596","Canceled","1350 Miravalle Avenue","2014","94024","R1AB"
"$ 91.78","15","17","Saratoga","4","1","5","Santa Clara","291","","$3,998,000","02/06/2015","43,560","ML81449729","50131055","Saratoga","813.76","","","4,913","Canceled","14158 Dorene Court","2000","95070","HCRD"
"$ 214.78","20","3","Evergreen","6","1","6","Santa Clara","175","120","$3,995,000","01/30/2015","18,600","ML81448796","680-12-010","San Jose","590.89","","","6,761","Expired","5471 Country Club Parkway","1995","95138","A-PD"
"$ 116.42","76","17","Saratoga","4","1","4","Santa Clara","8","","$3,950,000","01/27/2015","33,930","ML81448247","397-24-018","Saratoga","726.10","02/04/2015","$3,950,000","5,440","Sold","14310 Lutheria Way","1939","95070","R120"
"$ 464.29","45","240","Community Center","2","1","6","Santa Clara","7","","$3,150,000","01/22/2015","8,400","ML81447276","003-21-062","Palo Alto","1,263.77","01/29/2015","$3,900,000","3,086","Sold","1087 Fife Avenue","1970","94301","R1"
"$ 232.14","28","211","North Los Altos","3","0","4","Santa Clara","46","","$3,798,000","01/22/2015","16,800","ML81447728","170-36-051","Los Altos","1,114.29","03/09/2015","$3,900,000","3,500","Sold","395 S Gordon Way","1987","94022","R110"
"$ 263.27","44","10","Willow Glen","6","1","5","Santa Clara","108","","$3,899,000","01/30/2015","14,810","ML81448682","429-45-034","San Jose","635.53","","","6,135","Canceled","1730 Peregrino Way","1971","95125","R1B1"
"$ 22.09","34","263","Central Portola Valley","3","2","4","San Mateo","24","","$3,950,000","02/12/2015","175,198","ML81450661","077-212-160","Portola Valley","711.14","03/08/2015","$3,870,000","5,442","Sold","145 Deer Meadow Lane","1981","94028","R1"
"$ 307.78","35","303","Central Menlo","3","1","5","San Mateo","21","","$3,395,000","01/28/2015","12,444","ML81448467","071-370-490","Menlo Park","1,081.92","02/18/2015","$3,830,000","3,540","Sold","1111 Middle Avenue","1980","94025","R1000S"
"$ 44.51","12","551","Bean Hollow area","3","0","4","San Mateo","10","","$3,488,000","01/24/2015","85,378","ML81448025","086-141-020","Pescadero","1,235.77","02/03/2015","$3,800,000","3,075","Sold","12871 Hwy. 1","2003","94060","R-1"
