"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 156.78","88","274","Central Woodside","5","1","4","San Mateo","180","","$39,500,000","09/14/2016","251,951","ML81614430","072-152-380","Woodside","4,887.40","","","8,082","Active","309 Manuella Avenue","1928","94062","R1003A"
"$ 118.42","8","263","Central Portola Valley","8","1","5","San Mateo","68","112","$22,800,000","09/12/2016","192,535","ML81614006","077-271-130","Portola Valley","1,982.61","","","11,500","Canceled","200 Alamos Road","2008","94028","R1002A"
"$ 352.85","0","290","Alameda to 280","5","2","5","San Mateo","42","","$21,980,000","08/19/2016","62,293","ML81600794","073-202-810","Atherton","1,786.56","09/30/2016","$21,980,000","12,303","Sold","30 Belbrook Way","2016","94027","R1001A"
"$ 415.81","0","291","El Camino to Alameda","6","1","6","San Mateo","78","","$20,800,000","08/28/2016","46,296","ML81611989","070-022-380","Atherton","1,497.36","11/14/2016","$19,250,000","12,856","Sold","368 Selby Lane","2016","94027","R1001A"
"$ 374.17","22","291","El Camino to Alameda","5","1","4","San Mateo","87","","$18,900,000","08/24/2016","50,512","ML81601473","070-180-250","Atherton","1,986.75","","","9,513","Canceled","8 Faxon Forest","1994","94027","R10000"
"$ 317.13","59","291","El Camino to Alameda","5","1","5","San Mateo","64","","$13,995,000","09/07/2016","44,131","ML81613150","070-201-090","Atherton","2,067.21","","","6,770","Canceled","74 Barry Lane","1957","94027","R1001A"
"$ 26.48","37","274","Central Woodside","3","1","4","San Mateo","188","","$13,900,000","09/06/2016","524,898","ML81613024","072-211-870","Woodside","3,034.93","","","4,580","Active","4105 Woodside Road","1979","94062","SCP"
"$ 13.30","23","999","Other Area","6","2","6","Alameda","188","","$11,980,000","09/06/2016","900,821","ML81612979","513001001600","Fremont","992.13","","","12,075","Active","2465 Tecado Terrace","1993","94539","1008"
"$ 122.03","55","447","Hillsborough Knolls","6","1","6","San Mateo","12","","$10,950,000","08/26/2016","89,734","ML81611836","030-081-050","Hillsborough","1,281.60","09/04/2016","$10,950,000","8,544","Sold","225 Robin Road","1961","94010","R1002A"
"$ 52.11","17","221","Los Altos Hills","6","3","6","Santa Clara","106","","$9,988,000","08/17/2016","191,664","ML81600379","182-18-054","Los Altos Hills","1,556.49","","","6,417","Expired","28500 Matadero Creek Lane","1999","94022","RA"
"$ 161.55","16","221","Los Altos Hills","6","2","6","Santa Clara","85","","$9,500,000","08/25/2016","58,806","ML81611529","182-11-063","Los Altos Hills","1,372.63","","","6,921","Canceled","27466 Sunrise Farm Road","2000","94022","R1"
"$ 61.27","42","263","Central Portola Valley","7","1","5","San Mateo","88","140","$8,888,000","09/12/2016","145,054","ML81613978","077-042-020","Portola Valley","1,097.28","","","8,100","Canceled","237 Mapache Drive","1974","94028","R1002A"
"$ 50.88","93","447","Hillsborough Knolls","7","0","8","San Mateo","185","","$8,500,000","09/09/2016","167,053","ML81613729","031-160-020","Hillsborough","1,035.32","","","8,210","Active","1061 San Raymundo Road","1923","94010","R10000"
"$ 609.39","101","237","Old Palo Alto","2","2","5","Santa Clara","68","","$7,998,000","09/14/2016","13,125","ML81614409","124-07-025","Palo Alto","2,259.32","","","3,540","Canceled","1550 Waverley Street","1915","94301","R1"
"$ 665.67","90","239","Crescent Park","4","1","5","Santa Clara","40","","$7,988,000","09/14/2016","12,000","ML81614420","003-08-014","Palo Alto","1,926.68","","","4,146","Expired","1245 Hamilton Avenue","1926","94301","R1929"
"$ 146.84","11","274","Central Woodside","4","1","5","San Mateo","39","","$7,998,000","09/12/2016","48,352","ML81613990","073-050-400","Woodside","1,075.76","10/20/2016","$7,100,000","6,600","Sold","25 Neuman Lane","2005","94062","R1001A"
"$ 276.75","0","214","South of El Monte","5","1","6","Santa Clara","4","","$6,998,000","08/25/2016","25,286","ML81611544","336-13-055","Los Altos","1,153.64","08/26/2016","$6,998,000","6,066","Sold","24610 Ruth Lee Court","2016","94024","R1E-2"
"$ 96.06","19","221","Los Altos Hills","6","2","6","Santa Clara","83","","$6,988,000","09/14/2016","72,745","ML81614455","351-37-017","Los Altos Hills","1,078.40","","","6,480","Expired","12008 Adobe Creek Lodge Road","1997","94022","RA"
"$ 157.99","58","291","El Camino to Alameda","2","1","3","San Mateo","39","","$6,900,000","09/02/2016","42,408","ML81612637","070-151-100","Atherton","2,528.30","10/08/2016","$6,700,000","2,650","Sold","275 Atherton Avenue","1958","94027","R1001A"
"$ 405.75","0","214","South of El Monte","7","0","5","Santa Clara","207","","$6,186,000","08/18/2016","15,246","ML81600522","189-59-016","Los Altos","995.49","","","6,214","Active","605 Rosita Avenue","2016","94024","R110"
"$ 240.99","81","291","El Camino to Alameda","3","1","4","San Mateo","61","","$6,800,000","09/09/2016","25,313","ML81613788","070-230-100","Atherton","1,955.13","11/08/2016","$6,100,000","3,120","Sold","40 Isabella Avenue","1935","94027","R1001A"
"$ 111.24","116","290","Alameda to 280","4","1","5","San Mateo","86","","$5,995,000","09/12/2016","53,892","ML81614009","073-202-960","Atherton","1,199.00","","","5,000","Expired","399 Atherton Avenue","1900","94027","r1"
"$ 43.50","29","274","Central Woodside","5","1","6","San Mateo","116","0","$5,950,000","08/22/2016","136,778","ML81601038","073-280-050","Woodside","920.34","","","6,465","Canceled","340 Jane Drive","1987","94062","SC000P"
"$ 96.63","0","16","Los Gatos/Monte Sereno","5","1","5","Santa Clara","53","","$5,875,000","09/12/2016","60,797","ML81614096","410-21-016","Monte Sereno","1,044.44","","","5,625","Withdrawn","15890 Viewfield Road","2016","95030","R144"
"$ 766.56","12","241","Professorville","5","1","6","Santa Clara","15","","$6,000,000","08/16/2016","7,501","ML81600239","120-18-067","Palo Alto","1,280.62","08/28/2016","$5,750,000","4,490","Sold","1042 Cowper Street","2004","94301","R1929"
"$ 140.87","61","293","Lindenwood Area","2","3","6","San Mateo","9","","$5,500,000","09/12/2016","39,220","ML81613998","061-220-090","Atherton","1,469.41","09/21/2016","$5,525,000","3,760","Sold","51 Toyon Road","1955","94027","R1001A"
"$ 547.32","0","303","Central Menlo","5","0","6","San Mateo","60","","$5,850,000","09/02/2016","10,049","ML81612636","071-172-030","Menlo Park","1,189.96","10/31/2016","$5,500,000","4,622","Sold","1730 Holly Avenue","2016","94025","R1"
"$ 314.13","0","211","North Los Altos","5","1","5","Santa Clara","11","","$5,495,000","09/08/2016","17,493","ML81613389","167-34-001","Los Altos","1,346.15","","","4,082","Canceled","349 Blue Oak Lane","2016","94022","R1E-1"
"$ 107.82","41","290","Alameda to 280","3","1","5","San Mateo","187","","$5,348,000","09/07/2016","49,602","ML81613314","073-261-210","Atherton","1,568.33","","","3,410","Expired","9 Valley Road","1975","94027","R1001A"
"$ 260.68","63","238","Green Gables","4","1","4","Santa Clara","0","","$5,998,000","09/08/2016","20,140","ML81613537","003-12-010","Palo Alto","1,588.50","09/08/2016","$5,250,000","3,305","Sold","1525 Edgewood Drive","1953","94303","R1929"
"$ 59.66","52","446","Carolands Etc.","4","1","4","San Mateo","12","","$5,800,000","09/08/2016","87,164","ML81613409","030-083-080","Hillsborough","931.90","09/20/2016","$5,200,000","5,580","Sold","460 Pullman Road","1964","94010","R1002A"
"$ 202.88","7","307","Menlo Oaks Area","5","1","5","San Mateo","42","","$5,395,000","08/29/2016","25,138","ML81612016","062-190-320","Menlo Park","870.31","10/07/2016","$5,100,000","5,860","Sold","980 Berkeley Avenue","2009","94025","R10010"
"$ 56.77","65","17","Saratoga","2","1","3","Santa Clara","96","","$4,995,000","09/09/2016","87,991","ML81613743","517-18-012","Saratoga","1,350.00","","","3,700","Canceled","20560 Montalvo Lane","1951","95070","R-140"
"$ 84.32","0","656","Fairway Park","4","1","5","San Mateo","348","300","$4,995,000","09/15/2016","59,242","ML81614546","022-150-480","Pacifica","1,161.63","","","4,300","Active","400 HARMONY WAY Avenue","2016","94044","RES"
"$ 60.67","0","651","Linda Mar","4","1","5","San Mateo","348","300","$4,995,000","09/15/2016","82,328","ML81614558","022-150-530","Pacifica","1,209.74","","","4,129","Active","900 HARMONY Court","2016","94044","RES"
"$ 110.48","43","290","Alameda to 280","3","2","4","San Mateo","109","","$4,988,000","08/22/2016","45,150","ML81601007","074-130-240","Atherton","1,598.72","","","3,120","Canceled","375 Walsh Road","1973","94027","R1001A"
"$ 98.61","24","16","Los Gatos/Monte Sereno","5","1","5","Santa Clara","113","","$4,897,000","09/12/2016","49,658","ML81613999","537-30-006","Los Gatos","720.46","","","6,797","Canceled","15995 Cerro Vista Drive","1992","95032","HR"
"$ 89.19","0","656","Fairway Park","4","1","5","San Mateo","149","300","$4,895,000","08/25/2016","54,885","ML81611711","022-150-460","Pacifica","1,138.37","","","4,300","Canceled","200 HARMONY WAY","2016","94044","RES"
"$ 89.19","0","656","Fairway Park","4","1","5","San Mateo","169","300","$4,895,000","08/26/2016","54,886","ML81611718","022-150-460","Pacifica","1,138.37","","","4,300","Canceled","200 HARMONY WAY","2016","94044","RES"
"$ 87.79","0","651","Linda Mar","4","1","5","San Mateo","348","300","$4,895,000","09/15/2016","55,756","ML81614549","022-150-490","Pacifica","1,138.37","","","4,300","Active","500 HARMONY Way","2016","94044","RES"
