"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 495.50","0","291","El Camino to Alameda","8","1","6","54","","$21,800,000","06/06/2016","43,996","ML81589107","070-202-010","Atherton","1,496.43","08/01/2016","$21,800,000","14,568","Sold","59 Barry Lane","2016","94027","R1001A"
"$ 874.40","103","237","Old Palo Alto","4","2","5","180","","$17,498,000","06/23/2016","20,011","ML81592031","124-08-078","Palo Alto","3,282.93","","","5,330","Canceled","1701 Bryant Street","1913","94301","R1929"
"$ 158.40","26","291","El Camino to Alameda","6","1","7","153","","$13,800,000","06/22/2016","87,120","ML81592000","073-230-260","Atherton","1,586.21","","","8,700","Expired","295 Atherton Avenue","1990","94027","R10000"
"$ 80.30","61","274","Central Woodside","5","1","4","16","","$14,000,000","05/23/2016","171,234","ML81586957","072-191-370","Woodside","2,300.10","06/08/2016","$13,750,000","5,978","Sold","255 Mountain Wood Lane","1955","94062","R1003A"
"$ 214.17","1","221","Los Altos Hills","7","1","5","249","","$10,988,888","07/07/2016","51,309","ML81593855","182-12-012","Los Altos Hills","1,334.90","","","8,232","Active","26880 Elena Road","2015","94022","RA"
"$ 118.78","0","221","Los Altos Hills","7","2","6","11","","$10,895,000","06/01/2016","91,726","ML81588361","182-06-053","Los Altos Hills","1,329.14","06/11/2016","$10,895,000","8,197","Sold","26400 Purissima Road","2016","94022","RA"
"$ 247.15","2","290","Alameda to 280","5","1","4","120","","$10,888,000","06/06/2016","44,055","ML81589082","070-031-040","Atherton","1,526.85","","","7,131","Canceled","333 Fletcher Drive","2014","94027","R1001A"
"$ 566.63","109","239","Crescent Park","3","1","5","111","","$10,800,000","05/31/2016","19,060","ML81588203","003-20-009","Palo Alto","1,645.09","","","6,565","Canceled","1300 Hamilton Avenue","1907","94301","R1"
"$ 101.83","18","16","Los Gatos/Monte Sereno","7","1","7","262","","$9,980,000","07/09/2016","98,010","ML81594420","529-33-050","Los Gatos","1,025.69","","","9,730","Expired","23 Kimble Avenue","1998","95030","R1"
"$ 223.83","0","221","Los Altos Hills","7","1","5","179","","$10,999,999","07/08/2016","43,560","ML81594226","176-06-005","Los Altos Hills","1,285.60","01/01/2017","$9,750,000","7,584","Sold","25755 Carado Court","2016","94022","RA"
