"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 185.19","13","291","El Camino to Alameda","6","1","6","138","","$7,200,000","04/04/2014","37,800","ML81411055","059-281-070","Atherton","847.97","01/05/2015","$7,000,000","8,255","Sold","2 SERRANO Drive","2001","94027","R1A"
"$ 41.39","36","274","Central Woodside","4","3","4","24","","$6,995,000","04/07/2014","169,013","ML81411305","072-211-450","Woodside","826.34","05/01/2014","$6,995,000","8,465","Sold","1000 MOUNTAIN HOME Road","1978","94062","R100"
"$ 219.89","76","442","Hillsborough Park Etc.","5","1","5","108","","$6,989,000","04/14/2014","31,784","ML81412261","031-111-030","Hillsborough","998.71","","","6,998","Expired","989 HAYNE Road","1938","94010","R100"
"$ 78.66","12","263","Central Portola Valley","6","1","5","51","","$7,250,000","03/31/2014","85,813","ML81410272","079-053-020","Portola Valley","780.80","05/21/2014","$6,750,000","8,645","Sold","188 GEORGIA Lane","2002","94028","R1"
"$ 131.78","84","291","El Camino to Alameda","4","1","5","5","","$5,988,000","03/17/2014","50,160","ML81408389","070-060-020","Atherton","1,230.91","03/22/2014","$6,610,000","5,370","Sold","143 ALMENDRAL Avenue","1930","94027","R1"
"$ 87.54","28","290","Alameda to 280","5","1","5","11","","$5,998,000","04/11/2014","71,397","ML81411981","073-213-140","Atherton","1,267.75","04/22/2014","$6,250,000","4,930","Sold","6 KNOLL Vista","1986","94027","R1"
"$ 467.84","93","237","Old Palo Alto","3","0","4","0","","$4,899,000","03/27/2014","12,825","ML81409898","124-07-011","Palo Alto","2,435.06","03/27/2014","$6,000,000","2,464","Sold","1501 BRYANT Street","1921","94301","R1"
"$ 150.19","36","230","Palo Alto Hills","3","1","5","45","","$5,888,000","04/08/2014","39,204","ML81411491","175-02-050","Palo Alto","1,148.65","","","5,126","Canceled","4249 MANUELA Court","1978","94306","RE"
"$ 273.44","24","211","North Los Altos","5","2","5","7","","$5,488,000","04/09/2014","21,028","ML81411683","167-31-048","Los Altos","806.11","04/16/2014","$5,750,000","7,133","Sold","124 BRIDGTON Court","1990","94022","R"
"$ 147.03","8","230","Palo Alto Hills","5","2","5","0","","$5,858,000","04/07/2014","38,768","ML81411314","175-20-052","Palo Alto","876.92","04/07/2014","$5,700,000","6,500","Sold","4155 OLD TRACE Road","2006","94306","RE"
"$ 746.67","0","240","Community Center","6","1","7","27","","$5,598,000","03/20/2014","7,500","ML81408852","003-34-049","Palo Alto","1,304.45","03/26/2014","$5,600,000","4,293","Sold","812 LINCOLN Avenue","2014","94301","R1"
"$ 134.12","11","17","Saratoga","4","3","5","8","","$5,200,000","04/14/2014","39,928","ML81412406","397-17-017","Saratoga","834.37","04/22/2014","$5,355,000","6,418","Sold","14401 NUTWOOD Lane","2003","95070","SA"
"$ 455.32","78","237","Old Palo Alto","3","0","4","7","","$5,600,000","03/19/2014","11,750","ML81408698","124-10-005","Palo Alto","2,083.33","03/26/2014","$5,350,000","2,568","Sold","2150 COWPER Street","1936","94301","R1929"
"$ 53.84","2","451","Hillsborough Hills Etc.","5","2","5","139","","$5,595,000","04/07/2014","98,446","ML81411290","027-303-100","Hillsborough","943.06","08/24/2014","$5,300,000","5,620","Sold","105 BELLA VISTA Drive","2012","94010","R100"
"$ 205.05","14","442","Hillsborough Park Etc.","4","1","4","68","","$5,500,000","04/04/2014","25,603","ML81410998","031-300-040","Hillsborough","921.05","06/11/2014","$5,250,000","5,700","Sold","25 LONGVIEW Court","2000","94010","R100"
"$ 106.46","78","221","Los Altos Hills","3","1","3","763","","$5,500,000","04/09/2014","47,436","ML81411807","175-21-075","Los Altos Hills","1,336.33","05/10/2016","$5,050,000","3,779","Sold","26173 RANCHO MANUELLA Lane","1936","94022","R1"
"$ 28.13","22","274","Central Woodside","5","1","4","156","","$4,995,000","03/25/2014","177,594","ML81409639","073-082-460","Woodside","755.67","","","6,610","Canceled","38 HACIENDA Drive","1992","94062","R1"
"$ 25.20","14","17","Saratoga","4","1","4","86","","$4,995,000","04/08/2014","198,198","ML81411461","503-78-029","Saratoga","979.41","","","5,100","Expired","22111 VILLA OAKS Lane","2000","95070","R140"
"$ 36.68","77","278","Woodside Heights","3","2","4","9","","$4,995,000","03/31/2014","136,038","ML81410261","073-132-230","Woodside","960.91","04/09/2014","$4,990,000","5,193","Sold","560 MOORE Road","1937","94062","R1"
"$ 469.40","0","303","Central Menlo","5","0","6","14","","$4,985,000","03/27/2014","10,620","ML81410022","071-370-130","Menlo Park","1,166.08","04/10/2014","$4,985,000","4,275","Sold","380 CLAIRE Place","2014","94025","R100"
"$ 110.28","61","17","Saratoga","5","2","7","84","","$4,985,000","03/21/2014","44,431","ML81409149","397-09-025","Saratoga","920.71","06/13/2014","$4,900,000","5,322","Sold","19209 PANORAMA Drive","1953","95070","R140"
"$ 59.32","144","17","Saratoga","6","1","7","62","","$4,858,000","04/08/2014","81,893","ML81411558","407-14-003","Saratoga","664.39","","","7,312","Canceled","14610 QUITO Road","1870","95070","HD"
"$ 89.79","27","221","Los Altos Hills","5","1","5","266","","$4,850,000","04/09/2014","54,014","ML81411720","336-46-002","Los Altos Hills","898.15","","","5,400","Expired","11640 JESSICA Lane","1987","94024","R1"
"$ 73.96","24","263","Central Portola Valley","3","1","4","56","","$4,850,000","03/31/2014","64,904","ML81410260","079-102-110","Portola Valley","1,171.88","05/26/2014","$4,800,000","4,096","Sold","385 GOLDEN OAK Drive","1990","94028","R1"
"$ 24.98","32","16","Los Gatos/Monte Sereno","4","1","6","59","","$4,799,000","03/19/2014","192,100","ML81408806","532-17-035","Los Gatos","795.46","","","6,033","Canceled","16491 S KENNEDY Road","1982","95030","LG"
"$ 83.44","15","16","Los Gatos/Monte Sereno","4","1","6","83","","$4,798,000","03/23/2014","57,499","ML81409292","537-04-013","Los Gatos","656.63","","","7,307","Canceled","17730 KILKENNY Road","1999","95030","R1"
"$ 42.48","73","274","Central Woodside","4","0","4","331","","$4,995,000","04/07/2014","110,642","ML81411263","072-222-060","Woodside","831.86","03/04/2015","$4,700,000","5,650","Sold","610 WHISKEY HILL Road","1941","94062","RR"
"$ 56.53","18","276","Woodside Hills","5","1","5","157","","$5,195,000","04/14/2014","81,370","ML81412281","069-150-690","Woodside","880.21","09/18/2014","$4,600,000","5,226","Sold","805 WOODSIDE Drive","1996","94062","SR1"
"$ 222.22","104","211","North Los Altos","3","0","5","37","","$3,995,000","03/18/2014","19,800","ML81408547","175-18-057","Los Altos","1,067.44","04/24/2014","$4,400,000","4,122","Sold","725 UNIVERSITY Avenue","1910","94022","R1"
"$ 521.47","5","304","Allied Arts / Downtown","5","1","6","4","","$4,150,000","03/23/2014","8,150","ML81409297","071-404-100","Menlo Park","1,014.32","03/27/2014","$4,250,000","4,190","Sold","839 COLLEGE Avenue","2009","94025","R1008"
"$ 116.15","75","293","Lindenwood Area","3","1","4","9","","$3,895,000","04/07/2014","36,590","ML81411310","061-201-110","Atherton","1,044.23","04/16/2014","$4,250,000","4,070","Sold","1 FLOOD Circle","1939","94027","R1"
"$ 120.16","56","442","Hillsborough Park Etc.","5","1","5","11","","$3,995,000","03/30/2014","34,953","ML81410223","031-270-260","Hillsborough","845.07","04/10/2014","$4,200,000","4,970","Sold","5 VIA DELIZIA","1958","94010","R1"
"$ 46.13","13","16","Los Gatos/Monte Sereno","5","1","5","193","","$4,278,000","04/07/2014","91,040","ML81411261","567-23-046","Los Gatos","791.86","10/17/2014","$4,200,000","5,304","Sold","555 SANTA ROSA Drive","2001","95032","MR"
"$ 192.36","11","213","Highlands","4","0","5","244","","$4,198,000","04/10/2014","21,824","ML81411838","342-04-038","Los Altos","893.19","","","4,700","Expired","5721 ARBORETUM Drive","2003","94024","R1E-2"
"$ 88.72","23","17","Saratoga","5","2","5","89","","$4,500,000","03/24/2014","46,609","ML81409620","503-28-119","Saratoga","666.94","06/21/2014","$4,135,000","6,200","Sold","14599 DEER SPRING Court","1991","95070","R1"
"$ 119.15","68","291","El Camino to Alameda","4","1","4","15","","$3,999,888","04/14/2014","34,410","ML81412286","070-221-100","Atherton","966.98","04/29/2014","$4,100,003","4,240","Sold","21 ATHERTON Avenue","1946","94027","R1"
"$ 627.28","89","240","Community Center","3","1","5","47","","$4,198,000","03/20/2014","6,533","ML81408896","003-34-032","Palo Alto","1,516.65","05/06/2014","$4,098,000","2,702","Sold","890 LINCOLN Avenue","1925","94301","PA"
"$ 382.63","24","303","Central Menlo","4","1","6","90","","$4,098,000","04/07/2014","10,710","ML81411293","071-232-210","Menlo Park","850.21","","","4,820","Expired","600 HOBART Street","1990","94025","R10"
"$ 308.10","17","307","Menlo Oaks Area","4","0","4","9","","$3,498,000","03/17/2014","12,983","ML81408352","062-501-370","Menlo Park","1,084.01","03/26/2014","$4,000,000","3,690","Sold","131 SEMINARY Drive","1997","94025","R1"
"$ 606.06","77","237","Old Palo Alto","2","1","3","9","","$3,500,000","03/26/2014","6,600","ML81409827","124-04-032","Palo Alto","1,771.48","04/04/2014","$4,000,000","2,258","Sold","514 SANTA RITA Avenue","1937","94301","R1"
"$ 171.66","58","449","Country Club Manor","4","0","3","23","","$4,280,000","04/04/2014","23,244","ML81410967","028-202-030","Hillsborough","857.70","04/27/2014","$3,990,000","4,652","Sold","1705 FLORIBUNDA Avenue","1956","94010","R100"
"$ 171.90","109","439","San Mateo Park / El Cerrito Park","4","1","5","10","","$3,988,000","03/28/2014","23,200","ML81409983","032-092-070","San Mateo","952.93","04/07/2014","","4,185","Sold","134 W POPLAR Avenue","1905","94402","R1"
"$ 1.08","101","1","Morgan Hill / Gilroy / San Martin","1","0","3","365","","$3,900,000","03/27/2014","3,616,351","ML81410185","898-02-040","Gilroy","3,545.45","","","1,100","Expired","4520 ROOP Road","1913","95020","AW"
"$ 454.33","1","234","Midtown","4","0","5","40","","$3,880,000","04/09/2014","8,540","ML81411647","132-16-089","Palo Alto","1,172.21","","","3,310","Canceled","416 EL VERANO Avenue","2013","94306","R1"
"$ 94.83","64","293","Lindenwood Area","4","0","4","8","","$3,795,000","03/31/2014","40,145","ML81410257","061-163-100","Atherton","969.44","04/08/2014","$3,807,000","3,927","Sold","180 HEATHER Drive","1950","94027","R1001"
"$ 86.27","33","16","Los Gatos/Monte Sereno","4","0","4","73","","$3,758,000","04/01/2014","43,560","ML81410435","410-04-029","Monte Sereno","640.10","","","5,871","Canceled","17920 DAVES Avenue","1981","95030","R144"
