"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 89.54","11","270","Hidden Valley","3","1","3","42","","$25,000,000","07/22/2014","279,219","ML81426451","076-291-010","Woodside","4,170.14","09/02/2014","","5,995","Sold","15 HIDDEN VALLEY Lane","2003","94062","R100"
"$ 280.41","0","291","El Camino to Alameda","7","1","6","322","","$14,980,000","08/12/2014","53,421","ML81429363","059-330-060","Atherton","960.26","","","15,600","Expired","118 SELBY Lane","2014","94027","R100"
"$ 226.22","9","16","Los Gatos/Monte Sereno","6","3","6","56","","$13,500,000","07/29/2014","59,677","ML81427274","510-30-002","Monte Sereno","964.29","","","14,000","Canceled","16401 MATILIJA Drive","2005","95030","HS-D1"
"$ 121.59","99","221","Los Altos Hills","6","2","6","518","","$12,500,000","07/16/2014","102,802","ML81425555","175-54-081","Los Altos Hills","1,214.65","","","10,291","Canceled","12775 VISCAINO Road","1916","94022","R1"
"$ 71.15","16","221","Los Altos Hills","6","2","6","142","","$10,878,000","07/21/2014","152,896","ML81426137","336-25-025","Los Altos Hills","1,532.11","","","7,100","Canceled","24020 OAK KNOLL Circle","1998","94022","R1"
"$ 40.19","33","274","Central Woodside","5","1","4","351","","$8,980,000","08/04/2014","223,463","ML81428113","072-222-080","Woodside","1,496.67","","","6,000","Expired","555 MANZANITA Way","1981","94062","R1"
"$ 68.13","56","441","Brewer Subdivision/Upland","8","1","7","152","","$9,200,000","08/10/2014","124,146","ML81429082","032-441-510","Hillsborough","1,588.06","01/09/2015","$8,458,000","5,326","Sold","96 CRYSTAL SPRINGS Road","1958","94010","r1"
"$ 269.54","7","293","Lindenwood Area","7","3","7","92","","$8,960,000","07/30/2014","31,090","ML81427543","061-152-040","Atherton","969.91","10/30/2014","$8,380,000","8,640","Sold","150 LINDEN Avenue","2007","94027","r1"
"$ 300.00","9","212","Country Club","6","3","6","22","","$7,500,000","07/31/2014","25,000","ML81427632","331-10-143","Los Altos","744.12","","","10,079","Canceled","1510 TOPAR Avenue","2005","94024","R1E-2"
"$ 195.07","0","293","Lindenwood Area","5","2","5","11","","$7,495,000","08/08/2014","38,423","ML81428870","061-231-100","Atherton","1,213.37","","","6,177","Canceled","120 TOYON Road","2014","94027","R1"
"$ 837.50","11","237","Old Palo Alto","6","1","6","8","","$5,895,000","08/06/2014","8,000","ML81428600","124-17-069","Palo Alto","1,475.77","08/14/2014","$6,700,000","4,540","Sold","175 TENNYSON Avenue","2003","94301","R1"
"$ 62.11","76","221","Los Altos Hills","5","1","6","241","","$6,888,888","08/07/2014","100,624","ML81428680","336-17-034","Los Altos Hills","1,504.57","09/13/2014","$6,250,000","4,154","Sold","24130 HILLVIEW Road","1938","94024","RA"
"$ 105.87","6","16","Los Gatos/Monte Sereno","5","1","5","147","","$5,995,000","08/06/2014","56,628","ML81428539","537-26-067","Los Gatos","982.79","","","6,100","Expired","15950 CERRO VISTA Drive","2008","95032","RH1"
"$ 73.38","6","221","Los Altos Hills","4","1","4","125","","$5,498,000","08/05/2014","74,923","ML81428232","182-25-017","Los Altos Hills","916.64","","","5,998","Canceled","26181 MOODY Road","2008","94022","R1"
"$ 1,009.52","107","241","Professorville","3","1","4","89","","$5,300,000","07/17/2014","5,250","ML81425708","120-29-025","Palo Alto","1,527.38","","","3,470","Canceled","1029 RAMONA Street","1907","94301","R1"
"$ 215.05","1","446","Carolands Etc.","5","1","5","98","","$5,298,000","07/21/2014","23,250","ML81426199","030-023-080","Hillsborough","980.39","10/27/2014","$5,000,000","5,100","Sold","551 CRAIG Road","2013","94010","R100"
