"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 24.71","62","221","Los Altos Hills","3","1","3","307","","$19,500,000","07/30/2013","789,307","ML81327627","182-10-057","Los Altos Hills","4,894.58","","","3,984","Canceled","28030 NATOMA Road","1952","94022","RA"
"$ 10.60","10","273","Skyline Area","7","1","6","525","","$10,989,000","07/24/2013","1,036,728","ML81326848","078-300-010","Woodside","1,121.33","","","9,800","Expired","17900 SKYLINE Boulevard","2004","94062","R1"
"$ 305.03","10","453","Ryan Tract Etc.","4","2","5","14","","$9,900,000","07/15/2013","32,456","ML81325396","028-120-160","Hillsborough","1,209.09","07/29/2013","","8,188","Sold","1810 BROOKVALE Road","2003","94010","R100"
"$ 72.84","35","274","Central Woodside","5","1","4","380","","$9,750,000","07/15/2013","133,860","ML81325393","072-211-680","Woodside","1,857.14","","","5,250","Canceled","3 VINEYARD HILL Road","1979","94062","R100"
"$ 31.20","7","16","Los Gatos/Monte Sereno","7","1","6","100","","$8,495,000","07/21/2013","272,250","ML81326419","537-23-062","Los Gatos","1,029.82","","","8,249","Canceled","285 WOODED VIEW Drive","2006","95032","HR11"
"$ 56.05","33","274","Central Woodside","5","1","5","172","","$8,250,000","07/12/2013","147,200","ML81325172","072-174-010","Woodside","1,032.80","","","7,988","Expired","25 OAKHILL Drive","1981","94062","R1"
"$ 75.11","21","221","Los Altos Hills","7","2","6","61","","$8,950,000","07/23/2013","105,851","ML81326835","175-03-048","Los Altos Hills","1,143.06","09/22/2013","$7,950,000","6,955","Sold","14850 MANUELLA Road","1992","94022","R1"
"$ 97.95","28","232","Barron Park","3","2","5","126","","$6,998,000","07/19/2013","71,441","ML81326217","137-17-009","Palo Alto","1,263.63","","","5,538","Canceled","953 ROBLE RIDGE Road","1986","94306","REB4"
"$ 31.78","6","17","Saratoga","5","2","6","365","80","$6,950,000","07/16/2013","218,671","ML81325601","510-60-002","Los Gatos","808.14","","","8,600","Expired","19711 CANON Drive","2008","95030","HS"
"$ 122.19","22","16","Los Gatos/Monte Sereno","8","5","5","154","","$7,950,000","07/08/2013","55,896","ML81324188","410-26-002","Monte Sereno","639.57","12/09/2013","$6,830,000","10,679","Sold","18331 LEXINGTON Drive","1992","95030","R144"
"$ 159.38","1","293","Lindenwood Area","4","2","4","34","","$6,995,000","08/08/2013","41,410","ML81329029","061-032-020","Atherton","985.07","09/11/2013","$6,600,000","6,700","Sold","187 JAMES Avenue","2012","94027","R100"
"$ 136.23","0","293","Lindenwood Area","5","1","5","19","","$6,750,000","07/07/2013","47,712","ML81324140","061-231-030","Atherton","1,072.25","07/26/2013","$6,500,000","6,062","Sold","150 TOYON Road","2013","94027","R1"
"$ 146.88","","221","Los Altos Hills","6","3","6","178","","$6,398,000","07/11/2013","43,560","ML81324833","175-38-022","Los Altos Hills","909.19","","","7,037","Canceled","12733 DIANNE Drive","","94022","R1"
"$ 41.10","7","3","Evergreen","5","2","5","362","120","$5,998,000","07/17/2013","145,926","ML81325884","680-61-005","San Jose","749.75","","","8,000","Expired","6113 BLACKPOOL Court","2006","95138","R1"
"$ 132.58","48","291","El Camino to Alameda","4","1","5","92","","$5,799,000","07/22/2013","43,740","ML81326531","070-032-380","Atherton","1,550.53","","","3,740","Expired","276 ATHERTON Avenue","1965","94027","R3"
"$ 119.99","15","17","Saratoga","6","0","6","171","","$5,645,000","07/23/2013","47,045","ML81326661","510-26-077","Los Gatos","840.53","","","6,716","Expired","15650 GLEN UNA Drive","1998","95030","RHS-D"
"$ 23.17","44","17","Saratoga","4","1","5","141","","$5,500,000","07/23/2013","237,402","ML81326654","503-30-020","Saratoga","1,175.72","","","4,678","Expired","13792 PIERCE Road","1969","95070","R140"
"$ 123.94","7","17","Saratoga","5","1","6","176","","$5,399,000","07/08/2013","43,560","ML81324435","510-24-002","Los Gatos","954.90","","","5,654","Expired","19426 REDBERRY Drive","2006","95030","RHS-D"
"$ 102.82","105","292","Middlefield to El Camino Atherton","4","2","5","198","","$5,250,000","07/15/2013","49,600","ML81325422","060-321-090","Atherton","873.29","01/29/2014","$5,100,000","5,840","Sold","18 FAIR OAKS Lane","1909","94027","R1"
"$ 114.21","48","263","Central Portola Valley","5","0","5","7","","$4,998,000","07/08/2013","43,996","ML81324224","077-241-020","Portola Valley","856.05","07/15/2013","$5,025,000","5,870","Sold","205 SHAWNEE Pass","1965","94028","R1001"
"$ 195.28","0","211","North Los Altos","6","1","6","57","","$5,295,000","07/08/2013","25,604","ML81324722","170-29-017","Los Altos","1,035.84","09/03/2013","$5,000,000","4,827","Sold","129 N GORDON Way","2013","94022","R1"
"$ 89.71","25","17","Saratoga","4","2","5","30","","$4,998,000","08/13/2013","54,064","ML81329675","397-13-056","Saratoga","670.82","09/12/2013","$4,850,000","7,230","Sold","19103 VIA TESORO Court","1988","95070","R140"
"$ 102.73","22","17","Saratoga","4","2","5","88","25","$4,788,000","08/13/2013","46,609","ML81329674","503-28-119","Saratoga","772.26","","","6,200","Canceled","14599 DEER SPRING Court","1991","95070","R1"
"$ 116.54","17","293","Lindenwood Area","2","1","3","4","","$4,750,000","07/19/2013","40,000","ML81326287","061-052-030","Atherton","958.35","07/23/2013","$4,661,415","4,864","Sold","379 GREENOAKS Drive","1996","94027","R1"
"$ 193.92","0","446","Carolands Etc.","6","0","5","0","","$4,695,000","07/24/2013","23,850","ML81326873","030-131-010","Hillsborough","811.40","07/24/2013","$4,625,000","5,700","Sold","3935 RALSTON Avenue","2013","94010","R1"
"$ 26.41","37","16","Los Gatos/Monte Sereno","4","2","4","382","","$4,724,000","07/17/2013","173,804","ML81325855","532-39-015","Los Gatos","897.36","08/03/2014","$4,590,000","5,115","Sold","17400 PHILLIPS Avenue","1977","95030","HR110"
"$ 232.86","13","211","North Los Altos","4","1","5","54","","$4,498,800","08/02/2013","19,320","ML81328233","170-28-036","Los Altos","1,010.51","","","4,452","Expired","111 S GORDON Way","2000","94022","R1"
"$ 100.55","4","221","Los Altos Hills","5","2","5","101","","$4,380,000","07/23/2013","43,560","ML81326670","175-05-006","Los Altos Hills","1,000.00","","","4,380","Canceled","14440 MANUELLA Road","2009","94022","R1"
"$ 197.43","44","452","Hillsborough Oaks Etc.","3","1","3","116","","$4,300,000","07/01/2013","21,780","ML81323543","027-330-330","Hillsborough","1,105.68","","","3,889","Canceled","10 SHELDON Way","1969","94010","R100"
"$ 239.06","7","439","San Mateo Park / El Cerrito Park","5","1","5","7","","$4,295,000","08/02/2013","17,966","ML81328139","031-082-080","San Mateo","785.91","08/09/2013","","5,465","Sold","450 FULTON Road","2006","94402","R100"
"$ 52.35","34","221","Los Altos Hills","3","1","4","124","0","$4,196,000","07/24/2013","80,150","ML81326818","182-28-037","Los Altos Hills","851.46","","","4,928","Canceled","27464 ALTAMONT Road","1979","94022","RA"
"$ 131.75","28","450","Skyfarm","4","1","4","183","","$4,150,000","07/08/2013","31,500","ML81324197","028-433-070","Hillsborough","837.37","","","4,956","Expired","1015 MACADAMIA Drive","1986","94010","R100"
"$ 2,051,193.50","1","16","Los Gatos/Monte Sereno","6","1","5","183","393","$4,192,000","07/08/2013","2","ML81324297","527-09-011","Los Gatos","667.92","01/07/2014","$4,102,387","6,142","Sold","15672 SHADY Lane","2013","95032","HR"
"$ 48.83","160","16","Los Gatos/Monte Sereno","6","1","7","108","","$3,999,000","07/22/2013","81,893","ML81326593","407-14-003","Los Gatos","546.91","","","7,312","Canceled","14610 QUITO Road","1853","95032","HD"
"$ 76.43","24","17","Saratoga","4","2","5","177","","$3,995,000","07/02/2013","52,272","ML81323603","510-02-004","Saratoga","819.49","","","4,875","Expired","19905 SUNSET Drive","1989","95070","R140"
