"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 28.09","99","443","Parrott Drive Area","9","1","9","60","","$58,000,000","03/02/2015","2,064,744","ML81453083","038-200-020","Hillsborough","4,684.98","","","12,380","Expired","891 Crystal Springs Road","1916","94010","R10025"
"$ 61.17","6","263","Central Portola Valley","5","3","5","18","","$10,800,000","02/23/2015","176,548","ML81451824","077-211-130","Portola Valley","1,640.09","03/13/2015","$10,800,000","6,585","Sold","120 Golden Hills Drive","2009","94028","R1002A"
"$ 203.94","8","291","El Camino to Alameda","7","1","6","32","","$9,600,000","03/09/2015","44,866","ML81454115","070-032-120","Atherton","1,074.45","04/10/2015","$9,150,000","8,516","Sold","1 Kilroy Way","2007","94027","R100"
"$ 103.31","15","274","Central Woodside","6","1","6","89","","$9,000,000","03/02/2015","87,120","ML81452941","072-032-010","Woodside","1,409.55","","","6,385","Expired","333 Raymundo Drive","2000","94062","RI"
"$ 315.09","7","291","El Camino to Alameda","6","3","6","6","","$8,998,000","03/05/2015","28,500","ML81453714","070-355-070","Atherton","1,148.34","03/11/2015","$8,980,000","7,820","Sold","86 Michaels Way","2008","94027","R100"
"$ 154.86","32","291","El Camino to Alameda","8","2","8","27","","$8,495,000","03/02/2015","57,470","ML81452942","070-161-080","Atherton","892.41","03/29/2015","$8,900,000","9,973","Sold","97 Fairview Avenue","1983","94027","R1001A"
"$ 163.98","13","221","Los Altos Hills","4","2","5","8","","$6,998,000","03/03/2015","51,836","ML81453134","175-54-051","Los Altos Hills","1,487.83","03/11/2015","$8,500,000","5,713","Sold","26307 Esperanza Drive","2002","94022","R1"
"$ 59.73","36","274","Central Woodside","5","1","4","298","","$7,995,000","03/09/2015","133,860","ML81454121","072-211-680","Woodside","1,522.86","","","5,250","Expired","3 Vineyard Hill Road","1979","94062","R100"
"$ 164.99","13","293","Lindenwood Area","5","1","5","15","","$7,695,000","03/09/2015","46,215","ML81454127","061-251-040","Atherton","1,073.94","03/24/2015","$7,625,000","7,100","Sold","293 Oak Grove Avenue","2002","94027","R1001A"
"$ 341.66","31","448","Homeplace","5","1","5","7","","$7,600,000","03/12/2015","22,152","ML81454727","031-392-070","Hillsborough","1,188.13","03/19/2015","$7,568,366","6,370","Sold","138 Stonepine Road","1984","94010","R10000"
"$ 53.68","40","274","Central Woodside","4","0","3","53","","$7,995,000","03/08/2015","137,970","ML81454074","072-370-070","Woodside","1,589.67","04/30/2015","$7,406,250","4,659","Sold","170 Fox Hollow Road","1975","94062","R-1"
"$ 159.49","3","293","Lindenwood Area","6","1","5","156","","$6,995,000","03/07/2015","43,890","ML81454124","061-231-020","Atherton","1,084.26","08/10/2015","$7,000,000","6,456","Sold","128 Toyon Road","2012","94027","R1001A"
"$ 144.24","10","221","Los Altos Hills","5","0","4","4","","$6,695,000","03/10/2015","46,347","ML81454508","336-30-016","Los Altos Hills","1,263.94","03/14/2015","$6,685,000","5,289","Sold","25555 Willow Pond Lane","2005","94022","RA"
"$ 324.07","10","303","Central Menlo","5","0","5","0","","$6,500,000","02/24/2015","20,520","ML81456838","071-213-140","Menlo Park","1,609.00","02/24/2015","$6,650,000","4,133","Sold","940 Cotton Street","2005","94025","R10025"
"$ 161.64","0","449","Country Club Manor","5","1","5","0","","$6,500,000","03/12/2015","40,214","ML81455088","028-072-100","Hillsborough","1,181.82","03/12/2015","$6,500,000","5,500","Sold","2010 Geri Lane","2015","94010","R2"
"$ 184.08","79","442","Hillsborough Park Etc.","5","1","5","127","","$6,495,000","02/23/2015","35,284","ML81451820","031-323-030","Hillsborough","1,225.47","","","5,300","Canceled","863 Chiltern Road","1936","94010","r1"
"$ 237.83","1","446","Carolands Etc.","5","1","5","98","","$6,400,000","02/26/2015","26,910","ML81452599","030-067-020","Hillsborough","1,156.49","02/27/2015","$6,400,000","5,534","Sold","3465 Ralston Avenue","2014","94010","R10025"
"$ 35.67","55","263","Central Portola Valley","5","0","5","311","","$5,998,000","03/02/2015","168,142","ML81453017","077-261-080","Portola Valley","1,452.30","","","4,130","Expired","138 Bolivar Lane","1960","94028","R1002A"
"$ 27.43","15","17","Saratoga","5","2","6","1","","$6,000,000","03/10/2015","218,671","ML81454709","510-60-002","Los Gatos","697.44","03/11/2015","$5,998,000","8,600","Sold","19711 canon","2000","95030","hs"
"$ 127.71","69","291","El Camino to Alameda","3","1","4","19","","$5,988,000","02/23/2015","46,200","ML81451792","059-312-080","Atherton","2,006.80","03/14/2015","$5,900,000","2,940","Sold","43 Adam Way","1946","94027","R1001A"
"$ 461.05","76","237","Old Palo Alto","3","0","4","12","","$5,495,000","02/18/2015","12,363","ML81451478","124-05-033","Palo Alto","2,099.45","03/02/2015","$5,700,000","2,715","Sold","2330 Byron Street","1939","94301","R-1"
"$ 145.85","28","444","Tobin Clark Estate / Polo Terrace","6","1","6","61","","$5,688,000","03/06/2015","38,999","ML81453799","038-101-040","Hillsborough","881.86","","","6,450","Canceled","1315 Tournament Drive","1987","94010","R10000"
"$ 102.01","28","221","Los Altos Hills","5","1","5","11","","$5,385,000","03/10/2015","54,014","ML81454370","336-46-002","Los Altos Hills","1,020.37","03/21/2015","$5,510,000","5,400","Sold","11640 Jessica Lane","1987","94024","RA"
"$ 720.00","12","240","Community Center","5","0","5","11","","$5,400,000","03/03/2015","7,500","ML81453250","003-34-054","Palo Alto","1,232.88","03/14/2015","$5,400,000","4,380","Sold","860 Lincoln Avenue","2003","94301","R1"
"$ 121.67","16","290","Alameda to 280","4","1","5","17","","$4,998,000","02/20/2015","43,560","ML81451565","073-181-050","Atherton","1,132.48","03/09/2015","$5,300,000","4,680","Sold","36 Melanie Lane","1999","94027","R1001A"
"$ 543.59","90","237","Old Palo Alto","2","1","5","9","","$4,998,000","03/03/2015","9,750","ML81453093","124-02-021","Palo Alto","1,725.82","03/12/2015","$5,300,000","3,071","Sold","569 Lowell Avenue","1925","94301","R1929"
"$ 670.97","2","239","Crescent Park","6","0","5","61","","$5,495,000","02/19/2015","7,750","ML81451374","003-06-034","Palo Alto","883.30","04/21/2015","$5,200,000","5,887","Sold","445 Maple Street","2013","94301","R1929"
"$ 952.38","108","241","Professorville","3","1","4","34","","$5,380,000","03/02/2015","5,250","ML81452999","120-29-025","Palo Alto","1,440.92","04/05/2015","$5,000,000","3,470","Sold","1029 Ramona Street","1907","94301","R1"
"$ 617.10","9","234","Midtown","6","1","9","160","","$4,980,000","02/19/2015","8,070","ML81451579","132-18-036","Palo Alto","990.65","","","5,027","Canceled","2577 Ramona Street","2006","94301","R1"
"$ 200.87","14","274","Central Woodside","4","0","5","18","","$4,950,000","02/19/2015","24,394","ML81451359","072151080","Woodside","1,139.53","03/09/2015","$4,900,000","4,300","Sold","203 Miramontes Road","2001","94062","R1003"
"$ 3.64","64","23","Los Gatos Mountains","2","0","2","140","","$4,899,999","03/06/2015","1,346,004","ML81453856","544-20-005","Los Gatos","2,021.45","","","2,424","Canceled","18516 Skyline Boulevard","1951","95033","HS-SR"
"$ 289.98","9","211","North Los Altos","5","1","5","16","","$4,795,000","02/24/2015","16,553","ML81452165","175-18-046","Los Altos","946.56","03/12/2015","$4,800,000","5,071","Sold","771 University Avenue","2006","94022","R1"
