"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 92.82","82","444","Tobin Clark Estate / Polo Terrace","12","3","12","400","","$23,888,000","01/28/2014","257,352","ML81402606","038-312-160B","Hillsborough","682.51","","","35,000","Expired","40 Verbalee Lane","1932","94010","R100"
"$ 92.82","82","444","Tobin Clark Estate / Polo Terrace","12","3","12","174","","$23,888,000","02/03/2014","257,352","ML81403226","038-312-160C","Hillsborough","682.51","","","35,000","Expired","40 VERBALEE","1932","94010","R100"
"$ 235.35","5","448","Homeplace","9","2","6","24","","$14,500,000","01/16/2014","55,131","ML81401371","031-031-050","Hillsborough","910.53","02/09/2014","$12,975,000","14,250","Sold","925 SEABURY Road","2009","94010","R100"
"$ 286.96","1","290","Alameda to 280","7","2","6","49","","$13,950,000","01/17/2014","43,560","ML81401526","073-201-140","Atherton","1,243.90","03/07/2014","$12,500,000","10,049","Sold","396 ATHERTON Avenue","2013","94027","R1001A"
"$ 306.92","8","291","El Camino to Alameda","8","3","7","319","","$12,300,000","02/14/2014","40,075","ML81404613","059-302-070","Atherton","1,017.20","","","12,092","Expired","65 SELBY Lane","2006","94027","R1"
"$ 99.33","16","221","Los Altos Hills","5","1","5","35","","$9,995,000","01/29/2014","100,624","ML81402737","182-17-072","Los Altos Hills","995.62","03/05/2014","","10,039","Sold","25525 BLEDSOE Court","1998","94022","R1"
"$ 241.76","8","211","North Los Altos","5","1","6","12","","$9,888,000","01/29/2014","40,900","ML81402735","175-12-016","Los Altos","1,310.36","02/10/2014","$9,888,000","7,546","Sold","110 UNIVERSITY Avenue","2006","94022","R1"
"$ 183.26","19","290","Alameda to 280","4","1","5","140","","$9,980,000","01/27/2014","50,747","ML81402472","073-212-210","Atherton","1,275.72","06/16/2014","$9,300,000","7,290","Sold","18 RESERVOIR Road","1995","94027","R1"
"$ 212.77","14","17","Saratoga","6","4","5","162","","$8,990,000","01/20/2014","42,253","ML81401741","510-26-079","Los Gatos","872.56","","","10,303","Expired","15671 GLEN UNA Drive","2000","95030","RHS-D"
"$ 25.15","22","274","Central Woodside","6","1","6","448","","$8,950,000","02/03/2014","355,885","ML81403115","073-071-240","Woodside","662.96","","","13,500","Canceled","245 LINDENBROOK Road","1992","94062","SCP"
