"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 374.15","23","291","El Camino to Alameda","5","1","4","San Mateo","38","","$18,900,000","02/03/2017","50,514","ML81637683","070-180-250","Atherton","1,986.75","","","9,513","Active","8 Faxon Forests","1994","94027","R10000"
"$ 21.68","16","263","Central Portola Valley","5","3","5","San Mateo","28","720","$16,988,000","02/13/2017","783,644","ML81638731","077-060-300","Portola Valley","2,495.30","","","6,808","Active","127 Pinon Drive","2001","94028","R10000"
"$ 328.69","121","452","Hillsborough Oaks Etc.","5","1","7","San Mateo","45","","$13,888,000","01/27/2017","42,253","ML81636916","028-030-190","Hillsborough","1,388.80","","","10,000","Active","2260 Forest View Avenue","1896","94010","R10025"
"$ 305.79","60","291","El Camino to Alameda","4","3","5","San Mateo","47","","$13,495,000","01/25/2017","44,132","ML81636668","070-201-090","Atherton","1,993.35","","","6,770","Active","74 Barry Lane","1957","94027","R1001A"
"$ 146.92","27","291","El Camino to Alameda","6","1","7","San Mateo","26","","$12,800,000","02/15/2017","87,120","ML81639086","073-230-260","Atherton","1,471.26","","","8,700","Active","295 Atherton Avenue","1990","94027","R10000"
"$ 47.90","39","274","Central Woodside","3","2","4","San Mateo","28","","$11,550,000","02/13/2017","241,105","ML81638732","072-211-670","Woodside","2,483.87","","","4,650","Active","970 Mountain Home Road","1978","94062","R1003A"
"$ 593.69","81","237","Old Palo Alto","3","0","6","Santa Clara","9","","$10,998,000","02/08/2017","17,686","ML81638199","124-13-016","Palo Alto","2,776.31","02/16/2017","$10,500,000","3,782","Sold","2020 Waverley Street","1936","94301","R1929"
"$ 3,304.13","85","999","Other Area","4","1","5","San Francisco","31","","$9,995,000","02/10/2017","3,025","ML81638607","0583-020","San Francisco","1,885.85","","","5,300","Active","2411 Broadway Street","1932","94115","RH1"
"$ 358.34","5","230","Palo Alto Hills","9","2","7","Santa Clara","40","","$9,988,000","02/01/2017","27,873","ML81637464","182-43-022","Palo Alto","1,053.81","","","9,478","Active","3120 Alexis Drive","2012","94304","PC"
"$ 134.07","0","221","Los Altos Hills","6","2","6","Santa Clara","28","","$9,500,000","02/13/2017","70,860","ML81638806","175-43-051","Los Altos Hills","1,334.27","","","7,120","Active","12825 Deer Creek Lane","2017","94022","R1"
"$ 72.12","7","17","Saratoga","5","2","5","Santa Clara","49","","$9,488,000","01/23/2017","131,551","ML81636440","510-27-004","Los Gatos","824.54","","","11,507","Active","16040 Overlook Drive","2010","95030","HS-D1"
"$ 85.97","25","221","Los Altos Hills","6","1","5","Santa Clara","0","","$10,500,000","01/16/2017","105,850","ML81635740","175-03-048","Los Altos Hills","1,308.41","01/16/2017","$9,100,000","6,955","Sold","14850 Manuella Road","1992","94022","R1"
"$ 103.30","102","291","El Camino to Alameda","6","1","7","San Mateo","31","","$8,999,500","02/10/2017","87,120","ML81638504","059-330-130","Atherton","818.14","","","11,000","Active","120 Selby Lane","1915","94027","R1001A"
"$ 8.46","13","273","Skyline Area","7","1","6","San Mateo","28","","$8,788,000","02/13/2017","1,038,340","ML81638715","078-300-010","Woodside","896.73","","","9,800","Active","17900 Skyline Boulevard","2004","94062","RM0000"
"$ 560.61","12","303","Central Menlo","4","2","5","San Mateo","42","","$7,950,000","01/30/2017","14,181","ML81637133","071-382-290","Menlo Park","1,445.45","","","5,500","Active","375 Santa Rita Avenue","2005","94025","R10010"
"$ 499.87","91","239","Crescent Park","7","1","7","Santa Clara","32","","$7,498,000","02/09/2017","15,000","ML81638329","003-09-014","Palo Alto","1,499.60","","","5,000","Active","1531 University Avenue","1926","94301","R1929"
