"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 504.16","0","291","El Camino to Alameda","7","2","6","San Mateo","106","","$21,950,000","11/03/2015","43,538","ML81521397","059-291-150","Atherton","1,644.19","","","13,350","Canceled","190 Almendral Avenue","2015","94027","R1"
"$ 78.03","30","274","Central Woodside","4","2","5","San Mateo","140","","$16,995,000","11/09/2015","217,800","ML81521968","072-141-060","Woodside","2,124.38","","","8,000","Canceled","155 Kings Mountain Road","1985","94062","R1003A"
"$ 167.84","18","291","El Camino to Alameda","5","1","5","San Mateo","514","","$14,688,000","10/24/2015","87,512","ML81520140","073-230-250","Atherton","1,530.00","","","9,600","Expired","291 Atherton Avenue","1997","94027","R1"
"$ 71.42","15","221","Los Altos Hills","4","1","4","Santa Clara","27","","$14,500,000","10/22/2015","203,021","ML81519826","182-16-048","Los Altos Hills","3,232.28","","","4,486","Expired","12500 Corbetta Lane","2000","94022","RA"
"$ 302.06","0","293","Lindenwood Area","5","2","6","San Mateo","142","","$11,950,000","11/07/2015","39,506","ML81521887","061-072-100","Atherton","1,417.39","03/28/2016","$11,933,000","8,419","Sold","85 Greenoaks Drive","2015","94027","R1001A"
"$ 206.58","0","221","Los Altos Hills","7","2","6","Santa Clara","133","","$10,888,000","11/05/2015","52,707","ML81521589","182-47-004","Los Altos Hills","1,366.47","","","7,968","Canceled","26991 Taaffe Road","2015","94022","RA"
"$ 262.59","8","291","El Camino to Alameda","7","2","6","San Mateo","109","","$11,990,000","10/26/2015","41,128","ML81520215","070-132-010","Atherton","1,458.87","04/29/2016","$10,800,000","7,403","Sold","247 Atherton Avenue","2007","94027","R1001A"
"$ 224.28","74","441","Brewer Subdivision/Upland","8","1","6","San Mateo","107","","$8,695,000","11/02/2015","38,768","ML81521094","032-431-390","Hillsborough","1,103.01","02/17/2016","$8,695,000","7,883","Sold","109 De Sabla Road","1941","94010","R10025"
"$ 61.80","9","27","Alameda County","5","1","5","Alameda","224","","$7,888,000","11/09/2015","127,630","ML81521967","519-1709-002","Fremont","979.88","","","8,050","Canceled","867 Boar Terrace","2006","94539","R"
"$ 172.18","19","290","Alameda to 280","8","1","5","San Mateo","342","","$8,500,000","10/26/2015","43,560","ML81520205","073-220-360","Atherton","980.52","10/01/2016","$7,500,000","7,649","Sold","393 Atherton Avenue","1996","94027","R10000"
"$ 148.21","37","221","Los Altos Hills","3","1","4","Santa Clara","42","","$6,995,850","10/26/2015","47,202","ML81520292","175-34-046","Los Altos Hills","1,606.39","","","4,355","Canceled","26290 Catharine Court","1978","94022","RA"
