"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 23.63","63","221","Los Altos Hills","3","1","3","Santa Clara","42","","$20,000,000","07/09/2015","782,920","ML81484108","182-10-057","Los Altos Hills","7,557.19","08/18/2015","$18,500,000","2,448","Sold","28030 Natoma Road","1952","94022","RA"
"$ 163.09","21","291","El Camino to Alameda","6","2","5","San Mateo","343","","$15,200,000","06/25/2015","93,200","ML81472163","070-211-010","Atherton","1,522.59","06/01/2016","$15,200,000","9,983","Sold","95 Atherton Avenue","1994","94027","R100"
"$ 71.42","15","221","Los Altos Hills","4","1","4","Santa Clara","70","","$14,500,000","06/22/2015","203,021","ML81471673","182-16-048","Los Altos Hills","3,232.28","","","4,486","Expired","12500 Corbetta Lane","2000","94022","RA"
"$ 251.20","0","221","Los Altos Hills","7","1","5","Santa Clara","285","","$12,888,888","07/02/2015","51,309","ML81483172","182-12-012","Los Altos Hills","1,565.71","","","8,232","Canceled","26880 Elena Road","2015","94022","RA"
"$ 71.87","18","221","Los Altos Hills","4","2","6","Santa Clara","85","","$10,875,000","06/17/2015","151,314","ML81470952","336-25-025","Los Altos Hills","1,412.34","","","7,700","Canceled","24020 Oak Knoll Circle","1997","94022","R1"
"$ 67.19","28","274","Central Woodside","4","1","5","San Mateo","23","","$10,000,000","06/22/2015","148,828","ML81471488","073-270-130","Woodside","1,600.51","","","6,248","Canceled","2 Quail Meadow Drive","1987","94062","RE00"
"$ 143.67","21","221","Los Altos Hills","7","3","6","Santa Clara","138","","$9,800,000","07/07/2015","68,210","ML81483782","182-18-042","Los Altos Hills","1,109.22","","","8,835","Expired","28635 Matadero Creek Court","1994","94022","RA"
"$ 36.98","93","270","Hidden Valley","4","1","4","San Mateo","163","","$9,695,000","07/09/2015","262,144","ML81484206","075-293-080","Woodside","1,681.70","","","5,765","Expired","280 Family Farm Road","1922","94062","R1003A"
"$ 185.51","6","448","Homeplace","8","1","6","San Mateo","66","","$8,500,000","07/10/2015","43,124","ML81484407","031-373-040","Hillsborough","889.09","09/14/2015","$8,000,000","8,998","Sold","33 Farm Lane","2009","94010","R10000"
"$ 158.21","0","221","Los Altos Hills","6","1","6","Santa Clara","2","","$7,495,000","06/18/2015","47,215","ML81471001","175-26-041","Los Altos Hills","1,174.71","06/20/2015","$7,470,000","6,359","Sold","25611 Burke Lane","2015","94022","R1"
"$ 509.17","89","237","Old Palo Alto","3","0","4","Santa Clara","9","","$5,895,000","07/07/2015","13,355","ML81483659","124-04-021","Palo Alto","1,954.58","07/16/2015","$6,800,000","3,479","Sold","546 Washington Avenue","1926","94301","R1"
"$ 96.19","15","221","Los Altos Hills","5","2","5","Santa Clara","26","","$6,788,000","07/15/2015","70,567","ML81485149","182-08-038","Los Altos Hills","1,200.99","08/10/2015","$6,788,000","5,652","Sold","13824 Moon Lane","2000","94022","R1"
"$ 119.61","6","445","Lakeview","6","0","5","San Mateo","93","","$6,580,000","07/09/2015","55,012","ML81484182","038-121-240","Hillsborough","1,070.79","","","6,145","Expired","140 Woodridge Road","2009","94010","R10000"
"$ 147.74","14","274","Central Woodside","4","0","4","San Mateo","9","","$6,500,000","06/22/2015","43,995","ML81471496","072-191-120","Woodside","1,666.67","","","3,900","Canceled","5 Cedar Lane","2001","94062","R1001A"
"$ 24.87","38","16","Los Gatos/Monte Sereno","6","1","5","Santa Clara","87","","$6,500,000","07/13/2015","261,360","ML81484895","510-54-004","Monte Sereno","917.17","","","7,087","Canceled","18630 Withey Road","1977","95030","R44"
"$ 65.74","6","17","Saratoga","5","1","4","Santa Clara","39","","$6,488,000","07/06/2015","95,832","ML81483634","366-31-005","Saratoga","1,152.79","08/14/2015","$6,300,000","5,465","Sold","22000 Rolling Hills Road","2009","95070","RHS"
"$ 198.29","35","448","Homeplace","4","0","5","San Mateo","39","","$5,988,000","06/18/2015","29,250","ML81471033","031-381-010","Hillsborough","947.71","07/27/2015","$5,800,000","6,120","Sold","1150 Barroilhet Drive","1980","94010","R10000"
"$ 267.60","12","211","North Los Altos","4","0","3","Santa Clara","0","","$5,200,000","06/18/2015","20,553","ML81471125","167-30-027","Los Altos","1,351.02","06/18/2015","$5,500,000","4,071","Sold","198 Garland Way","2003","94022","R1"
"$ 109.76","29","16","Los Gatos/Monte Sereno","5","1","8","Santa Clara","133","","$5,499,950","06/25/2015","50,107","ML81472265","529-39-046","Los Gatos","906.54","","","6,067","Canceled","211 Tourney Loop","1986","95030","HR"
"$ 20.03","23","17","Saratoga","6","1","6","Santa Clara","309","","$5,488,000","07/14/2015","273,992","ML81484960","517-36-004","Saratoga","818.13","","","6,708","Canceled","20932 Hidden View Lane","1992","95070","R1"
"$ 256.34","22","211","North Los Altos","3","2","5","Santa Clara","39","","$5,250,000","06/17/2015","20,481","ML81470860","167-30-028","Los Altos","1,342.02","07/26/2015","$5,250,000","3,912","Sold","182 Garland Way","1993","94022","R1"
