"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 216.24","8","291","El Camino to Alameda","6","2","5","388","","$14,380,000","11/05/2013","66,500","ML81340064","070-090-020","Atherton","1,336.43","","","10,760","Expired","89 ALMENDRAL Avenue","2006","94027","R1"
"$ 35.12","21","274","Central Woodside","6","1","6","57","","$12,500,000","10/21/2013","355,885","ML81338518","073-071-240","Woodside","925.93","","","13,500","Canceled","245 LINDENBROOK Road","1992","94062","SCP"
"$ 265.35","15","291","El Camino to Alameda","7","2","6","97","","$11,495,000","11/04/2013","43,320","ML81339971","070-050-090","Atherton","1,668.36","","","6,890","Canceled","151 ALMENDRAL Avenue","1999","94027","R100"
"$ 286.67","1","291","El Camino to Alameda","6","1","7","86","","$9,800,000","10/28/2013","33,750","ML81339264","059-292-210","Atherton","1,261.90","01/22/2014","$9,675,000","7,667","Sold","73 AMADOR Avenue","2013","94027","R1001A"
"$ 31.20","7","16","Los Gatos/Monte Sereno","7","1","6","155","","$8,495,000","10/16/2013","272,250","ML81337953","537-23-062","Los Gatos","1,029.82","","","8,249","Canceled","285 WOODED VIEW Drive","2006","95032","HR11"
"$ 70.13","68","221","Los Altos Hills","3","1","5","17","","$5,388,000","11/04/2013","116,305","ML81339943","175-25-004","Los Altos Hills","3,045.93","11/21/2013","$8,157,000","2,678","Sold","13651 BURKE Road","1946","94022","R1"
"$ 56.80","1","16","Los Gatos/Monte Sereno","5","1","5","374","0","$7,100,000","10/16/2013","125,006","ML81338091","527-09-006","Los Gatos","1,109.38","","","6,400","Canceled","15680 GUM TREE Lane","2013","95032","HR"
"$ 129.39","102","440","Hillsborough Heights","8","2","8","286","","$6,880,000","11/01/2013","47,916","ML81339682","032-222-060","Hillsborough","814.29","02/16/2014","$6,200,000","7,614","Sold","420 ROBLAR Avenue","1912","94010","R100"
"$ 610.00","7","237","Old Palo Alto","6","1","4","3","","$5,750,000","11/13/2013","10,000","ML81340919","124-13-039","Palo Alto","1,431.25","11/16/2013","$6,100,000","4,262","Sold","335 SEALE Avenue","2006","94301","R1929"
"$ 58.19","46","263","Central Portola Valley","3","2","4","18","","$5,600,000","10/21/2013","93,654","ML81338510","079-102-130","Portola Valley","922.95","11/08/2013","$5,450,000","5,905","Sold","405 GOLDEN OAK Drive","1967","94028","R1"
"$ 706.67","27","237","Old Palo Alto","6","1","5","5","","$5,280,000","10/31/2013","7,500","ML81339566","124-02-032","Palo Alto","1,140.28","11/05/2013","$5,300,000","4,648","Sold","510 LOWELL Avenue","1986","94301","R1"
"$ 108.02","17","221","Los Altos Hills","5","1","5","0","","$5,270,000","11/14/2013","48,787","ML81340947","336-25-037","Los Altos Hills","1,035.16","11/14/2013","$5,270,000","5,091","Sold","24017 OAK KNOLL Circle","1996","94022","R1"
