"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 156.78","88","274","Central Woodside","5","1","4","180","","$39,500,000","09/14/2016","251,951","ML81614430","072-152-380","Woodside","4,887.40","","","8,082","Active","309 Manuella Avenue","1928","94062","R1003A"
"$ 118.42","8","263","Central Portola Valley","8","1","5","68","112","$22,800,000","09/12/2016","192,535","ML81614006","077-271-130","Portola Valley","1,982.61","","","11,500","Canceled","200 Alamos Road","2008","94028","R1002A"
"$ 25.51","15","263","Central Portola Valley","5","3","5","81","720","$19,988,000","09/19/2016","783,644","ML81615033","077-060-300","Portola Valley","2,935.96","","","6,808","Canceled","127 Pinon Drive","2001","94028","R10000"
"$ 148.06","28","274","Central Woodside","5","1","4","139","","$19,800,000","10/25/2016","133,729","ML81629789","072-051-110","Woodside","1,650.00","","","12,000","Active","700 Kings Mountain Road","1988","94062","R1003A"
"$ 151.97","82","291","El Camino to Alameda","6","2","6","100","","$19,000,000","09/20/2016","125,022","ML81615305","070-110-090","Atherton","1,917.26","","","9,910","Expired","52 Atherton Avenue","1934","94027","R1001A"
"$ 325.91","0","221","Los Altos Hills","8","3","6","160","","$17,888,000","09/22/2016","54,886","ML81625551","331-14-066","Los Altos Hills","1,653.69","","","10,817","Expired","10718 Mora Drive","2016","94024","R1E-1"
"$ 307.36","3","291","El Camino to Alameda","5","2","5","2","","$16,200,000","09/19/2016","52,708","ML81615037","070-320-080","Atherton","1,481.21","09/21/2016","$16,200,000","10,937","Sold","202 Camino Al Lago","2013","94027","R1001A"
"$ 68.85","31","274","Central Woodside","4","2","5","567","","$14,995,000","10/17/2016","217,800","ML81628728","072-141-060","Woodside","1,499.50","","","10,000","Active","155 Kings Mountain Road","1985","94062","R1003A"
"$ 137.01","8","263","Central Portola Valley","3","1","4","175","","$14,980,000","09/19/2016","109,336","ML81615042","077-271-110","Portola Valley","1,797.67","","","8,333","Active","150 Alamos Road","2008","94028","R1002A"
"$ 317.13","59","291","El Camino to Alameda","5","1","5","64","","$13,995,000","09/07/2016","44,131","ML81613150","070-201-090","Atherton","2,067.21","","","6,770","Canceled","74 Barry Lane","1957","94027","R1001A"
