"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 145.37","11","221","Los Altos Hills","6","1","6","Santa Clara","40","","$9,688,000","12/07/2016","66,646","ML81633406","175-47-016","Los Altos Hills","1,038.82","","","9,326","Expired","12661 Robleda Road","2005","94022","R1"
"$ 90.08","6","16","Los Gatos/Monte Sereno","8","5","6","Santa Clara","105","","$6,999,888","11/28/2016","77,711","ML81632761","510-22-001","Monte Sereno","880.16","","","7,953","Active","16235 Greenwood Lane","2010","95030","R44"
"$ 385.93","0","10","Willow Glen","6","4","6","Santa Clara","111","","$6,888,888","11/22/2016","17,850","ML81632450","446-07-039","San Jose","1,030.50","","","6,685","Active","1724 Dry Creek Road","2016","95125","R1"
"$ 48.65","31","17","Saratoga","4","2","4","Santa Clara","46","135","$6,985,000","11/29/2016","127,022","ML81632791","366-49-038","Saratoga","1,120.99","01/12/2017","$6,180,000","5,513","Sold","12360 Farr Ranch Court","1985","95070","RSH"
"$ 73.70","21","221","Los Altos Hills","5","1","5","Santa Clara","103","","$6,100,000","11/30/2016","82,764","ML81632914","182-28-043","Los Altos Hills","1,005.94","","","6,064","Active","12620 Zappettini Court","1995","94022","RA"
"$ 140.82","66","290","Alameda to 280","3","0","4","San Mateo","98","","$5,950,000","12/05/2016","42,253","ML81633229","070-031-010","Atherton","2,542.74","","","2,340","Active","349 Fletcher Drive","1950","94027","R1001A"
"$ 300.12","0","211","North Los Altos","5","1","5","Santa Clara","13","","$5,250,000","11/30/2016","17,493","ML81632945","167-34-001","Los Altos","1,286.13","","","4,082","Canceled","349 Blue Oak Lane","2016","94022","R1E-1"
"$ 29.46","0","16","Los Gatos/Monte Sereno","6","1","5","Santa Clara","0","393","$5,185,280","12/06/2016","175,982","ML81633363","527-09-012","Los Gatos","646.54","12/06/2016","$5,185,280","8,020","Sold","15644 Shady Lane","2016","95032","Residential"
"$ 547.13","15","214","South of El Monte","4","0","5","Santa Clara","90","","$4,998,000","12/01/2016","9,135","ML81633004","197-17-048","Los Altos","1,044.08","","","4,787","Withdrawn","1340 Ranchita Drive","2001","94024","R1AB"
"$ 150.91","96","303","Central Menlo","5","0","5","San Mateo","94","","$4,950,000","12/09/2016","32,802","ML81633647","071-072-010","Menlo Park","1,309.52","","","3,780","Active","1109 Valparaiso Avenue","1920","94025","R10025"
"$ 216.34","68","453","Ryan Tract Etc.","3","0","4","San Mateo","15","","$4,595,000","11/28/2016","21,240","ML81632683","028-160-350","Hillsborough","1,407.35","","","3,265","Canceled","1765 Willow Road","1948","94010","R10025"
"$ 188.55","93","211","North Los Altos","2","1","4","Santa Clara","12","","$3,988,000","11/18/2016","23,868","ML81632292","170-03-013","Los Altos","1,792.91","11/30/2016","$4,500,200","2,510","Sold","209 Portola Court","1923","94022","R1"
"$ 42.34","12","16","Los Gatos/Monte Sereno","5","2","5","Santa Clara","13","","$4,500,000","11/29/2016","106,286","ML81632853","537-16-029","Los Gatos","882.35","","","5,100","Canceled","17203 Deer Park Road","2004","95032","RHS20"
"$ 12.04","19","272","Skywood Area","2","0","3","San Mateo","23","","$4,195,000","11/28/2016","348,480","ML81632681","076-052-010","Woodside","1,471.93","","","2,850","Canceled","9 Summit Road","1997","94062","R10000"
"$ 18.37","56","273","Skyline Area","3","1","4","San Mateo","89","","$3,999,999","12/14/2016","217,800","ML81633829","067-310-090","Woodside","1,095.89","","","3,650","Active","12424 Skyline Boulevard","1960","94062","R1"
"$ 29.75","4","16","Los Gatos/Monte Sereno","5","1","5","Santa Clara","94","","$3,888,000","12/09/2016","130,680","ML81633642","537-10-009","Los Gatos","778.53","","","4,994","Active","18188 Wagner Road","2012","95032","HS-D"
"$ 364.90","58","211","North Los Altos","3","1","5","Santa Clara","14","","$3,795,000","12/01/2016","10,400","ML81632983","170-29-045","Los Altos","1,225.38","","","3,097","Canceled","119 Sunkist Lane","1958","94022","R1"
"$ 466.42","10","234","Midtown","3","1","4","Santa Clara","11","","$3,650,000","12/01/2016","8,040","ML81632993","132-25-017","Palo Alto","1,311.19","12/12/2016","$3,750,000","2,860","Sold","2730 Emerson Street","2006","94306","R1"
"$ 125.34","37","261","Portola Valley Ranch","3","0","4","San Mateo","4","291","$3,500,000","12/02/2016","29,520","ML81633106","080-421-170","Portola Valley","958.55","12/06/2016","$3,700,000","3,860","Sold","25 Saddleback","1979","94028","R10025"
"$ 80.33","39","17","Saratoga","4","0","4","Santa Clara","37","","$3,499,000","11/18/2016","43,560","ML81632320","397-06-081","Saratoga","636.18","","","5,500","Canceled","14673 Quito Road","1977","95070","R140"
"$ 266.27","41","211","North Los Altos","3","0","5","Santa Clara","7","","$2,998,000","12/01/2016","12,987","ML81632997","167-36-057","Los Altos","1,108.69","12/07/2016","$3,458,000","3,119","Sold","46 Oak Street","1975","94022","R1"
"$ 344.66","58","303","Central Menlo","2","1","4","San Mateo","0","","$3,450,000","12/06/2016","10,010","ML81633370","071-180-070","Menlo Park","1,296.99","12/06/2016","$3,450,000","2,660","Sold","1674 Oak Avenue","1958","94025","R10010"
"$ 75.76","62","263","Central Portola Valley","3","0","5","San Mateo","14","","$3,500,000","11/21/2016","43,560","ML81632388","079-040-110","Portola Valley","1,578.95","12/05/2016","$3,300,000","2,090","Sold","150 Stonegate Road","1954","94028","R1001A"
"$ 183.38","53","16","Los Gatos/Monte Sereno","4","2","5","Santa Clara","266","","$3,285,000","12/03/2016","17,914","ML81633188","409-28-012","Los Gatos","800.44","","","4,104","Canceled","14564 Eastview Drive","1963","95032","R112"
