"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 23.30","69","274","Central Woodside","8","1","9","San Mateo","181","","$39,980,000","05/22/2015","1,716,227","ML81466528","072-052-260","Woodside","4,442.22","","","9,000","Expired","331 Greer","1946","94062","R100"
"$ 71.80","11","17","Saratoga","9","3","7","Santa Clara","182","","$24,500,000","06/02/2015","341,235","ML81468271","503-17-066","Saratoga","1,887.08","","","12,983","Expired","21116 Comer Drive","2004","95070","HCRD"
"$ 218.95","12","291","El Camino to Alameda","5","2","5","San Mateo","290","","$20,700,000","06/02/2015","75,359","ML81468395","070-180-170","Atherton","1,285.05","03/18/2016","$16,500,000","12,840","Sold","1 Faxon Road","2003","94027","R1001A"
"$ 106.36","29","274","Central Woodside","4","1","4","San Mateo","157","","$13,950,000","06/08/2015","131,159","ML81469235","072-380-040","Woodside","1,846.46","","","7,555","Expired","1015 Mountain Home Road","1986","94062","RE0003"
"$ 98.68","15","446","Carolands Etc.","4","1","5","San Mateo","138","","$12,895,000","06/09/2015","130,680","ML81469471","030-082-160","Hillsborough","1,360.23","","","9,480","Expired","200 Robin Road","2000","94010","R1"
"$ 98.20","24","276","Woodside Hills","4","2","4","San Mateo","46","","$13,800,000","05/26/2015","131,116","ML81467028","069-380-100","Woodside","995.13","07/11/2015","$12,875,000","12,938","Sold","240 Cinnabar Road","1991","94062","RE00"
"$ 63.37","88","274","Central Woodside","5","1","6","San Mateo","3","","$8,950,000","06/08/2015","197,240","ML81469228","072-201-080","Woodside","2,505.01","06/11/2015","$12,500,000","4,990","Sold","410 Mountain Home Road","1927","94062","RR"
"$ 269.49","9","291","El Camino to Alameda","8","3","7","San Mateo","374","","$10,800,000","05/18/2015","40,075","ML81465776","059-302-070","Atherton","893.15","","","12,092","Canceled","65 Selby Lane","2006","94027","R1"
"$ 186.73","95","291","El Camino to Alameda","3","0","4","San Mateo","10","","$10,000,000","06/08/2015","54,624","ML81469199","070-330-030","Atherton","3,090.91","06/18/2015","$10,200,000","3,300","Sold","216 Park Lane","1920","94027","R1001A"
"$ 205.31","55","291","El Camino to Alameda","4","0","4","San Mateo","16","","$8,900,000","06/01/2015","43,350","ML81467993","070-170-060","Atherton","2,696.97","06/17/2015","$8,900,000","3,300","Sold","88 Stern Lane","1960","94027","R1"
"$ 725.84","6","237","Old Palo Alto","5","1","5","Santa Clara","65","","$8,398,000","06/03/2015","11,570","ML81468594","124-05-023","Palo Alto","1,482.44","","","5,665","Canceled","2281 Byron Street","2009","94301","R1"
"$ 194.15","74","441","Brewer Subdivision/Upland","4","3","5","San Mateo","9","","$7,995,000","06/14/2015","42,494","ML81470299","032-394-060","Hillsborough","1,017.64","06/23/2015","$8,250,000","8,107","Sold","101 Fallen Leaf Drive","1941","94010","R1"
"$ 624.25","80","239","Crescent Park","3","2","5","Santa Clara","23","","$7,998,000","05/19/2015","12,926","ML81466013","003-06-007","Palo Alto","1,905.31","06/11/2015","$8,069,000","4,235","Sold","400 Marlowe Street","1935","94301","R1"
"$ 158.72","60","291","El Camino to Alameda","5","1","3","San Mateo","0","","$8,000,000","05/23/2015","50,403","ML81466738","070-040-220","Atherton","2,312.14","05/23/2015","$8,000,000","3,460","Sold","400 Selby","1955","94027","R1"
"$ 195.30","56","293","Lindenwood Area","5","1","5","San Mateo","7","","$6,450,000","05/18/2015","37,122","ML81465794","061-202-020","Atherton","1,178.86","05/25/2015","$7,250,000","6,150","Sold","72 Juniper Drive","1959","94027","R1001A"
"$ 155.52","20","290","Alameda to 280","3","1","5","San Mateo","35","","$7,200,000","06/12/2015","43,725","ML81470169","070-031-300","Atherton","1,712.85","07/17/2015","$6,800,000","3,970","Sold","97 Mandarin Way","1995","94027","R100"
"$ 557.43","11","303","Central Menlo","5","1","6","San Mateo","1","","$6,195,000","05/16/2015","11,840","ML81465686","071-381-170","Menlo Park","1,144.64","05/17/2015","$6,600,000","5,766","Sold","375 San Mateo Drive","2004","94025","R10010"
"$ 660.00","79","237","Old Palo Alto","3","0","4","Santa Clara","9","","$6,700,000","06/10/2015","10,000","ML81469766","124-03-061","Palo Alto","2,172.48","06/19/2015","$6,600,000","3,038","Sold","1975 Webster","1936","94301","R!"
"$ 54.55","0","16","Los Gatos/Monte Sereno","5","2","5","Santa Clara","13","","$6,588,000","06/08/2015","116,405","ML81469364","410-21-013","Monte Sereno","896.89","06/21/2015","$6,350,000","7,080","Sold","15850 Viewfield Road","2015","95030","R144"
"$ 260.68","12","211","North Los Altos","5","1","6","Santa Clara","8","","$5,995,000","06/02/2015","24,168","ML81468344","167-20-052","Los Altos","1,181.32","06/10/2015","$6,300,000","5,333","Sold","400 W Portola Avenue","2003","94022","R1"
"$ 140.42","9","221","Los Altos Hills","4","1","5","Santa Clara","76","","$6,998,000","06/03/2015","44,867","ML81468625","175-25-042","Los Altos Hills","1,105.85","08/18/2015","$6,300,000","5,697","Sold","13826 Templeton Place","2006","94022","R1"
"$ 428.43","84","239","Crescent Park","4","1","5","Santa Clara","7","","$5,600,000","06/11/2015","14,238","ML81469805","003-08-022","Palo Alto","1,948.26","06/18/2015","$6,100,000","3,131","Sold","526 Center Drive","1931","94301","R1929"
"$ 134.02","57","291","El Camino to Alameda","4","0","5","San Mateo","15","","$5,995,000","05/21/2015","45,144","ML81466578","070-012-080","Atherton","1,440.48","06/05/2015","$6,050,000","4,200","Sold","269 Stockbridge Avenue","1958","94027","R1001A"
"$ 138.53","13","16","Los Gatos/Monte Sereno","5","2","5","Santa Clara","200","","$5,999,999","06/15/2015","43,312","ML81469732","409-41-002","Monte Sereno","709.98","","","8,451","Expired","15297 Karl Avenue","2002","95030","R1"
"$ 153.79","13","16","Los Gatos/Monte Sereno","6","1","5","Santa Clara","82","","$5,998,000","06/10/2015","39,001","ML81469774","510-08-024","Los Gatos","867.64","","","6,913","Expired","18685 Serramonte Drive","2002","95030","R1E-1"
"$ 120.73","15","221","Los Altos Hills","4","1","5","Santa Clara","113","145","$5,995,000","06/09/2015","49,658","ML81469773","336-26-028","Los Altos Hills","1,165.44","","","5,144","Expired","12007 Kate Drive","2000","94022","HS"
"$ 506.03","0","303","Central Menlo","5","1","6","San Mateo","32","","$5,795,000","05/16/2015","11,610","ML81463720","071-180-140","Menlo Park","1,117.13","06/17/2015","$5,875,000","5,259","Sold","1740 Oak Avenue","2015","94025","R10010"
"$ 65.83","59","274","Central Woodside","2","0","2","San Mateo","44","","$5,850,000","05/18/2015","88,862","ML81465788","072-211-230","Woodside","3,196.72","","","1,830","Canceled","1100 Mountain Home Road","1956","94062","R1003A"
"$ 249.95","0","446","Carolands Etc.","5","1","5","San Mateo","48","","$5,880,000","06/03/2015","23,405","ML81468638","020-014-130","Hillsborough","1,030.66","07/21/2015","$5,850,000","5,676","Sold","620 Darrell Road","2015","94010","R"
"$ 239.90","11","211","North Los Altos","3","1","5","Santa Clara","1","","$4,995,000","05/16/2015","23,968","ML81465919","167-14-027","Los Altos","1,154.39","05/17/2015","$5,750,000","4,981","Sold","475 Mundell Way","2004","94022","R1"
"$ 199.51","95","448","Homeplace","3","1","5","San Mateo","22","","$6,188,000","05/16/2015","28,069","ML81465703","031-043-080","Hillsborough","1,365.85","06/07/2015","$5,600,000","4,100","Sold","710 Brewer Drive","1920","94010","R1002"
"$ 56.28","0","16","Los Gatos/Monte Sereno","7","1","5","Santa Clara","4","393","$5,590,000","06/01/2015","99,316","ML81468049","527-09-013","Los Gatos","643.64","06/05/2015","","8,685","Pending","15657 Shady Lane#4","2015","95032","Residential"
"$ 265.60","0","214","South of El Monte","5","1","5","Santa Clara","9","","$4,995,000","05/26/2015","20,708","ML81467065","189-42-064","Los Altos","1,340.81","06/04/2015","$5,500,000","4,102","Sold","678 Rosita Avenue","2015","94024","R110"
"$ 105.27","0","17","Saratoga","5","1","5","Santa Clara","24","","$5,500,000","06/05/2015","52,248","ML81469019","503-23-027","Saratoga","1,077.80","","","5,103","Canceled","20550 Brookwood Lane","2015","95070","R115"
"$ 122.58","45","290","Alameda to 280","3","1","5","San Mateo","23","","$5,689,000","06/15/2015","44,867","ML81470323","074-371-190","Atherton","1,227.68","07/08/2015","$5,500,000","4,480","Sold","499 Walsh Road","1970","94027","R1001A"
"$ 474.73","91","241","Professorville","3","1","4","Santa Clara","118","","$5,495,000","05/20/2015","11,575","ML81466247","120-19-013","Palo Alto","1,791.07","","","3,068","Canceled","1400 Cowper Street","1924","94301","R1929"
"$ 233.55","99","211","North Los Altos","3","0","4","Santa Clara","74","","$5,395,000","05/19/2015","23,100","ML81465984","175-12-007","Los Altos","1,328.82","","","4,060","Expired","168 University Avenue","1916","94022","R1"
"$ 451.31","15","211","North Los Altos","3","1","4","Santa Clara","37","175","$5,298,000","05/27/2015","11,522","ML81467303","175-13-053","Los Altos","1,213.54","07/03/2015","$5,200,000","4,285","Sold","1 Adobe Creek Way","2000","94022","R1"
"$ 126.23","10","17","Saratoga","5","1","5","Santa Clara","22","","$5,388,888","06/08/2015","41,099","ML81469417","397-04-124","Saratoga","949.31","06/30/2015","$5,188,000","5,465","Sold","14910 Sobey Road","2005","95070","R140"
"$ 56.68","0","16","Los Gatos/Monte Sereno","6","1","5","Santa Clara","354","393","$5,185,000","06/01/2015","91,476","ML81468052","527-09-026","Los Gatos","730.08","","","7,102","Active","15630 Shady Lane#17","2015","95032","Residential"
"$ 519.03","19","240","Community Center","3","1","4","Santa Clara","15","","$4,998,000","05/21/2015","9,826","ML81466362","003-21-029","Palo Alto","1,275.00","06/05/2015","$5,100,000","4,000","Sold","1102 Forest Avenue","1996","94301","R1"
"$ 47.87","61","451","Hillsborough Hills Etc.","8","1","5","San Mateo","172","","$5,900,000","05/19/2015","104,454","ML81465970","027-303-030","Hillsborough","798.72","11/07/2015","$5,000,000","6,260","Sold","123 Bella Vista Drive","1954","94010","R10025"
"$ 83.01","26","221","Los Altos Hills","4","1","6","Santa Clara","109","","$4,999,999","06/04/2015","60,236","ML81468736","175-48-080","Los Altos Hills","937.38","","","5,334","Expired","25585 Okeefe Lane","1989","94022","R1"
"$ 80.65","0","16","Los Gatos/Monte Sereno","6","1","5","Santa Clara","195","393","$4,975,000","06/05/2015","61,900","ML81469001","527-09-024","Los Gatos","653.59","12/17/2015","$4,992,142","7,638","Sold","15588 Shady Lane#15","2015","95032","residential"
"$ 211.33","47","451","Hillsborough Hills Etc.","7","1","7","San Mateo","140","","$5,750,000","06/07/2015","22,950","ML81469157","027-242-010","Hillsborough","563.30","10/23/2015","$4,850,000","8,610","Sold","15 Tiptoe Lane","1968","94010","R10000"
"$ 53.16","0","16","Los Gatos/Monte Sereno","6","1","5","Santa Clara","0","393","$4,723,586","06/10/2015","88,862","ML81469638","527-09-010","Los Gatos","710.96","06/10/2015","$4,723,586","6,644","Sold","15685 Gum Tree Lane#18","2015","95032","Residential"
"$ 313.67","85","440","Hillsborough Heights","4","1","5","San Mateo","7","","$4,100,000","05/22/2015","15,000","ML81466522","031-185-020","Hillsborough","1,170.40","05/29/2015","$4,705,000","4,020","Sold","664 Woodstock Road","1930","94010","R1"
"$ 616.01","0","234","Midtown","4","1","5","Santa Clara","48","","$4,580,000","05/27/2015","7,435","ML81467295","132-02-023","Palo Alto","1,536.91","","","2,980","Canceled","2570 Webster Street","2015","94301","R1"
"$ 27.26","19","17","Saratoga","3","2","4","Santa Clara","162","","$4,500,000","06/01/2015","165,092","ML81467995","503-15-043","Saratoga","785.07","","","5,732","Canceled","21215 CHADWICK Court","1996","95070","R1"
"$ 117.39","65","441","Brewer Subdivision/Upland","3","1","6","San Mateo","17","","$4,880,000","06/08/2015","38,333","ML81469236","032-354-010","Hillsborough","1,027.40","06/25/2015","$4,500,000","4,380","Sold","219 Bridge Road","1950","94010","R10025"
"$ 604.98","0","234","Midtown","4","1","5","Santa Clara","64","","$4,498,000","06/11/2015","7,435","ML81469962","132-02-023","Palo Alto","1,509.40","","","2,980","Canceled","2570 Webster Street","2015","94301","R1"
"$ 104.07","61","213","Highlands","4","1","4","Santa Clara","146","","$4,488,000","06/03/2015","43,124","ML81468461","342-04-084","Los Altos","713.17","","","6,293","Canceled","5887 Arboretum Drive","1954","94024","R1E-2"
"$ 103.00","36","292","Middlefield to El Camino Atherton","3","0","3","San Mateo","7","","$4,198,000","06/01/2015","42,720","ML81468024","061-350-250","Atherton","1,392.41","06/23/2015","$4,400,000","3,160","Sold","150 Encinal Avenue","1979","94027","R10000"
"$ 24.49","23","274","Central Woodside","5","3","6","San Mateo","191","","$4,350,000","06/01/2015","177,594","ML81468012","073-082-460","Woodside","657.20","12/09/2015","$4,350,000","6,619","Sold","38 Haciendas Drive","1992","94062","R100"
"$ 395.45","0","302","County / Alameda Area","5","1","5","San Mateo","14","","$4,595,000","06/08/2015","11,000","ML81469216","074-382-160","Menlo Park","1,002.30","06/22/2015","$4,350,000","4,340","Sold","147 Hillside Avenue","2015","94025","R10010"
"$ 574.74","24","237","Old Palo Alto","3","0","4","Santa Clara","8","","$3,888,000","06/03/2015","7,499","ML81468612","124-02-051","Palo Alto","1,537.64","06/11/2015","$4,310,000","2,803","Sold","659 Tennyson Avenue","1991","94301","R1"
"$ 97.57","46","221","Los Altos Hills","5","1","4","Santa Clara","15","","$4,488,000","05/20/2015","43,560","ML81466305","182-20-021","Los Altos Hills","1,053.28","06/14/2015","$4,250,000","4,035","Sold","26937 Almaden Court","1969","94022","RA"
"$ 826.00","31","237","Old Palo Alto","2","1","4","Santa Clara","6","","$3,995,000","05/27/2015","5,000","ML81467249","124-17-086","Palo Alto","1,563.80","06/02/2015","$4,130,000","2,641","Sold","129 Lowell Avenue","1984","94301","R1"
"$ 133.37","15","18","Cupertino","3","2","4","Santa Clara","5","","$3,850,000","06/01/2015","30,742","ML81468141","342-58-004","Cupertino","933.52","06/06/2015","$4,100,000","4,392","Sold","22248 Hammond Way","2000","95014","R1"
"$ 178.80","93","439","San Mateo Park / El Cerrito Park","5","0","5","San Mateo","11","","$3,695,000","06/04/2015","22,651","ML81468111","032-064-140","San Mateo","992.65","06/15/2015","$4,050,000","4,080","Sold","45 Clark Drive","1922","94401","R1000A"
"$ 50.88","39","17","Saratoga","5","1","6","Santa Clara","78","","$3,998,000","05/26/2015","78,583","ML81466990","503-66-007","Saratoga","802.81","","","4,980","Canceled","21133 Chiquita Way","1976","95070","R140"
"$ 54.03","30","221","Los Altos Hills","4","1","6","Santa Clara","35","","$3,998,000","06/04/2015","74,001","ML81468703","336-48-009","Los Altos Hills","794.99","","","5,029","Canceled","11688 Dawson Drive","1985","94024","R1"
"$ 319.73","64","303","Central Menlo","3","0","3","San Mateo","70","","$3,995,000","05/22/2015","12,495","ML81466588","071-123-240","Menlo Park","1,391.99","07/31/2015","$3,995,000","2,870","Sold","1807 Doris Drive","1951","94025","SFR"
"$ 21.43","98","16","Los Gatos/Monte Sereno","4","0","6","Santa Clara","84","","$3,995,000","06/10/2015","186,437","ML81469819","532-23-106","Los Gatos","591.85","","","6,750","Canceled","16660 Cypress Way","1917","95030","HR110"
"$ 58.69","45","221","Los Altos Hills","3","0","5","Santa Clara","110","","$3,988,000","06/09/2015","67,953","ML81469544","182-42-014","Los Altos Hills","1,117.71","","","3,568","Canceled","27633 Via Cerro Gordo","1970","94022","RA"
"$ 80.25","32","17","Saratoga","5","1","5","Santa Clara","53","","$4,180,000","05/19/2015","49,223","ML81465955","397-13-049","Saratoga","798.63","07/11/2015","$3,950,000","4,946","Sold","14318 Chester Avenue","1983","95070","R140"
"$ 438.89","0","302","County / Alameda Area","5","1","5","San Mateo","22","","$3,950,000","06/01/2015","9,000","ML81468153","074-092-160","Menlo Park","1,028.91","","","3,839","Canceled","301 Stanford Avenue","2015","94025","R-1"
"$ 557.00","3","238","Green Gables","3","1","4","Santa Clara","8","","$3,388,000","05/27/2015","6,930","ML81467136","003-56-059","Palo Alto","1,486.33","06/04/2015","$3,860,000","2,597","Sold","1780 Newell Road","2012","94303","R1"
"$ 9.74","33","16","Los Gatos/Monte Sereno","4","1","5","Santa Clara","103","","$3,898,000","05/18/2015","390,298","ML81465790","537-12-012","Los Gatos","719.97","08/29/2015","$3,800,000","5,278","Sold","14500 Arnerich Road","1982","95032","RHS-2"
"$ 759.00","0","240","Community Center","4","0","4","Santa Clara","32","","$3,998,000","06/03/2015","5,000","ML81468513","003-32-009","Palo Alto","1,601.94","06/14/2015","$3,795,000","2,369","Sold","755 Forest Avenue","2015","94301","R1"
"$ 155.80","75","211","North Los Altos","3","0","6","Santa Clara","13","","$3,495,000","06/10/2015","23,491","ML81469743","167-20-019","Los Altos","1,420.81","06/23/2015","$3,660,000","2,576","Sold","516 Van Buren Street","1940","94022","R1"
"$ 177.11","2","337","Clifford Heights Etc.","4","1","5","San Mateo","10","200","$3,195,000","05/29/2015","20,524","ML81467651","051-040-510","Redwood City","862.81","06/08/2015","$3,635,000","4,213","Sold","35 Rathgar Court","2013","94062","R1"
"$ 216.53","17","214","South of El Monte","3","1","4","Santa Clara","6","","$3,195,000","05/20/2015","16,626","ML81466226","189-03-002","Los Altos","1,285.71","05/26/2015","$3,600,000","2,800","Sold","61 Mountain View Avenue","1998","94024","R1 1"
"$ 326.80","16","303","Central Menlo","2","1","3","San Mateo","34","","$3,698,000","05/22/2015","10,710","ML81466537","071-232-280","Menlo Park","1,086.96","06/25/2015","$3,500,000","3,220","Sold","760 Hobart Street","1999","94025","R10010"
"$ 85.18","48","17","Saratoga","4","0","4","Santa Clara","105","","$3,499,888","06/05/2015","41,087","ML81468865","397-17-021","Saratoga","1,005.43","09/18/2015","$3,499,888","3,481","Sold","14494 Nutwood Lane","1967","95070","R140"
"$ 553.66","8","238","Green Gables","3","0","4","Santa Clara","48","","$3,498,000","05/28/2015","6,318","ML81467323","003-48-068","Palo Alto","1,322.50","","","2,645","Canceled","2340 Carmel Drive","2007","94303","R1"
"$ 146.95","0","335","Farm Hills Estates Etc.","4","1","5","San Mateo","23","","$3,495,000","05/22/2015","23,784","ML81466535","068-194-280","Redwood City","814.88","06/14/2015","$3,495,000","4,289","Sold","934 Far Creek Way","2015","94062","RH"
"$ 129.19","105","292","Middlefield to El Camino Atherton","2","0","3","San Mateo","49","","$3,488,000","06/08/2015","27,000","ML81469220","060-321-100","Atherton","1,301.49","","","2,680","Expired","46 Fair Oaks Lane","1910","94027","R11A00"
"$ 75.59","25","17","Saratoga","3","1","4","Santa Clara","56","","$3,665,000","06/09/2015","45,981","ML81469451","397-07-113","Saratoga","646.55","08/04/2015","$3,475,875","5,376","Sold","15314 Sobey Road","1990","95070","R140"
"$ 76.16","55","221","Los Altos Hills","2","1","4","Santa Clara","14","","$2,998,000","05/20/2015","45,302","ML81466218","182-12-031","Los Altos Hills","1,563.21","06/03/2015","$3,450,000","2,207","Sold","12140 Foothill Lane","1960","94022","RA"
"$ 46.05","48","17","Saratoga","5","0","7","Santa Clara","130","","$3,750,000","06/05/2015","74,924","ML81469088","517-27-005","Saratoga","448.23","09/22/2015","$3,450,000","7,697","Sold","14780 Butano Terrace","1967","95070","R115"
"$ 106.25","48","301","Sharon Heights / Stanford Hills","3","2","5","San Mateo","65","","$3,550,000","05/27/2015","32,000","ML81467273","074-160-290","Menlo Park","1,111.11","07/31/2015","$3,400,000","3,060","Sold","7 Trinity Court","1967","94025","R10010"
"$ 159.30","69","275","Emerald Hills Area","3","1","4","San Mateo","62","","$3,500,000","05/28/2015","21,344","ML81467475","068-243-010","Woodside","1,031.55","07/29/2015","$3,400,000","3,296","Sold","900 Midglen Way","1946","94062","R10025"
"$ 77.28","35","221","Los Altos Hills","4","1","4","Santa Clara","42","","$3,400,000","06/04/2015","43,996","ML81468689","182-14-005","Los Altos Hills","800.57","07/16/2015","$3,400,000","4,247","Sold","26460 Taaffe","1980","94022","RA"
"$ 156.32","58","451","Hillsborough Hills Etc.","3","0","4","San Mateo","7","","$2,599,000","06/04/2015","21,750","ML81468743","027-262-040","Hillsborough","1,214.29","06/11/2015","$3,400,000","2,800","Sold","25 Patton Place","1957","94010","R1"
"$ 39.91","37","16","Los Gatos/Monte Sereno","3","0","4","Santa Clara","59","","$3,390,000","06/11/2015","84,942","ML81469864","532-26-103","Los Gatos","1,059.38","","","3,200","Canceled","16387 AZTEC RIDGE Drive","1978","95030","R1E-2"
"$ 819.67","0","238","Green Gables","3","1","4","Santa Clara","0","","$2,995,000","05/18/2015","4,026","ML81465928","003-18-032","Palo Alto","1,027.08","05/18/2015","$3,300,000","3,213","Sold","2080 Channing Avenue","2015","94303","Res"
"$ 145.99","68","302","County / Alameda Area","1","0","2","San Mateo","92","","$3,280,000","06/01/2015","22,467","ML81468002","074-091-620","Menlo Park","2,000.00","","","1,640","Expired","2050 Santa Cruz Avenue","1947","94025","R10006"
"$ 313.60","0","18","Cupertino","4","1","5","Santa Clara","8","","$3,388,888","06/03/2015","10,365","ML81468505","372-01-013","San Jose","720.41","06/11/2015","$3,250,500","4,512","Sold","1039 Avondale Street","2015","95129","R1"
"$ 263.73","62","211","North Los Altos","3","0","4","Santa Clara","13","","$2,999,999","05/28/2015","12,323","ML81467353","170-16-009","Los Altos","1,063.48","06/10/2015","$3,250,000","3,056","Sold","501 San Felicia Way","1953","94022","R1"
"$ 317.46","53","16","Los Gatos/Monte Sereno","3","0","4","Santa Clara","7","","$2,925,000","05/28/2015","10,080","ML81467521","510-20-044","Monte Sereno","1,164.06","06/04/2015","$3,200,000","2,749","Sold","16295 W Ellenwood Avenue","1962","95030","R8"
"$ 155.00","16","16","Los Gatos/Monte Sereno","3","0","4","Santa Clara","13","","$3,199,988","06/12/2015","20,645","ML81470165","409-30-037","Los Gatos","856.30","","","3,737","Canceled","14777 La Rinconada Drive","1999","95032","R1-8"
"$ 271.05","68","211","North Los Altos","3","0","4","Santa Clara","7","","$2,398,000","06/10/2015","11,640","ML81469608","170-13-030","Los Altos","1,377.13","06/17/2015","$3,155,000","2,291","Sold","146 E Portola Avenue","1947","94022","R1"
"$ 35.62","35","16","Los Gatos/Monte Sereno","4","1","5","Santa Clara","105","","$3,499,000","06/09/2015","88,427","ML81469469","532-26-080","Los Gatos","681.52","09/22/2015","$3,150,000","4,622","Sold","16371 Aztec Ridge Drive","1980","95030","R1E-2"
"$ 288.66","35","214","South of El Monte","3","1","4","Santa Clara","181","","$3,134,000","06/04/2015","10,857","ML81468682","189-14-090","Los Altos","932.46","","","3,361","Expired","947 Aura Court","1980","94024","R110"
"$ 70.11","53","221","Los Altos Hills","2","1","3","Santa Clara","47","","$3,295,000","06/09/2015","44,502","ML81469552","331-01-006","Los Altos Hills","1,355.93","07/26/2015","$3,120,000","2,301","Sold","11585 Old Ranch Road","1962","94024","R1E-1"
"$ 522.24","8","234","Midtown","3","1","4","Santa Clara","19","","$3,288,000","05/21/2015","5,936","ML81466331","132-11-089","Palo Alto","1,416.82","06/09/2015","$3,100,000","2,188","Sold","520 Alger Drive","2007","94306","R1"
"$ 198.69","13","335","Farm Hills Estates Etc.","4","1","4","San Mateo","12","","$2,998,000","05/28/2015","15,602","ML81467485","068-222-320","Redwood City","738.10","06/09/2015","$3,100,000","4,200","Sold","939 Wilmington Way","2002","94062","R1"
"$ 307.36","60","303","Central Menlo","2","1","4","San Mateo","21","","$3,195,000","06/07/2015","10,086","ML81469207","071-022-060","Menlo Park","1,161.05","06/28/2015","$3,100,000","2,670","Sold","1231 Whitaker Way","1955","94025","SFR"
"$ 121.18","0","442","Hillsborough Park Etc.","4","1","5","San Mateo","5","","$3,080,000","05/20/2015","25,417","ML81466433","031-242-070","Hillsborough","489.20","","","6,296","Canceled","1005 Black Mountain Road","2015","94010","RD"
"$ 192.04","60","211","North Los Altos","2","1","3","Santa Clara","10","","$2,495,000","06/08/2015","15,882","ML81469310","167-10-039","Los Altos","1,765.05","06/18/2015","$3,050,000","1,728","Sold","1138 Laureles Drive","1955","94022","R1"
"$ 385.64","105","441","Brewer Subdivision/Upland","2","1","4","San Mateo","7","","$2,650,000","05/22/2015","7,800","ML81466548","032-422-030","Hillsborough","1,118.22","05/29/2015","$3,008,000","2,690","Sold","121 Baywood Avenue","1910","94010","R10025"
"$ 501.33","17","466","Burlinhome / Easton Add #2 / #3 / #5","4","0","4","San Mateo","7","","$2,495,000","05/29/2015","6,000","ML81467781","027-181-110","Burlingame","1,122.39","06/05/2015","$3,008,000","2,680","Sold","1403 Montero Avenue","1998","94010","r1"
