"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 147.09","29","291","El Camino to Alameda","5","2","5","18","","$13,288,000","08/24/2013","88,039","ML81331387","070-320-220","Atherton","2,039.37","09/11/2013","$12,950,000","6,350","Sold","81 SOMERSET Lane","1984","94027","R100"
"$ 214.49","21","291","El Camino to Alameda","8","3","6","677","","$14,950,000","08/24/2013","59,677","ML81331402","070-250-120","Atherton","891.49","05/05/2015","$12,800,000","14,358","Sold","91 ISABELLA Avenue","1993","94027","R1"
"$ 281.22","1","291","El Camino to Alameda","6","3","6","180","","$13,500,000","09/09/2013","43,560","ML81333295","070-343-220","Atherton","1,259.77","03/08/2014","$12,250,000","9,724","Sold","19 PRADO SECOYA Street","2013","94027","R100"
"$ 13.01","75","278","Woodside Heights","8","1","7","346","","$12,000,000","09/09/2013","922,601","ML81333408","073-133-150","Woodside","928.72","","","12,921","Canceled","389 MOORE Road","1939","94062","SCP5"
"$ 229.11","9","291","El Camino to Alameda","6","1","5","167","","$9,980,000","09/14/2013","43,560","ML81334177","070-040-550","Atherton","1,071.85","","","9,311","Canceled","91 FLEUR Place","2005","94027","R100"
"$ 210.08","1","291","El Camino to Alameda","6","2","6","269","","$9,480,000","08/24/2013","45,126","ML81331403","073-230-200","Atherton","1,175.74","","","8,063","Expired","1 CALLADO Way","2013","94027","R1"
"$ 31.20","7","16","Los Gatos/Monte Sereno","7","1","6","120","","$8,495,000","09/01/2013","272,250","ML81332227","537-23-062","Los Gatos","1,029.82","","","8,249","Canceled","285 WOODED VIEW Drive","2006","95032","HR11"
"$ 187.15","84","221","Los Altos Hills","4","1","4","202","","$7,500,000","09/04/2013","40,075","ML81332742","175-03-049","Los Altos Hills","1,489.28","03/25/2014","","5,036","Sold","14780 MANUELLA Road","1930","94022","R1"
"$ 150.39","84","291","El Camino to Alameda","5","1","6","326","","$6,995,000","09/09/2013","46,513","ML81333322","059-283-040","Atherton","1,073.35","","","6,517","Expired","147 PATRICIA Drive","1930","94027","R1"
"$ 169.68","7","293","Lindenwood Area","4","1","5","109","","$6,795,000","08/26/2013","38,825","ML81331484","061-062-010","Atherton","936.99","12/13/2013","$6,588,000","7,031","Sold","76 LILAC Drive","2006","94027","R100"
"$ 88.75","9","274","Central Woodside","4","1","4","15","","$6,495,000","09/11/2013","73,181","ML81333715","073-082-100","Woodside","1,356.23","","","4,789","Canceled","1595 CANADA Lane","2004","94062","SR"
"$ 133.99","16","291","El Camino to Alameda","4","2","5","8","","$6,249,000","09/09/2013","46,420","ML81333311","070-021-100","Atherton","930.58","09/17/2013","$6,220,000","6,684","Sold","51 MARYMONT Avenue","1997","94027","R100"
"","24","17","Saratoga","3","2","4","1,300","","$5,950,000","08/20/2013","","ML81330724","517-25-069","Saratoga","1,132.25","","","5,255","Active","15668 BOHLMAN Road","1990","95070","HS-D1"
"$ 44.50","40","274","Central Woodside","4","0","4","12","","$5,885,000","08/28/2013","130,323","ML81331754","072-130-400","Woodside","1,327.23","09/09/2013","$5,800,000","4,370","Sold","418 ALBION Avenue","1973","94062","R1"
"$ 113.69","27","16","Los Gatos/Monte Sereno","5","1","7","181","","$5,695,000","09/09/2013","50,094","ML81333470","529-39-046","Los Gatos","1,017.69","","","5,596","Expired","211 TOURNEY Loop","1986","95030","HR"
"$ 120.26","10","278","Woodside Heights","5","2","4","12","","$5,795,000","08/16/2013","46,609","ML81330222","069-250-120","Woodside","731.06","08/28/2013","$5,605,000","7,667","Sold","2198 GREENWAYS Drive","2003","94062","R1001"
"$ 743.33","26","237","Old Palo Alto","6","1","5","32","","$5,575,000","08/22/2013","7,500","ML81331017","124-02-032","Palo Alto","1,199.44","","","4,648","Canceled","510 LOWELL Avenue","1987","94301","R1"
"$ 33.41","27","274","Central Woodside","6","0","5","86","","$5,395,000","09/09/2013","158,558","ML81333341","073-270-090","Woodside","880.28","12/04/2013","$5,297,500","6,018","Sold","10 QUAIL MEADOW Drive","1987","94062","R1"
"$ 118.23","33","16","Los Gatos/Monte Sereno","4","0","4","119","","$5,150,000","09/06/2013","43,560","ML81333049","510-30-036","Los Gatos","1,045.47","","","4,926","Canceled","16260 LOS SERENOS ROBLES","1981","95030","HS-D1"
"$ 222.31","58","446","Carolands Etc.","5","0","4","155","","$5,000,000","08/23/2013","22,491","ML81331239","030-113-120","Hillsborough","991.67","","","5,042","Expired","320 ROBINWOOD Lane","1955","94010","R1"
"$ 479.55","11","233","South Palo Alto","7","1","7","38","","$4,995,000","09/03/2013","10,416","ML81332415","127-20-066","Palo Alto","935.92","","","5,337","Canceled","759 E MEADOW Drive","2002","94303","R1B8"
"$ 301.76","8","211","North Los Altos","5","1","5","233","","$4,995,000","09/04/2013","16,553","ML81332775","175-18-046","Los Altos","985.01","","","5,071","Expired","771 UNIVERSITY Avenue","2006","94022","R1"
"$ 165.85","36","17","Saratoga","5","2","5","99","","$4,975,500","08/19/2013","30,000","ML81330635","397-37-010","Saratoga","802.50","","","6,200","Expired","14595 CARNELIAN GLEN Court","1977","95070","R120"
"$ 2,474,500.00","0","16","Los Gatos/Monte Sereno","6","1","5","122","393","$4,949,000","08/27/2013","2","ML81331652","527-09-023","Los Gatos","688.70","","","7,186","Expired","15574 SHADY Lane","2013","95032","HR"
"$ 615.87","107","241","Professorville","2","1","3","45","","$4,850,000","08/21/2013","7,875","ML81330878","120-29-022","Palo Alto","1,606.49","","","3,019","Canceled","1057 RAMONA Street","1906","94301","R1"
"$ 38.38","31","263","Central Portola Valley","5","1","6","294","","$4,800,000","08/16/2013","119,855","ML81330419","077-233-110","Portola Valley","982.28","06/06/2014","$4,600,000","4,683","Sold","316 GOLDEN HILLS Drive","1983","94028","R1000"
"$ 469.38","84","237","Old Palo Alto","3","1","4","18","","$4,750,000","09/04/2013","9,715","ML81332586","124-11-070","Palo Alto","1,473.34","09/22/2013","$4,560,000","3,095","Sold","2261 WAVERLEY Street","1929","94301","R1"
"$ 422.02","0","303","Central Menlo","5","0","6","10","","$4,495,000","08/19/2013","10,663","ML81330480","071-363-060","Menlo Park","951.78","08/29/2013","$4,500,000","4,728","Sold","320 OLIVE Street","2013","94025","R100"
"$ 97.46","1","221","Los Altos Hills","6","1","6","157","","$4,780,000","08/28/2013","46,174","ML81331793","175-43-045","Los Altos Hills","828.27","02/01/2014","$4,500,000","5,433","Sold","27577 Samuel Lane","2013","94022","R-1"
"$ 124.37","6","16","Los Gatos/Monte Sereno","4","1","5","116","","$4,499,000","09/09/2013","36,174","ML81333365","529-31-099","Los Gatos","805.69","","","5,584","Canceled","80 RESERVOIR Road","2008","95030","R120"
"$ 681.23","0","237","Old Palo Alto","4","2","5","80","","$4,589,000","08/29/2013","6,500","ML81331905","124-11-062","Palo Alto","1,074.76","11/17/2013","$4,428,000","4,120","Sold","2303 COWPER Street","2013","94301","R1"
"$ 202.02","43","452","Hillsborough Oaks Etc.","6","0","6","13","","$4,500,000","09/14/2013","21,780","ML81334147","027-330-380","Hillsborough","881.76","09/27/2013","$4,400,000","4,990","Sold","45 SHELDON Way","1970","94010","R1"
"$ 369.23","","302","County / Alameda Area","4","1","5","48","","$4,368,000","08/20/2013","11,830","ML81330730","070-260-220","Menlo Park","1,015.81","","","4,300","Canceled","1998 CAMINO A LOS CERROS","","94025","R100"
"$ 99.29","26","274","Central Woodside","3","1","5","67","","$4,795,000","09/09/2013","43,560","ML81333335","073-011-150","Woodside","1,081.25","11/15/2013","$4,325,000","4,000","Sold","25 MISSION TRAIL Road","1987","94062","SR"
