"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 108.36","9","263","Central Portola Valley","4","4","5","438","","$11,800,000","01/01/2014","108,900","ML81400030","077-090-110","Portola Valley","1,367.32","06/13/2014","","8,630","Sold","707 WESTRIDGE Drive","2005","94028","R100"
"$ 152.31","3","293","Lindenwood Area","8","2","6","0","","$7,500,000","12/27/2013","49,242","ML81343568","061-252-020","Atherton","885.16","12/27/2013","$7,500,000","8,473","Sold","274 OAK GROVE Avenue","2010","94027","R1"
"$ 69.52","76","221","Los Altos Hills","5","1","6","203","","$6,995,000","01/15/2014","100,624","ML81401301","336-17-034","Los Altos Hills","1,683.92","","","4,154","Expired","24130 HILLVIEW Road","1938","94024","RA"
"$ 2,656,473.82","0","16","Los Gatos/Monte Sereno","6","1","5","263","393","$5,198,000","01/07/2014","2","ML81400425","527-09-023","Los Gatos","705.49","11/15/2014","$5,073,865","7,192","Sold","15574 SHADY Lane","2014","95032","HR"
"$ 215.86","8","3","Evergreen","8","2","7","1,165","210","$4,995,000","01/04/2014","23,140","ML81400246","680-18-043","San Jose","387.21","","","12,900","Canceled","5752 COUNTRY CLUB Parkway","2006","95138","R1"
"$ 98.81","33","16","Los Gatos/Monte Sereno","4","0","4","167","","$4,950,000","01/03/2014","50,094","ML81400110","510-30-036","Los Gatos","1,004.87","","","4,926","Canceled","16260 LOS SERENOS ROBLES","1981","95030","HS-D1"
"$ 99.39","75","276","Woodside Hills","4","2","3","173","","$4,850,000","01/06/2014","48,800","ML81400281","069-044-030","Woodside","1,141.98","","","4,247","Canceled","335 WOODSIDE Drive","1939","94062","SR"
"$ 44.22","16","16","Los Gatos/Monte Sereno","4","1","5","152","","$5,250,000","01/13/2014","106,286","ML81401007","537-31-001","Los Gatos","710.51","06/14/2014","$4,700,000","6,615","Sold","180 SIERRA AZULE","1998","95032","HR5"
"$ 124.37","6","16","Los Gatos/Monte Sereno","4","1","5","193","","$4,499,000","01/07/2014","36,174","ML81400394","529-31-099","Los Gatos","805.69","","","5,584","Canceled","80 RESERVOIR Road","2008","95030","R120"
"$ 57.54","2","16","Los Gatos/Monte Sereno","5","1","5","39","","$4,788,000","01/14/2014","77,101","ML81401110","510-22-017","Monte Sereno","739.38","02/22/2014","$4,436,250","6,000","Sold","16291 WITHEY Road","2012","95030","R44"
"$ 182.61","21","471","Burlingame Hills / Skyline Terrace","4","1","5","27","","$4,200,000","01/02/2014","23,000","ML81400032","027-072-130","Burlingame","666.67","","","6,300","Canceled","177 LOS ROBLES Drive","1993","94010","R1"
"$ 91.83","59","293","Lindenwood Area","3","0","3","8","","$2,950,000","01/03/2014","43,560","ML81400193","061-123-090","Atherton","1,550.39","01/11/2014","$4,000,000","2,580","Sold","44 IRVING Avenue","1955","94027","R100"
"$ 148.15","86","243","Stanford","3","0","5","154","","$4,000,000","01/14/2014","27,000","ML81401210","142-08-096","Stanford","1,089.62","","","3,671","Canceled","536 GERONA Road","1928","94305","R1S"
"$ 15.47","17","18","Cupertino","5","1","5","350","","$3,988,000","01/07/2014","257,749","ML81400376","351-42-016","Cupertino","701.50","","","5,685","Canceled","13220 PEACOCK Court","1997","95014","HS-D1"
"$ 129.84","60","440","Hillsborough Heights","4","1","6","0","","$3,899,000","01/15/2014","30,030","ML81401221","032-221-060","Hillsborough","802.26","01/15/2014","$3,899,000","4,860","Sold","5 SANTA MARIA Lane","1954","94010","R100"
"$ 180.38","20","211","North Los Altos","3","1","4","9","","$3,750,000","01/13/2014","20,790","ML81401119","167-36-006","Los Altos","1,043.41","01/22/2014","$3,750,000","3,594","Sold","218 MOUNT HAMILTON Avenue","1994","94022","R1"
"$ 190.97","50","240","Community Center","3","1","6","1","","$3,700,000","12/17/2013","19,375","ML81343293","003-26-052","Palo Alto","1,032.94","12/18/2013","$3,700,000","3,582","Sold","958 ADDISON Avenue","1963","94301","R1"
"$ 507.01","12","234","Midtown","3","0","5","7","","$3,580,000","12/18/2013","7,061","ML81343312","132-19-034","Palo Alto","1,183.47","","","3,025","Canceled","2916 RAMONA Street","2001","94306","R1"
"$ 297.42","15","3","Evergreen","4","2","5","35","120","$3,498,000","01/09/2014","11,761","ML81400623","680-34-027","San Jose","505.49","","","6,920","Canceled","5711 LA SEYNE Place","1999","95138","A-PD"
"$ 56.15","29","17","Saratoga","3","2","4","31","","$3,400,000","01/02/2014","60,548","ML81400099","397-03-072","Saratoga","647.00","","","5,255","Expired","14528 CHESTER Avenue","1985","95070","SA"
"$ 61.47","66","16","Los Gatos/Monte Sereno","4","0","4","183","","$3,399,000","01/09/2014","54,014","ML81400758","532-19-005","Los Gatos","754.55","02/04/2014","$3,320,000","4,400","Sold","17122 PHILLIPS Avenue","1948","95030","S"
"$ 62.98","55","17","Saratoga","4","2","6","117","","$3,100,000","01/03/2014","49,223","ML81400175","397-18-040","Saratoga","615.57","","","5,036","Expired","14915 BARANGA Lane","1959","95070","R140"
"$ 488.00","0","302","County / Alameda Area","3","1","4","11","","$2,749,000","01/06/2014","6,250","ML81400300","074-053-020","Menlo Park","1,089.29","01/17/2014","$3,050,000","2,800","Sold","1281 ORANGE Avenue","2014","94025","R1"
"$ 297.62","66","303","Central Menlo","2","0","4","7","","$2,995,000","12/16/2013","10,080","ML81343150","071-052-120","Menlo Park","967.74","12/23/2013","$3,000,000","3,100","Sold","1180 ROSEFIELD Way","1948","94025","R1001"
"$ 68.82","16","17","Saratoga","5","0","5","65","","$2,998,000","01/14/2014","43,560","ML81401191","366-06-047","Saratoga","488.11","03/20/2014","","6,142","Sold","21975 ARROWHEAD Lane","1998","95070","RHS-D"
"$ 387.72","41","396","FC- Nbrhood#3 - Carmel Village Etc.","4","1","5","181","","$2,980,000","01/09/2014","7,686","ML81400614","094-251-030","Foster City","755.77","","","3,943","Expired","1016 FLYING FISH Street","1973","94404","R100"
"$ 139.64","13","13","Almaden Valley","4","1","5","213","110","$2,999,000","01/06/2014","20,767","ML81400348","583-66-020","San Jose","564.64","08/07/2014","$2,900,000","5,136","Sold","7330 GLENVIEW Drive","2001","95120","A-PD"
"$ 515.46","1","232","Barron Park","3","0","4","31","","$2,900,000","01/10/2014","5,626","ML81400891","137-13-132","Palo Alto","1,188.52","","","2,440","Expired","3725 EL CENTRO Street","2013","94306","R1"
