"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 288.66","1","208","Grant","2","1","4","35","38","$1,398,000","06/22/2011","4,805","ML81127648","Mountain View","616.44","07/27/2011","$1,387,000","2,250","Sold","956 RINCON Street","2010","94040","R-1"
"$ 308.81","1","208","Grant","3","0","4","189","38","$1,259,950","03/03/2010","4,080","ML81010049","Mountain View","613.41","","","2,054","Canceled","960 RINCON Street","2009","94043","R"
"$ 388.12","1","207","Downtown Mountain View","3","1","3","7","125","$1,098,000","11/15/2012","2,963","ML81240988","Mountain View","641.03","11/22/2012","$1,150,000","1,794","Sold","679 Chiquita Avenue","2012","94041","R325"
"$ 682.45","1","207","Downtown Mountain View","3","1","3","6","126","$1,119,900","11/12/2012","1,641","ML81240703","Mountain View","634.86","11/18/2012","$1,119,900","1,764","Sold","291 PINE Way#29","2012","94041","Res"
"$ 217.03","1","209","Miramonte","2","1","4","21","","$1,080,000","03/30/2010","4,792","ML81015206","Mountain View","486.89","04/20/2010","$1,040,000","2,136","Sold","1143 Creek Way","2009","94040","R1"
"$ 219.54","1","206","San Antonio","3","0","3","67","","$718,999","06/03/2010","3,275","ML81027395","Mountain View","569.28","","","1,263","Canceled","128 FAIR OAKS Street","2009","94040","R1"
"$ 295.10","2","208","Grant","3","1","5","0","56","$2,399,800","10/15/2013","8,387","ML81337924","Mountain View","867.81","10/15/2013","$2,475,000","2,852","Sold","401 LEVIN Avenue","2011","94040","A"
"$ 292.16","2","209","Miramonte","3","1","4","113","","$1,949,000","11/06/2010","6,024","ML81053387","Mountain View","786.42","02/27/2011","$1,760,000","2,238","Sold","1168 MARILYN Drive","2009","94040","02"
"$ 276.63","2","209","Miramonte","3","0","3","193","","$1,825,000","11/06/2010","6,037","ML81053390","Mountain View","743.54","05/18/2011","$1,670,000","2,246","Sold","1156 MARILYN Drive","2009","94040","02"
"$ 348.14","2","209","Miramonte","3","1","4","69","110","$1,599,000","03/17/2010","4,593","ML81012804","Mountain View","487.20","","","3,282","Canceled","1123 Boranda Ave","2008","94040","R32"
"$ 348.14","2","209","Miramonte","3","1","4","372","110","$1,599,000","05/27/2010","4,593","ML81026621","Mountain View","491.09","","","3,256","Canceled","1123 BORANDA Avenue","2009","94040","R32"
"$ 999.28","2","207","Downtown Mountain View","3","1","3","14","136","$1,498,000","10/03/2014","1,554","ML81436044","Mountain View","880.32","10/17/2014","$1,552,888","1,764","Sold","221 PINE Way","2012","94041","P(18)"
"$ 302.44","2","207","Downtown Mountain View","3","0","4","79","","$1,449,000","07/13/2010","4,791","ML81034830","Mountain View","720.54","","","2,011","Expired","555 CALIFORNIA Street","2008","94041","R2"
"$ 363.61","2","209","Miramonte","3","1","4","507","110","$1,488,000","05/24/2010","3,930","ML81025676","Mountain View","425.80","03/01/2011","$1,429,000","3,356","Sold","580 ALEYNNA Place","2009","94040","R32"
"$ 280.26","2","208","Grant","2","1","3","154","38","$1,374,950","07/14/2010","4,906","ML81034760","Mountain View","611.09","","","2,250","Canceled","920 RINCON Street","2008","94043","R"
"$ 348.39","2","209","Miramonte","2","0","3","13","","$1,195,000","09/26/2014","3,875","ML81435201","Mountain View","1,070.58","10/09/2014","$1,350,000","1,261","Sold","778 SONIA Way","2012","94040","R1"
"$ 318.62","2","209","Miramonte","3","0","3","48","38","$1,299,950","09/07/2010","4,080","ML81044089","Mountain View","638.48","","","2,036","Canceled","924 RINCON Street","2008","94040","R"
"$ 183.65","2","206","San Antonio","3","0","5","37","","$1,299,000","03/16/2010","6,534","ML81012614","Mountain View","436.84","04/22/2010","$1,200,000","2,747","Sold","2390 GABRIEL Avenue","2008","94040","R31*"
"$ 345.98","2","207","Downtown Mountain View","2","1","3","23","","$938,000","09/22/2010","2,688","ML81046841","Mountain View","504.34","10/15/2010","$930,000","1,844","Sold","137 Azalea Drive","2008","94041","R1"
"$ 342.39","2","207","Downtown Mountain View","2","1","3","20","129","$938,000","05/05/2010","2,687","ML81022141","Mountain View","514.83","05/25/2010","$920,000","1,787","Sold","130 IRIS Drive","2008","94041","R1"
"$ 200.50","2","207","Downtown Mountain View","3","0","3","91","","$885,000","04/28/2011","4,414","ML81118678","Mountain View","565.50","","","1,565","Expired","290 CHIQUITA Avenue","2009","94041","R32"
"$ 417.86","3","208","Grant","2","1","4","28","","$3,495,000","09/26/2014","8,364","ML81435250","Mountain View","1,127.42","","","3,100","Canceled","320 MANSFIELD Drive","2011","94040","A"
"$ 360.47","3","208","Grant","2","1","4","73","","$3,295,000","10/24/2014","8,364","ML81438268","Mountain View","972.58","12/08/2014","$3,015,000","3,100","Sold","320 MANSFIELD Drive","2011","94040","A"
"$ 292.93","3","209","Miramonte","3","1","5","9","","$2,349,000","01/07/2013","8,927","ML81300546","Mountain View","855.97","01/16/2013","$2,615,000","3,055","Sold","1237 SATAKE Court","2010","94040","Resid"
"$ 448.78","3","209","Miramonte","3","1","5","8","69","$1,898,000","10/23/2013","4,764","ML81338873","Mountain View","828.68","10/31/2013","$2,138,000","2,580","Sold","961 VALENCIA Avenue","2010","94040","R1"
"$ 340.17","3","209","Miramonte","3","1","5","14","","$1,999,800","07/03/2013","6,188","ML81323839","Mountain View","922.84","07/17/2013","$2,105,000","2,281","Sold","1216 SATAKE Court","2010","94040","A"
"$ 479.46","3","207","Downtown Mountain View","3","0","3","5","","$1,550,000","09/24/2014","3,652","ML81434837","Mountain View","993.19","09/29/2014","$1,751,000","1,763","Sold","300 MARIPOSA Avenue","2011","94041","R3-2*"
"$ 235.71","3","201","Sylvan Dale","5","1","5","183","","$1,650,000","08/18/2011","7,000","ML81136091","Mountain View","383.72","","","4,300","Expired","488 MOORPARK Way","2009","94041","R1"
"$ 347.98","3","209","Miramonte","2","1","4","132","38","$1,574,950","09/07/2010","4,526","ML81044088","Mountain View","646.00","","","2,438","Canceled","925 VALENCIA Avenue","2008","94040","R"
"$ 221.43","3","201","Sylvan Dale","5","1","5","7","","$1,488,000","05/31/2012","7,000","ML81220403","Mountain View","361.14","06/07/2012","$1,550,000","4,292","Sold","488 MOORPARK Way","2009","94041","R1"
"$ 260.87","3","207","Downtown Mountain View","2","0","3","29","","$1,499,999","07/06/2010","5,750","ML81033665","Mountain View","739.28","08/04/2010","$1,500,000","2,029","Sold","422 LORETO Street","2007","94041","R1"
"$ 285.36","3","208","Grant","2","1","4","8","40","$1,399,999","04/18/2012","4,906","ML81214316","Mountain View","622.22","04/26/2012","$1,400,000","2,250","Sold","920 RINCON Street","2009","94043","R1"
"$ 184.00","3","207","Downtown Mountain View","3","0","4","66","","$1,380,000","12/04/2010","7,500","ML81056560","Mountain View","618.00","","","2,233","Canceled","638 MOUNTAIN VIEW Avenue","2008","94041","R1"
"$ 280.26","3","208","Grant","2","1","3","6","38","$1,374,950","01/18/2011","4,906","ML81102337","Mountain View","611.09","","","2,250","Canceled","920 RINCON Street","2008","94043","R"
"$ 251.94","3","209","Miramonte","2","0","3","16","","$1,388,000","04/02/2012","5,418","ML81212216","Mountain View","730.34","04/18/2012","$1,365,000","1,869","Sold","809 SONIA Way","2009","94040","R1"
"$ 281.57","3","206","San Antonio","2","1","3","35","50","$1,349,000","06/11/2010","4,791","ML81029021","Mountain View","731.56","","","1,844","Canceled","284 MONROE Drive","2007","94040","R33"
"$ 176.00","3","207","Downtown Mountain View","3","0","4","81","","$1,259,000","02/09/2011","7,500","ML81105897","Mountain View","591.13","02/23/2011","$1,320,000","2,233","Sold","638 MOUNTAIN VIEW Avenue","2008","94041","R1"
"$ 202.02","3","203","North Shoreline","3","1","4","9","","$999,000","04/04/2011","5,940","ML81114466","Mountain View","550.96","04/13/2011","$1,200,000","2,178","Sold","425 FARLEY Street","2008","94043","R1"
"$ 375.88","3","207","Downtown Mountain View","2","1","3","7","142","$999,000","08/09/2012","2,687","ML81229745","Mountain View","547.72","08/16/2012","$1,010,000","1,844","Sold","138 IRIS Drive","2009","94041","R-3-2"
"$ 216.22","3","204","Rengstorff","3","0","4","13","140","$985,000","05/26/2011","4,440","ML81123591","Mountain View","412.19","06/08/2011","$960,000","2,329","Sold","819 WARNER","2008","94043","R32"
"$ 353.55","3","207","Downtown Mountain View","3","1","3","42","129","$979,000","11/12/2010","2,687","ML81054228","Mountain View","515.18","12/24/2010","$950,000","1,844","Sold","142 IRIS Drive","2008","94041","R32"
"$ 235.66","3","207","Downtown Mountain View","2","1","3","142","","$949,000","08/02/2010","4,027","ML81038449","Mountain View","496.86","","","1,910","Canceled","1777 LATHAM Street","2007","94041","R325"
"$ 280.63","3","207","Downtown Mountain View","2","1","3","6","","$949,000","07/21/2010","3,314","ML81036117","Mountain View","541.96","07/27/2010","$930,000","1,716","Sold","1779 LATHAM Street","2007","94041","R325"
