"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 266.39","14","200","Whisman","3","0","4","7","124","$1,079,000","08/02/2012","4,820","ML81228881","Mountain View","634.07","08/09/2012","$1,284,000","2,025","Sold","448 NICHOLAS Drive","1998","94043","R1"
"$ 324.05","14","209","Miramonte","3","0","3","4","","$1,280,000","12/16/2013","3,950","ML81343151","Mountain View","791.59","","","1,617","Canceled","1135 PHYLLIS Avenue","1999","94040","R3"
"$ 395.08","14","200","Whisman","3","0","4","9","124","$1,079,000","09/18/2012","3,050","ML81234542","Mountain View","595.06","09/27/2012","$1,205,000","2,025","Sold","437 KENT Drive","1998","94043","R1"
"$ 326.36","14","200","Whisman","2","1","4","28","124","$1,099,000","11/01/2012","3,300","ML81239660","Mountain View","559.48","11/29/2012","$1,077,000","1,925","Sold","430 KENT Drive","1998","94043","R1"
"$ 241.09","14","200","Whisman","3","0","4","7","","$998,888","10/16/2013","4,356","ML81338023","Mountain View","520.66","10/23/2013","$1,050,168","2,017","Sold","102 GLEN ALPINE Court","1999","94043","R-1"
"$ 226.08","14","200","Whisman","2","1","4","6","124","$959,000","04/26/2012","4,578","ML81215443","Mountain View","537.66","05/02/2012","$1,035,000","1,925","Sold","102 MAGNOLIA Lane","1998","94043","R1"
"$ 289.65","14","200","Whisman","3","0","4","12","68","$995,000","01/04/2013","3,484","ML81300277","Mountain View","472.44","01/16/2013","$1,009,125","2,136","Sold","100 GLEN ALPINE Court","1999","94043","R1"
"$ 287.03","14","206","San Antonio","2","1","3","7","50","$849,000","04/17/2013","3,484","ML81312686","Mountain View","556.48","04/24/2013","$1,000,000","1,797","Sold","831 SHEILA Court","1999","94043","MM"
"$ 253.95","14","200","Whisman","2","1","4","37","124","$949,000","08/11/2011","3,800","ML81135073","Mountain View","496.40","09/17/2011","$965,000","1,944","Sold","121 CHETWOOD Drive","1997","94043","R1"
"$ 313.22","14","200","Whisman","2","1","4","9","124","$899,000","06/29/2011","3,049","ML81128793","Mountain View","519.30","07/08/2011","$955,000","1,839","Sold","120 BEVERLY Street","1997","94043","R1"
"$ 143.50","14","204","Rengstorff","3","1","4","27","60","$999,900","01/12/2012","6,620","ML81201362","Mountain View","385.40","02/08/2012","$950,000","2,465","Sold","323 SERRA SAN BRUNO","1998","94043","R322"
"$ 86.36","14","200","Whisman","1","1","3","127","","$950,000","10/17/2012","11,000","ML81238038","Mountain View","834.06","","","1,139","Expired","190 E MIDDLEFIELD Road","1999","94043","R32"
"$ 85.45","14","200","Whisman","2","1","3","135","","$950,000","02/28/2013","11,000","ML81306375","Mountain View","825.29","03/01/2013","$940,000","1,139","Sold","190 E MIDDLEFIELD Road","1999","94043","R32"
"$ 293.54","14","207","Downtown Mountain View","2","1","3","13","","$899,000","07/14/2011","3,049","ML81130915","Mountain View","548.74","07/27/2011","$895,000","1,631","Sold","255 MOUNTAIN VIEW Avenue","1997","94041","R325"
"$ 268.26","14","200","Whisman","2","1","3","19","124","$889,000","01/26/2012","3,314","ML81203053","Mountain View","514.77","02/14/2012","$889,000","1,727","Sold","464 WHISMAN PARK Drive","1998","94043","R1"
"$ 223.98","14","207","Downtown Mountain View","2","1","3","5","84","$849,000","12/09/2010","3,840","ML81057062","Mountain View","565.48","12/14/2010","$860,088","1,521","Sold","227 MOUNTAIN VIEW Avenue","1997","94041","R325"
"$ 252.80","14","203","North Shoreline","2","1","3","34","204","$859,000","10/06/2010","3,398","ML81048915","Mountain View","569.25","","","1,509","Canceled","219 ORCHARD GLEN Court","1996","94043","R2SD"
"$ 285.23","14","207","Downtown Mountain View","2","1","3","20","97","$848,000","09/09/2010","2,945","ML81044444","Mountain View","524.34","09/29/2010","$840,000","1,602","Sold","510 FRONT Lane","1996","94041","P18"
"$ 262.50","14","200","Whisman","2","1","4","35","122","$849,000","04/07/2011","3,200","ML81115282","Mountain View","500.30","05/12/2011","$840,000","1,679","Sold","124 CHETWOOD Drive","1997","94043","R1"
"$ 461.23","14","207","Downtown Mountain View","2","1","3","17","97","$825,000","05/12/2010","1,767","ML81023499","Mountain View","508.74","05/29/2010","$815,000","1,602","Sold","550 FRONT Lane","1996","94041","P18"
"$ 284.29","14","206","San Antonio","2","1","4","236","150","$799,999","04/08/2010","2,814","ML81016907","Mountain View","446.93","","","1,790","Expired","2100 CALIFORNIA Street","1996","94040","P14"
"$ 262.26","14","206","San Antonio","2","1","4","14","150","$748,888","08/27/2010","2,814","ML81042611","Mountain View","412.29","09/10/2010","$738,000","1,790","Sold","2100 CALIFORNIA Street","1996","94040","P14"
"$ 175.27","15","209","Miramonte","3","0","5","15","","$2,100,000","02/25/2014","11,696","ML81405826","Mountain View","664.08","03/12/2014","$2,050,000","3,087","Sold","1668 HOLLINGSWORTH Drive","1999","94040","R1"
"$ 178.23","15","208","Grant","3","0","5","14","0","$1,495,000","01/25/2012","8,276","ML81202881","Mountain View","451.62","02/08/2012","$1,475,000","3,266","Sold","215 MARIANNE Court","1997","94040","R17L"
"$ 307.59","15","209","Miramonte","3","0","3","31","","$1,220,000","01/03/2014","3,950","ML81400157","Mountain View","751.39","01/16/2014","$1,215,000","1,617","Sold","1135 PHYLLIS Avenue","1999","94040","R3"
"$ 392.92","15","204","Rengstorff","2","1","3","122","50","$1,198,000","06/05/2014","3,049","ML81419780","Mountain View","705.95","","","1,697","Expired","836 SHEILA Court","1999","94043","MM40"
"$ 430.44","15","200","Whisman","2","1","4","9","130","$1,125,000","07/27/2013","2,753","ML81327446","Mountain View","615.58","08/05/2013","$1,185,000","1,925","Sold","432 WHISMAN PARK Drive","1998","94043","R-1"
"$ 354.13","15","200","Whisman","2","1","4","5","124","$1,099,000","08/22/2013","3,318","ML81331042","Mountain View","610.39","08/27/2013","$1,175,000","1,925","Sold","112 MAGNOLIA Lane","1998","94043","R-1"
"$ 326.37","15","200","Whisman","2","1","4","6","130","$975,000","10/30/2013","3,493","ML81339573","Mountain View","592.21","11/05/2013","$1,140,000","1,925","Sold","106 MAGNOLIA Lane","1998","94043","R-1"
"$ 408.39","15","200","Whisman","2","1","4","22","130","$1,099,000","09/11/2013","2,718","ML81333941","Mountain View","576.62","10/03/2013","$1,110,000","1,925","Sold","463 WHISMAN PARK Drive","1998","94043","R-1"
"$ 418.39","15","200","Whisman","2","1","3","7","130","$998,000","05/29/2013","2,414","ML81318697","Mountain View","584.49","06/05/2013","$1,010,000","1,728","Sold","449 WHISMAN PARK Drive","1998","94043","R-1"
"$ 327.98","15","200","Whisman","2","1","4","8","124","$868,000","05/01/2013","3,049","ML81314541","Mountain View","519.48","05/09/2013","$1,000,000","1,925","Sold","467 WHISMAN PARK Drive","1998","94043","R1"
"$ 332.09","15","207","Downtown Mountain View","2","1","3","1","116","$975,000","06/19/2011","2,945","ML81127227","Mountain View","593.81","06/20/2011","$978,000","1,647","Sold","565 FRONT Lane","1996","94041","P18"
"$ 447.66","15","200","Whisman","2","1","3","0","","$975,000","05/04/2013","2,178","ML81315163","Mountain View","564.24","05/04/2013","$975,000","1,728","Sold","469 WHISMAN PARK Drive","1998","94043","R1"
"$ 311.25","15","207","Downtown Mountain View","2","1","3","38","84","$949,000","04/17/2012","3,049","ML81214168","Mountain View","525.76","","","1,805","Canceled","241 HEARTWOOD Lane","1997","94041","R325"
"$ 292.19","15","200","Whisman","2","1","4","9","128","$889,000","04/25/2012","3,200","ML81215265","Mountain View","556.88","05/04/2012","$935,000","1,679","Sold","305 CHETWOOD Drive","1997","94043","R1"
"$ 302.21","15","207","Downtown Mountain View","2","1","3","8","116","$849,000","03/02/2011","2,945","ML81109339","Mountain View","620.64","03/10/2011","$890,000","1,434","Sold","505 MINTON Lane","1996","94041","P18"
"$ 279.71","15","200","Whisman","2","1","3","17","127","$849,950","12/24/2011","3,164","ML81151071","Mountain View","589.21","01/10/2012","$885,000","1,502","Sold","166 CHETWOOD Drive","1997","94043","pud"
"$ 419.50","15","206","San Antonio","2","1","3","55","60","$839,000","06/22/2011","2,000","ML81127665","Mountain View","650.39","","","1,290","Canceled","125 LAUREL Way","1996","94040","P8"
"$ 641.65","15","206","San Antonio","2","1","3","8","58","$814,888","06/21/2010","1,306","ML81030779","Mountain View","625.84","06/29/2010","$838,000","1,339","Sold","110 BEACON Street","1995","94040","P8"
"$ 243.67","15","203","North Shoreline","2","1","3","131","40","$828,000","11/10/2010","3,398","ML81053849","Mountain View","548.71","","","1,509","Canceled","219 ORCHARD GLEN Court","1996","94043","R2SD"
"$ 257.55","15","207","Downtown Mountain View","2","1","2","7","34","$799,000","03/11/2010","3,211","ML81011547","Mountain View","657.39","03/18/2010","$827,000","1,258","Sold","207 PALMITA Place","1995","94041","P18"
"$ 241.32","15","203","North Shoreline","2","1","3","0","40","$828,000","04/12/2011","3,398","ML81116073","Mountain View","543.41","04/12/2011","$820,000","1,509","Sold","219 ORCHARD GLEN Court","1996","94043","R2SD"
"$ 394.73","16","207","Downtown Mountain View","2","1","4","21","86","$1,788,000","02/11/2015","4,593","ML81450377","Mountain View","830.51","03/04/2015","$1,813,000","2,183","Sold","1793 Woodhaven Place","1999","94041","R31"
"$ 168.36","16","208","Grant","3","0","5","204","","$1,760,000","11/17/2011","10,454","ML81147896","Mountain View","509.26","","","3,456","Canceled","731 SLEEPER Avenue","1996","94040","R110"
"$ 162.81","16","208","Grant","3","0","5","215","","$1,645,000","06/08/2012","10,454","ML81221762","Mountain View","492.48","06/19/2012","$1,702,000","3,456","Sold","731 SLEEPER Avenue","1996","94040","R110"
"$ 254.85","16","207","Downtown Mountain View","2","1","3","12","","$1,498,000","11/06/2013","5,984","ML81340148","Mountain View","829.26","11/18/2013","$1,525,000","1,839","Sold","731 CALDERON Avenue","1997","94041","R1"
"$ 297.98","16","209","Miramonte","2","1","4","16","100","$1,500,000","04/02/2013","4,950","ML81310497","Mountain View","708.11","04/18/2013","$1,475,000","2,083","Sold","1110 BORANDA Avenue","1997","94040","R315"
"$ 545.61","16","200","Whisman","2","1","3","8","135","$1,125,000","05/28/2014","2,346","ML81418618","Mountain View","740.74","06/05/2014","$1,280,000","1,728","Sold","431 NICHOLAS Drive","1998","94043","R-1"
"$ 303.91","16","204","Rengstorff","2","1","3","42","75","$1,295,000","06/11/2014","4,113","ML81420683","Mountain View","788.64","07/23/2014","$1,250,000","1,585","Sold","325 SERRA SAN BRUNO","1998","94043","R3-22"
"$ 529.41","16","200","Whisman","3","0","3","11","135","$1,050,000","03/07/2014","2,346","ML81407238","Mountain View","695.41","03/18/2014","$1,242,000","1,786","Sold","440 WHISMAN PARK Drive","1998","94043","R-1"
"$ 421.39","16","207","Downtown Mountain View","2","1","3","9","127","$1,088,000","10/09/2012","2,945","ML81237071","Mountain View","753.49","10/18/2012","$1,241,000","1,647","Sold","555 FRONT Lane","1996","94041","P18"
"$ 368.75","16","200","Whisman","2","1","3","16","50","$1,199,950","06/11/2014","3,200","ML81420679","Mountain View","672.36","06/27/2014","$1,180,000","1,755","Sold","534 DEVONSHIRE Court","1998","94043","02"
"$ 367.19","16","200","Whisman","2","1","3","55","38","$1,190,000","03/29/2014","3,200","ML81410148","Mountain View","669.52","05/23/2014","$1,175,000","1,755","Sold","537 DEVONSHIRE Court","1998","94043","02"
"$ 373.51","16","207","Downtown Mountain View","2","1","3","7","127","$998,800","05/08/2012","2,945","ML81217271","Mountain View","667.88","05/15/2012","$1,100,000","1,647","Sold","560 MINTON Lane","1996","94041","P18"
"$ 360.77","16","207","Downtown Mountain View","2","1","3","7","86","$998,000","02/06/2013","3,049","ML81303630","Mountain View","609.42","02/13/2013","$1,100,000","1,805","Sold","241 HEARTWOOD Lane","1997","94041","R325"
"$ 107.87","16","200","Whisman","5","0","6","6","","$1,050,000","05/12/2011","9,650","ML81121095","Mountain View","300.84","05/18/2011","$1,040,900","3,460","Sold","63 DEVONSHIRE Avenue","1995","94043","R32"
"$ 351.78","16","207","Downtown Mountain View","2","1","3","10","116","$975,000","12/05/2011","2,945","ML81149473","Mountain View","633.64","12/15/2011","$1,036,000","1,635","Sold","540 MINTON Lane","1996","94041","P18"
"$ 218.09","16","206","San Antonio","2","1","4","6","58","$950,000","09/03/2010","4,356","ML81043758","Mountain View","539.77","09/09/2010","$950,000","1,760","Sold","119 CONCORD Circle","1994","94040","P8"
"$ 433.88","16","206","San Antonio","2","1","4","11","58","$979,000","04/12/2010","2,178","ML81017630","Mountain View","536.63","04/23/2010","$945,000","1,761","Sold","111 WHITS Road","1994","94040","P8"
"$ 126.71","16","207","Downtown Mountain View","3","0","3","145","","$998,000","05/17/2010","7,000","ML81024497","Mountain View","355.23","10/09/2010","$887,000","2,497","Sold","1107 VILLA Street","1994","94041","R325"
"$ 289.66","16","207","Downtown Mountain View","2","1","3","48","","$899,000","01/12/2011","3,038","ML81101570","Mountain View","614.53","03/01/2011","$880,000","1,432","Sold","237 HOUGHTON Street","1995","94041","P18"
"$ 313.60","16","207","Downtown Mountain View","2","1","2","7","","$799,000","10/13/2011","2,736","ML81143524","Mountain View","682.03","10/20/2011","$858,000","1,258","Sold","233 HOUGHTON Street","1995","94041","P18"
"$ 457.52","16","206","San Antonio","2","1","3","14","58","$818,000","05/20/2010","1,836","ML81024947","Mountain View","651.16","06/03/2010","$840,000","1,290","Sold","133 CONCORD Circle","1994","94040","P8"
"$ 457.52","16","206","San Antonio","2","1","3","16","58","$828,000","10/06/2010","1,836","ML81048932","Mountain View","627.33","10/22/2010","$840,000","1,339","Sold","139 CONCORD Circle","1994","94040","P8"
"$ 430.11","16","206","San Antonio","2","1","3","8","58","$798,000","03/04/2010","1,860","ML81010197","Mountain View","597.46","03/12/2010","$800,000","1,339","Sold","100 LAUREL Way","1994","94040","P8"
"$ 281.66","16","203","North Shoreline","2","1","2","8","41","$799,000","09/06/2012","2,787","ML81233019","Mountain View","624.01","09/14/2012","$785,000","1,258","Sold","208 ORCHARD GLEN Court","1996","94043","R2SD"
"$ 258.42","17","208","Grant","3","0","5","9","","$1,938,000","03/14/2014","7,405","ML81408027","Mountain View","576.04","03/23/2014","$1,913,620","3,322","Sold","205 MARIANNE Court","1997","94040","R1-7L"
"$ 496.70","17","209","Miramonte","2","1","3","8","145","$1,398,000","09/23/2014","3,485","ML81434707","Mountain View","990.84","10/01/2014","$1,731,000","1,747","Sold","1106 BORANDA Avenue","1997","94040","R3-15"
"$ 171.69","17","208","Grant","4","0","4","14","","$1,699,000","06/03/2010","10,018","ML81027392","Mountain View","522.32","06/17/2010","$1,720,000","3,293","Sold","458 MARTENS Avenue","1993","94040","R110"
"$ 468.22","17","207","Downtown Mountain View","2","1","3","6","86","$1,298,000","10/23/2014","3,257","ML81438142","Mountain View","844.88","10/29/2014","$1,525,000","1,805","Sold","217 HEARTWOOD Lane","1997","94041","R3-25"
"$ 442.03","17","200","Whisman","2","1","4","8","135","$1,398,000","11/13/2014","3,200","ML81440174","Mountain View","842.47","11/21/2014","$1,414,500","1,679","Sold","180 JENKINS Lane","1997","94043","R-1"
"$ 244.17","17","200","Whisman","2","1","4","7","130","$1,150,000","11/18/2014","5,529","ML81440602","Mountain View","734.09","11/25/2014","$1,350,000","1,839","Sold","101 CHETWOOD Drive","1997","94043","R-1"
"$ 325.50","17","200","Whisman","2","1","4","7","131","$1,099,000","07/10/2014","4,000","ML81424549","Mountain View","669.75","07/17/2014","$1,302,000","1,944","Sold","129 CHETWOOD Drive","1997","94043","R-1"
"$ 454.65","17","207","Downtown Mountain View","2","1","3","13","127","$1,188,000","01/03/2013","2,613","ML81300189","Mountain View","726.61","01/16/2013","$1,188,000","1,635","Sold","525 FRONT Lane","1996","94041","P18"
"$ 433.72","17","206","San Antonio","2","1","3","10","60","$998,888","06/18/2012","2,693","ML81222972","Mountain View","679.07","06/28/2012","$1,168,000","1,720","Sold","106 BEACON Street","1995","94040","R1"
"$ 528.01","17","206","San Antonio","2","1","3","7","60","$989,000","06/19/2013","2,178","ML81321862","Mountain View","858.85","06/26/2013","$1,150,000","1,339","Sold","143 LAUREL Way","1996","94040","P(8)"
"$ 292.64","17","207","Downtown Mountain View","2","1","3","7","","$980,000","05/30/2012","3,691","ML81220262","Mountain View","754.28","06/06/2012","$1,080,125","1,432","Sold","205 HOUGHTON Street","1995","94041","P18"
"$ 327.79","17","203","North Shoreline","2","1","3","13","36","$924,999","01/10/2013","3,005","ML81300781","Mountain View","555.24","01/23/2013","$985,000","1,774","Sold","217 ORCHARD GLEN Court","1996","94043","R2SD"
"$ 408.81","17","206","San Antonio","2","1","4","84","60","$975,000","04/13/2011","2,385","ML81116372","Mountain View","553.98","","","1,760","Canceled","105 LAUREL Way","1994","94040","P8"
"$ 224.61","18","208","Grant","3","1","4","6","","$1,788,000","06/20/2012","8,014","ML81223352","Mountain View","532.07","06/26/2012","$1,800,000","3,383","Sold","405 CHESLEY Avenue","1994","94040","R18L"
"$ 148.27","18","208","Grant","3","0","5","10","","$1,495,000","06/08/2011","10,454","ML81125560","Mountain View","527.75","06/18/2011","$1,550,000","2,937","Sold","427 MARTENS Avenue","1993","94040","R110"
"$ 523.26","18","207","Downtown Mountain View","2","1","3","8","139","$1,198,000","11/12/2014","2,945","ML81440090","Mountain View","961.92","11/20/2014","$1,541,000","1,602","Sold","570 FRONT Lane","1996","94041","P(18)"
"$ 293.71","18","203","North Shoreline","2","1","3","6","","$998,000","02/20/2014","4,181","ML81405204","Mountain View","774.27","02/26/2014","$1,228,000","1,586","Sold","212 ORCHARD GLEN Court","1996","94043","R2-SD"
"$ 174.87","18","207","Downtown Mountain View","2","1","3","8","","$1,098,000","04/03/2012","6,708","ML81212365","Mountain View","578.40","04/11/2012","$1,173,000","2,028","Sold","542 MARIPOSA Avenue","1994","94041","R325"
"$ 642.94","18","206","San Antonio","2","1","3","22","60","$1,099,950","04/29/2013","1,742","ML81314390","Mountain View","836.45","05/21/2013","$1,120,000","1,339","Sold","104 SONDGROTH Way","1995","94040","P8"
"$ 293.65","18","203","North Shoreline","2","1","3","16","36","$999,000","11/18/2013","3,746","ML81341426","Mountain View","693.57","12/04/2013","$1,100,000","1,586","Sold","221 ORCHARD GLEN Court","1996","94043","R2-SD"
"$ 1.60","18","206","San Antonio","2","1","3","0","","$4,150","09/13/2014","2,600","ML81433441","Mountain View","3.10","","","1,339","Canceled","133 LAUREL Way","1996","94040","P(8)"
"$ 194.27","19","208","Grant","4","0","5","2","","$1,699,000","10/14/2010","8,900","ML81050054","Mountain View","525.05","10/16/2010","$1,729,000","3,293","Sold","501 APRICOT Lane","1991","94040","R18L"
"$ 128.61","19","208","Grant","3","0","5","12","","$1,695,000","03/13/2012","12,324","ML81209394","Mountain View","483.67","03/25/2012","$1,585,000","3,277","Sold","437 KENTMERE Court","1993","94040","R110"
"$ 207.92","19","209","Miramonte","3","0","5","47","","$1,449,000","06/22/2010","6,969","ML81030913","Mountain View","593.37","","","2,442","Canceled","996 SOLANA Court","1991","94040","R1"
"$ 205.91","19","209","Miramonte","3","0","5","155","","$1,435,000","08/11/2010","6,969","ML81039855","Mountain View","587.63","","","2,442","Canceled","996 SOLANA Court","1991","94040","R1"
"$ 524.80","19","206","San Antonio","2","1","3","9","60","$1,188,000","07/29/2013","2,500","ML81327579","Mountain View","835.67","08/07/2013","$1,312,000","1,570","Sold","104 CONCORD Circle","1994","94040","P(8)"
"$ 669.92","19","206","San Antonio","2","1","3","8","60","$898,000","02/28/2013","1,742","ML81306089","Mountain View","904.65","03/08/2013","$1,167,000","1,290","Sold","125 CONCORD Circle","1994","94040","P8"
"$ 645.81","19","206","San Antonio","2","1","3","11","60","$1,100,000","11/07/2013","1,742","ML81340293","Mountain View","872.09","11/18/2013","$1,125,000","1,290","Sold","111 LAUREL Way","1994","94040","P(8)"
"$ 198.34","19","200","Whisman","2","1","3","8","","$848,000","08/19/2010","4,225","ML81041264","Mountain View","466.85","08/27/2010","$838,000","1,795","Sold","385 SHERLAND Circle","1991","94043","R32"
"$ 211.20","20","208","Grant","3","1","5","9","","$2,250,000","07/31/2013","10,890","ML81327877","Mountain View","689.45","08/09/2013","$2,300,000","3,336","Sold","587 SLEEPER Avenue","1993","94040","R1-10"
"$ 196.58","20","209","Miramonte","3","0","5","151","","$1,370,000","01/07/2011","6,969","ML81100979","Mountain View","561.02","","","2,442","Canceled","996 SOLANA Court","1991","94040","R1"
"$ 175.78","20","209","Miramonte","3","0","5","164","","$1,250,000","06/07/2011","6,969","ML81125284","Mountain View","501.64","06/20/2011","$1,225,000","2,442","Sold","996 SOLANA Court","1991","94040","R1"
"$ 605.63","20","206","San Antonio","2","1","3","16","60","$1,100,000","04/22/2014","1,742","ML81413559","Mountain View","817.83","05/08/2014","$1,055,000","1,290","Sold","127 LAUREL Way","1994","94040","P(8)"
"$ 124.29","20","207","Downtown Mountain View","2","1","3","151","","$925,000","03/21/2010","7,000","ML81013832","Mountain View","575.78","08/19/2010","$870,000","1,511","Sold","234 PALO ALTO Avenue","1990","94041","R2"
"$ 152.50","20","200","Whisman","2","1","3","31","100","$898,000","05/30/2010","5,600","ML81026892","Mountain View","469.75","06/30/2010","$854,000","1,818","Sold","222 SHERLAND Avenue","1990","94043","R2"
"$ 221.79","21","208","Grant","2","1","4","6","","$2,150,000","12/05/2013","10,370","ML81342470","Mountain View","753.85","12/11/2013","$2,300,000","3,051","Sold","442 MARTENS Avenue","1993","94040","R1-10"
"$ 326.00","21","207","Downtown Mountain View","3","0","3","8","","$1,688,000","02/17/2015","7,000","ML81451175","Mountain View","913.90","02/25/2015","$2,282,000","2,497","Sold","220 Oak Street","1994","94041","R3-25"
"$ 174.83","21","208","Grant","4","1","5","8","","$1,788,000","06/28/2012","10,010","ML81224295","Mountain View","553.45","07/06/2012","$1,750,000","3,162","Sold","197 BRYANT Avenue","1991","94040","R18L"
"$ 230.29","21","208","Grant","3","0","5","8","","$1,699,000","02/15/2012","7,469","ML81205979","Mountain View","524.87","02/23/2012","$1,720,000","3,277","Sold","697 WOBURN Court","1991","94040","R18L"
"$ 241.14","21","207","Downtown Mountain View","3","0","3","82","","$1,688,000","02/17/2015","7,000","ML81451176","Mountain View","676.01","","","2,497","Expired","220 Oak Street","1994","94041","R3-25"
"$ 243.59","21","200","Whisman","2","1","3","67","","$950,000","10/26/2011","3,900","ML81145350","Mountain View","495.82","","","1,916","Canceled","390 SHERLAND Circle","1991","94043","R32"
"$ 241.03","21","200","Whisman","2","1","3","7","0","$935,000","02/01/2012","3,900","ML81203786","Mountain View","490.61","02/08/2012","$940,000","1,916","Sold","390 SHERLAND Circle","1991","94043","R32"
"$ 229.58","22","208","Grant","4","0","4","8","","$1,898,000","10/04/2012","8,276","ML81236487","Mountain View","576.98","10/12/2012","$1,900,000","3,293","Sold","3355 NEWTON Drive","1990","94040","R18L"
"$ 220.68","22","208","Grant","2","1","4","9","","$1,698,000","08/15/2012","7,980","ML81230603","Mountain View","577.19","08/24/2012","$1,761,000","3,051","Sold","3355 MILTON Court","1990","94040","R18L"
"$ 211.45","22","208","Grant","3","0","5","7","","$1,728,000","07/16/2012","8,276","ML81226827","Mountain View","534.03","07/23/2012","$1,750,000","3,277","Sold","699 WALTHAM Street","1990","94040","R18L"
"$ 169.64","22","200","Whisman","2","1","3","9","100","$898,000","04/17/2012","5,600","ML81214187","Mountain View","522.55","04/26/2012","$950,000","1,818","Sold","222 SHERLAND Avenue","1990","94043","R2"
"$ 151.05","22","200","Whisman","2","1","3","101","120","$769,000","06/19/2010","4,899","ML81030599","Mountain View","467.17","09/28/2010","$740,000","1,584","Sold","420 WHISMAN Court","1988","94043","R2"
"$ 251.72","23","208","Grant","4","0","4","57","","$2,195,000","03/20/2013","8,720","ML81308925","Mountain View","666.57","","","3,293","Canceled","701 WALTHAM Street","1990","94040","R18L"
"$ 240.60","23","208","Grant","4","0","4","65","","$2,098,000","05/16/2013","8,720","ML81316850","Mountain View","637.11","05/24/2013","$2,098,000","3,293","Sold","701 WALTHAM Street","1990","94040","R1-8L"
"$ 300.48","23","209","Miramonte","2","1","3","9","","$1,098,000","05/01/2012","3,744","ML81216249","Mountain View","558.59","05/10/2012","$1,125,000","2,014","Sold","915 BORANDA Avenue","1989","94040","R31"
"$ 229.57","23","203","North Shoreline","2","1","3","8","84","$950,000","02/23/2011","4,356","ML81108247","Mountain View","492.61","03/03/2011","$1,000,000","2,030","Sold","802 FOUNTAIN PARK Lane","1988","94043","R29L"
"$ 207.32","23","201","Sylvan Dale","2","1","3","8","","$949,000","09/06/2012","4,510","ML81233020","Mountain View","494.71","09/14/2012","$935,000","1,890","Sold","708 ALICE Avenue","1989","94041","R31"
"$ 283.95","24","208","Grant","4","0","4","36","","$2,350,000","01/14/2014","8,276","ML81401343","Mountain View","713.63","","","3,293","Canceled","3355 NEWTON Drive","1990","94040","R1-8L"
"$ 248.97","24","208","Grant","3","1","5","75","","$1,998,000","09/16/2013","8,025","ML81334638","Mountain View","631.88","","","3,162","Expired","3376 SHADY SPRING Lane","1989","94040","R1-8L"
"$ 163.57","24","208","Grant","3","0","4","70","","$1,549,950","06/29/2010","9,476","ML81032460","Mountain View","535.39","","","2,895","Canceled","3375 BROWER Avenue","1986","94040","R18L"
"$ 156.71","24","208","Grant","3","0","4","73","","$1,499,950","09/07/2010","9,476","ML81044058","Mountain View","512.95","09/10/2010","$1,485,000","2,895","Sold","3375 BROWER Avenue","1986","94040","R18L"
"$ 218.09","24","208","Grant","3","0","4","35","","$1,450,000","01/25/2011","6,534","ML81103471","Mountain View","511.49","03/01/2011","$1,425,000","2,786","Sold","2155 WOODLEAF Way","1987","94040","R1"
"$ 219.89","24","201","Sylvan Dale","2","1","4","30","","$1,249,000","03/14/2013","5,680","ML81308106","Mountain View","557.59","","","2,240","Canceled","605 MOORPARK Way","1989","94041","R31"
"$ 219.19","24","201","Sylvan Dale","2","1","4","43","","$1,249,000","05/15/2013","5,680","ML81316778","Mountain View","555.80","06/27/2013","$1,245,000","2,240","Sold","605 MOORPARK Way","1989","94041","R3-1*"
"$ 252.53","24","203","North Shoreline","3","0","4","10","84","$975,000","02/21/2012","4,356","ML81206492","Mountain View","485.87","03/02/2012","$1,100,000","2,264","Sold","800 FOUNTAIN PARK Lane","1988","94043","R29L"
"$ 233.05","24","201","Sylvan Dale","2","1","3","28","51","$1,098,000","04/19/2010","4,557","ML81019584","Mountain View","509.84","05/17/2010","$1,062,000","2,083","Sold","739 TIANA Lane","1986","94041","R210"
"$ 243.34","24","203","North Shoreline","3","0","3","15","86","$968,000","10/31/2012","4,356","ML81239768","Mountain View","603.99","11/15/2012","$1,060,000","1,755","Sold","302 WINDMILL PARK Lane","1988","94043","R29L"
"$ 210.66","24","201","Sylvan Dale","3","0","3","80","52","$998,000","05/05/2010","4,557","ML81022293","Mountain View","468.75","07/24/2010","$960,000","2,048","Sold","593 TAMI Way","1986","94041","R210"
"$ 199.25","24","201","Sylvan Dale","2","0","3","21","615","$899,000","06/30/2010","4,557","ML81032455","Mountain View","586.18","07/21/2010","$908,000","1,549","Sold","707 TIANA Lane","1986","94041","R210"
"$ 175.33","24","201","Sylvan Dale","2","0","2","91","58","$799,000","06/22/2010","4,557","ML81030957","Mountain View","491.09","","","1,627","Canceled","717 TIANA Lane","1986","94041","R210"
"$ 296.32","25","208","Grant","3","1","5","3","","$2,095,000","03/31/2014","8,025","ML81410382","Mountain View","752.06","04/03/2014","$2,378,000","3,162","Sold","3376 SHADY SPRING Lane","1989","94040","R1-8L"
