"Group.1","x","Freq.x","x.x.0%","x.x.10%","x.x.20%","x.x.30%","x.x.40%","x.x.50%","x.x.60%","x.x.70%","x.x.80%","x.x.90%","x.x.100%","x.y","Freq.y"
"516", 623.3252, 8, 503.14465, 535.59140, 585.92233, 599.47321, 605.45484, 625.53191, 642.40772, 653.03102, 675.40037, 687.40836, 700.00000, 625.5319, 15
"517",NA,NA, 542.85714, 607.65766, 652.17391, 662.16216, 722.41379, 755.45607, 772.05882, 817.02128, 840.44118, 869.23077, 915.27778, 755.4561, 11
"520",NA,NA, 391.80791, 435.21978, 458.90976, 469.43051, 499.79524, 510.00000, 529.39018, 547.87234, 563.84762, 584.81642, 590.00000, 510.0000, 29
"521",NA,NA, 480.20833, 505.27015, 522.36602, 523.53000, 525.01746, 526.66667, 637.22129, 714.11765, 723.69748, 738.99160, 757.14286, 526.6667,  7
"522",NA,NA, 387.65432, 584.28571, 621.01911, 653.84615, 708.18182, 737.37374, 765.30612, 765.30612, 767.67677, 835.29412, 905.88235, 737.3737, 21
"523",NA,NA, 515.74803, 518.33771, 520.92738, 533.29060, 555.42735, 577.56410, 584.37630, 591.18850, 638.34234, 725.83784, 813.33333, 577.5641,  5
"524", 352.7337, 1, 276.90700, 329.98568, 454.41799, 613.81757, 661.92943, 687.15291, 707.74132, 739.63046, 799.30233, 988.08970,1342.85714, 687.1529,  8
"525",NA,NA, 480.48780, 484.92239, 491.51182, 502.41092, 567.27855, 659.13043, 681.68496, 703.54527, 724.01716, 747.19122, 771.71636, 659.1304,  7
"526",NA,NA, 516.74641, 531.00330, 557.29629, 593.57319, 635.59116, 662.58319, 679.85135, 687.83575, 695.05001, 699.21393, 699.48187, 662.5832,  8
"527",NA,NA, 500.00000, 571.47826, 594.63702, 609.39403, 653.68421, 676.79487, 687.00028, 714.61538, 768.23956, 787.54386, 870.58824, 676.7949, 24
"528",NA,NA, 423.00613, 508.97436, 551.72414, 628.49350, 668.78981, 709.82143, 727.67857, 734.59821, 750.00000, 769.19643, 848.21429, 709.8214, 16
"529",NA,NA, 496.96970, 581.74364, 632.65306, 640.54945, 648.54369, 671.00182, 685.71429, 759.52381, 780.00000, 798.98990, 836.36364, 671.0018, 26
"530",NA,NA, 522.93578, 551.37011, 578.35821, 621.83253, 625.98425, 653.24199, 725.00000, 745.00000, 760.00000, 803.38653, 867.81609, 653.2420, 16
"531",NA,NA, 474.30830, 481.77188, 493.83948, 510.92398, 537.39187, 577.09891, 625.19023, 681.00311, 711.95419, 757.10662, 826.71905, 577.0989,  8
"532",NA,NA, 530.86420, 563.28395, 595.44610, 605.86331, 648.93750, 656.77966, 719.55340, 801.43779, 842.92566, 874.00000, 961.53846, 656.7797, 27
"533",NA,NA, 678.19149, 684.56195, 690.93242, 708.97833, 738.69969, 768.42105, 771.69093, 774.96081, 791.04932, 819.95648, 848.86364, 768.4211,  5
"534",NA,NA, 410.81731, 482.71141, 502.16077, 508.17610, 518.03316, 527.27273, 569.74026, 586.94286, 628.48421, 694.79110, 737.11340, 527.2727,  9
"540", 581.3616, 2, 307.58557, 485.96154, 517.68293, 571.68233, 605.63380, 642.43986, 683.22981, 791.36311, 808.82353, 912.33766,1062.50000, 642.4399, 26
"551",1543.2099, 1,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.20988,1543.2099,  1
"553",NA,NA, 250.96525, 272.42568, 293.88610, 315.34653, 344.07595, 376.43987, 408.80380, 434.00844, 444.89451, 455.78059, 466.66667, 376.4399,  4
"554", 906.2500, 1, 372.80702, 523.35088, 673.89474, 760.44444, 783.00000, 805.55556, 838.23529, 870.91503, 891.05392, 898.65196, 906.25000, 805.5556,  5
"555",NA,NA, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.97764, 638.9776,  1
"556",NA,NA, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.00000, 591.0000,  1
"6", 483.0633, 1, 380.54968, 455.09274, 486.16348, 514.88301, 544.39247, 571.76756, 596.07999, 627.18180, 656.02598, 682.26398, 800.00000, 571.7676,222
"601",NA,NA, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.68051, 824.6805,  1
"605",NA,NA, 427.23977, 456.39370, 506.91220, 524.49215, 572.43759, 607.05458, 612.01771, 623.88571, 650.46359, 661.24879, 714.76064, 607.0546, 10
"606",NA,NA, 372.91667, 420.32801, 479.69052, 522.81818, 550.28947, 591.44737, 616.76229, 712.24526, 779.96537, 805.95605, 860.21505, 591.4474,  9
"607", 551.9655, 3, 472.77937, 477.70543, 484.30377, 494.24667, 509.21908, 526.70623, 541.86181, 556.19337, 568.87686, 575.61539, 579.38144, 526.7062,  7
"608", 483.8710, 1, 331.12583, 346.40034, 361.67486, 376.94937, 392.22388, 407.49840, 422.77291, 438.04743, 453.32194, 468.59645, 483.87097, 407.4984,  2
"609", 610.2564, 1, 607.14286, 607.76557, 608.38828, 609.01099, 609.63370, 610.25641, 615.54326, 620.83011, 626.11695, 631.40380, 636.69065, 610.2564,  3
"610",NA,NA, 538.07107, 541.11675, 544.16244, 552.15798, 565.10338, 578.04878, 579.14634, 580.24390, 589.88005, 608.05478, 626.22951, 578.0488,  5
"611",NA,NA, 377.32431, 470.94064, 564.55696, 595.87497, 627.19298, 717.24232, 807.29167, 843.75000, 880.20833, 907.60417, 935.00000, 717.2423,  6
"612",NA,NA, 398.76543, 406.83522, 414.90502, 422.97481, 431.04460, 439.11439, 465.85462, 492.59485, 519.33508, 546.07531, 572.81553, 439.1144,  3
"613", 673.4469, 3, 353.53535, 447.19908, 459.67562, 473.60126, 498.61778, 505.32965, 515.46304, 628.19302, 675.88635, 711.40667,1120.00000, 505.3296, 19
"614",NA,NA, 378.21483, 391.01821, 399.93025, 410.49721, 448.50468, 492.54511, 535.33278, 568.95560, 574.82729, 602.09645, 664.06250, 492.5451,  8
"620", 555.5556, 3, 280.32258, 436.81686, 448.60974, 497.66191, 515.25853, 545.70615, 565.06025, 598.94639, 654.53919, 712.89062,1179.10448, 545.7061, 32
"621", 601.1512, 2, 298.50746, 418.18406, 444.14640, 471.11304, 488.15000, 506.45018, 532.77371, 558.10694, 571.29834, 612.16667, 672.34848, 506.4502, 18
"623",NA,NA, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.13502, 464.1350,  1
"630",NA,NA, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.00000, 684.0000,  1
"631",NA,NA, 537.03704, 545.82747, 600.44112, 746.70119, 810.16162, 832.22222, 837.52047, 847.54090, 867.00571, 906.95353, 957.14286, 832.2222,  7
