"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County"
"0.1404661","ML81639850"," 0.3762650"," 1787.259"," 1200000","1129.9435"," 1646814.7"," 1878136.4"," 231321.7","  4750","71","18","579 Mariposa Avenue","207","94041","Mountain View","Santa Clara"
"0.1384415","ML81642074"," 0.3833567"," 3852.735"," 2498000","1099.7229"," 3461183.8"," 3940355.3"," 479171.5"," 10050","43","0","1065 Deanna Drive","301","94025","Menlo Park","San Mateo"
"0.1384217","ML81641652"," 0.3087942"," 3233.693"," 2598000","1289.4962"," 3406423.2"," 3877946.2"," 471523.0"," 10472","61","4","267 Alba Court","211","94022","Los Altos","Santa Clara"
"0.1324999","ML81640246"," 0.2659230","10656.864","10800000","1538.5332","13464216.1","15248223.9","1784007.8"," 40075","11","14","65 Selby Lane","291","94027","Atherton","San Mateo"
"0.1316607","ML81641489"," 0.3796717"," 2923.472"," 1628000"," 981.8339"," 2358867.9"," 2669438.3"," 310570.3","  7700","57","5","20375 Clifden Way","18","95014","Cupertino","Santa Clara"
"0.1315287","ML81641907"," 0.4174218"," 2988.000","  875000"," 660.4697"," 1622000.0"," 1835339.5"," 213339.5","  7200","69","3","1564 Camino Monde","10","95125","San Jose","Santa Clara"
"0.1294994","ML81641470"," 0.3418182"," 2221.000"," 1088000"," 898.5829"," 1643250.0"," 1856049.9"," 212799.9","  6850","63","5","640 San Diego Avenue","19","94085","Sunnyvale","Santa Clara"
"0.1258854","ML81641428"," 0.3796717"," 2278.030"," 1278000"," 981.8339"," 1847507.5"," 2080081.8"," 232574.3","  6000","54","6","1089 Del Cambre Drive","18","95129","San Jose","Santa Clara"
"0.1188858","ML81641828"," 0.4352039"," 2328.341"," 1050000"," 843.3330"," 1632085.2"," 1826117.0"," 194031.8","  5350","59","3","2613 Monserat Avenue","361","94002","Belmont","San Mateo"
"0.1136946","ML81641517"," 0.3323996"," 1661.998","  849000"," 911.1111"," 1264499.5"," 1408266.2"," 143766.7","  5000","92","5","1058 Montgomery Street","354","94070","San Carlos","San Mateo"
"0.1131784","ML81641183"," 0.3087942"," 2894.946"," 2395000","1289.4962"," 3118736.4"," 3471709.8"," 352973.4","  9375","65","7","752 S El Monte Avenue","211","94022","Los Altos","Santa Clara"
"0.1095407","ML81641710"," 0.4102016"," 2303.692","  449000"," 530.7954"," 1024923.0"," 1137193.8"," 112270.8","  5616","112","4","2908 E 16th Street","27","94601","Oakland","Alameda"
