"Group.1","x.x","Freq.x","x.y.30%","x.y.40%","x.y.50%","x.y.60%","x.y.70%","Freq.y"
94002,933.18524754215,6,784.7533632287,824.468085106383,857.81990521327,896.153846153846,938.775510204082,171
94005,576.785714285714,1,571.682330827068,610.25641025641,654.720564297341,785.454545454545,795.809548521017,26
94010,1040.36697247706,15,910.669331501259,960.702033071891,989.265536723164,1056.14333972645,1094.82183605406,213
94014,NA,NA,518.586715663032,556.390977443609,588.785905582104,612.582781456954,656.481967037671,96
94015,NA,NA,571.485714285714,608.674313150173,638.051911412047,671.273946360153,690.968239284613,178
94018,610.852354012225,2,464.921518987342,479.896183206107,524.484258581334,552.406326855379,577.663205802873,18
94019,555.555555555556,11,492.1875,512.900355871886,541.082802547771,573.758865248227,602.755453501722,101
94020,733.333333333333,1,566.864150943396,578.932075471698,591,619.466666666667,647.933333333333,3
94022,1214.81310567605,13,1082.60941036632,1145.65163589566,1214.81310567605,1280.35932003306,1336.56116199544,147
94024,1151.82162875041,18,999.625463983916,1057.08575077034,1114.84697794314,1161.31547612775,1237.9287220913,184
94025,1121.34909596662,37,964.078182778658,1047.12041884817,1131.20567375887,1204.15068802166,1258.9928057554,241
94027,1488.8205511502,14,1249.91117427607,1301.01586170023,1454.36626256037,1520.50113895216,1580.76993249407,56
94028,1558.24508320726,1,934.821620145513,970.552334452243,1041.29897635016,1097.90711346267,1177.2903089069,49
94030,771.952396268897,3,775.14764717089,827.038715848131,855.324074074074,887.555555555555,922.773639896373,120
94037,NA,NA,493.879636961916,547.497446373851,600.536981891628,647.070707070707,675.069380203515,22
94038,NA,NA,478.260869565217,534.903640256959,540.17094017094,596.71052631579,684,21
94040,1059.24263579782,6,1068.10439391361,1160.60606060606,1184.76699214532,1237.85545837189,1292.41435165154,84
94041,1220.95779990517,3,890.466674358824,965.93023255814,1050.45867054294,1119.96644295302,1215.15642228004,36
94043,1176.71568313227,6,965.657230634189,1017.72758140034,1078.68020304569,1117.15576806061,1152.28208647907,53
94044,595.209339774557,8,574.644457432301,615.079365079365,661.019536019536,700,755.37926262453,206
94060,1224.72993827161,2,395.836109260493,437.637130801688,466.666666666667,737.777777777778,854.575163398693,9
94061,871.428571428571,15,810.68294804872,859.375,882.635801885305,922.51061821614,972.435897435897,234
94062,951.112412177986,9,742.692420681551,783.926303315397,863.636363636364,911.697530864197,968.516129032258,207
94063,587.780355761794,1,650.313971742543,723.489173228346,782.323232323232,835.575221238938,868.010006895777,60
94065,NA,NA,915.432393693263,939.56043956044,961.008289955658,982.456140350877,1032.10857332009,6
94066,623.325199740413,8,614.720022624434,645.862998921251,676.696832579186,719.098025867938,743.871169480926,188
94070,875.351738241309,16,837.062349238501,888.888888888889,927.88182111721,970.969107067287,1029.74825586817,242
94074,NA,NA,638.977635782748,638.977635782748,638.977635782748,638.977635782748,638.977635782748,1
94080,352.733686067019,1,565.426506024096,597.202238209432,647.974669723769,682.392611944833,723.928571428571,208
94085,798.219502174469,2,763.701195219124,813.029374107451,844.061834235052,866.696988648208,912.904574726102,60
94086,805.270863836018,11,808.29385763876,847.550615885601,867.394461136454,899.560117302053,940.297607445668,128
94087,908.715609731159,8,894.037118749213,930.375808860129,966.249319542733,988.219279937004,1043.79624847311,247
94089,NA,NA,705.766227068445,748.194945848375,785.198555956679,804.233068060182,820.919627588828,45
94110,NA,NA,875.508464255267,958.663205710578,1059.70149253731,1070.03444316877,1115.56987515103,7
94112,NA,NA,541.910235358511,575.716327827192,611.888111888112,673.452380952381,729.439578964681,29
94114,NA,NA,1174.93472584856,1174.93472584856,1174.93472584856,1174.93472584856,1174.93472584856,1
94116,565.811396201266,1,613.262116376711,653.778410191578,671.025641025641,732.201995177951,811.27080890973,18
94118,NA,NA,1016.19449307656,1027.05713830972,1037.91978354289,1048.78242877606,1059.64507400923,2
94121,NA,NA,1061.22448979592,1061.22448979592,1061.22448979592,1061.22448979592,1061.22448979592,1
94122,NA,NA,893.815268785505,909.38777975777,916.814159292035,934.686828765358,955.50377562028,7
94123,NA,NA,946.925703326762,980.816412411408,1014.70712149605,1048.5978305807,1082.48853966535,2
94124,NA,NA,425.790302201331,452.442469659792,466.416686196391,495.203141588374,562.628885146219,10
94127,NA,NA,558.716385728681,642.759850061277,757.564322346692,872.368794632108,959.623713351715,4
94131,NA,NA,784.619251494633,841.313053810184,860.156330384974,869.55497826947,893.192580168988,8
94132,NA,NA,600.688649799218,640.094234800097,650.102110279101,695.271049596309,714.007375965486,19
94134,NA,NA,627.707581227437,645.563875652371,674.778761061947,694.898492312285,718.516242317823,19
94301,1401.60891089109,13,1375.00602339685,1445.13075089017,1498.06201550388,1572.25021631801,1632.06460392951,80
94303,1294.36948464383,6,686.183310533516,753.586583148111,1116.16161616162,1327.21765448405,1438.06610155741,183
94305,NA,NA,1046.75104682147,1064.73842386465,1077.47105966162,1104.3675987173,1150.98958473504,7
94306,1200.19447634612,18,1253.66881787518,1290.84556138919,1347.16836504644,1422.98318469603,1480.71270980944,122
94401,NA,NA,634.752476553534,701.258593336859,733.333333333333,807.806451612903,842.511932727844,97
94402,904.782608695652,1,842.943645430216,886.179175014126,907.821229050279,954.328630873846,991.994622470093,153
94403,NA,NA,783.541927409261,821.789181692094,870.967741935484,898.347043625457,953.466509988249,207
94404,NA,NA,722.751322751323,754.689620081411,777.227722772277,819.076005961252,868.420302252638,57
94536,NA,NA,514.040898617512,539.912329624914,581.312710869561,589.176124765249,619.997687100246,94
94538,NA,NA,550.968138172116,575.592010913288,599.018484793298,620.775108418806,655.370472909233,94
